,Arusha,Kampala
0,5.3161332504449055,5.3845506511785395
1,5.313708138404248,5.1937148154921715
2,5.30891085511358,5.307425308138028
3,5.731657082610951,5.356531574440825
4,5.7245594047698205,5.425347422518691
5,5.721962954176504,5.413154735328748
6,5.617142605034944,5.448326518888029
7,5.400440642658901,5.509585207304187
8,5.399964071637734,5.477387842636589
9,5.39768511652383,5.514758004367279
10,5.296231023149782,5.606639793091126
11,5.291335463523213,5.606502980345127
12,5.395121450512922,5.518558680276081
13,5.3918837370684916,5.4923782278421704
14,5.357856917668446,5.457606608016572
15,5.39836341672408,5.4244927860608865
16,5.403761418458451,5.470758335460079
17,5.43679595632625,5.627181973628433
18,5.44444472114339,5.554465747867358
19,5.534579538846854,5.605005513884532
20,5.649944168589701,5.694206580903874
21,5.75282669928617,5.758867694182038
22,5.794338779709701,5.823641598941343
23,5.827777437084094,5.769210964269688
24,5.869704669993074,5.587818608667763
25,5.930973454855508,5.7164555007664255
26,5.986426665467563,5.687172586241856
27,6.031250271040776,5.682328731918932
28,6.11528598802862,5.970263159670798
29,6.111559480006191,5.950101940264485
30,6.268523178429757,5.959476692203088
31,6.261541545051247,5.967570824954286
32,6.1877713548258875,6.011498977321014
33,6.183889545754441,6.04907800364661
34,6.006220888349961,6.40700251050163
35,5.7846371836482176,5.343673231661951
36,5.497595701740491,5.372561740665815
37,5.514044262101511,5.366831366827636
38,5.499299789558962,5.423792202869158
39,5.4992076023025565,5.621333221193991
40,5.412854321800954,5.489861762984013
41,5.408898442850501,5.340009551229958
42,5.380760254795821,5.112512658376181
43,5.54110921613512,5.117816535418485
44,5.53579587677543,5.272618116662868
45,5.4499121698897035,5.15217261741026
46,5.259386746576515,5.059852699520237
47,5.257175820927511,5.1672225983747015
48,5.25021947087972,5.123795709372973
49,5.3430828702914175,5.039616508713424
50,5.34498329758997,5.111724038485514
51,5.391339105961063,5.112569262035685
52,5.253218435175246,5.115661861135165
53,5.031718853651894,5.108205107490402
54,4.900092483650358,4.615789814822916
55,4.902001142312378,4.549307094916364
56,4.901519197262282,4.653708297357598
57,4.739282205158855,4.594578261602748
58,4.9023315780284715,4.56091921874176
59,4.969585316326035,4.615308879366691
60,5.029941707869589,4.802639924875964
61,5.028424999593834,4.9483758808064
62,5.025798518342362,5.037327715400159
63,5.136507602734529,5.05496052587285
64,5.188366307921746,5.014513321173723
65,5.218885617578165,5.096200574330849
66,5.184950383554069,5.15898161919944
67,5.114944618859133,5.10420593332871
68,5.1628664932766215,5.326166783174299
69,5.1313885312131235,5.311310720839797
70,5.128853674501414,5.1011077916433765
71,5.141140312830274,5.369189903159008
72,5.2216896097719925,5.615633954984768
73,5.240051789536639,5.607646730880788
74,5.213997725698514,5.523688078347364
75,5.3096563986669185,5.54764711093454
76,5.685438107137704,5.320824344947255
77,5.746956373572211,5.2944760673529565
78,5.686171358715641,5.39421279650503
79,5.807795590512352,5.459953203059609
80,5.688434236107429,5.52756483500613
81,5.8231600757326785,5.529286197320713
82,5.766461912362339,5.576072020033621
83,5.777758201997086,5.656309786163976
84,5.792303295626933,5.667632569042072
85,5.871977938997037,5.698624413799216
86,5.808464115211822,5.357169421755842
87,6.042551197210232,5.383303193424278
88,5.823283862802259,5.327866695514615
