,Owino,Tororo
0,6.425219904546283,6.191026517045488
1,6.55895576741423,6.270550272921105
2,6.502364627366297,6.344213214797799
3,6.494874353063846,6.33963097598709
4,6.618277430407989,6.3912827831916825
5,6.605846195190644,6.3362568312128476
6,6.615933575438553,6.079721765282146
7,6.254477586647204,6.134167266475047
8,6.477066337580395,6.290847287159116
9,6.436759632406356,6.290276681284751
10,6.394081671682812,6.294792179027007
11,6.457941355652555,6.436160547191164
12,6.541643195727906,6.518242265563295
13,6.556107830249778,6.514882438844119
14,6.589533478879123,6.547504969030527
15,6.5743119407576085,6.541587156469973
16,6.398114045424532,6.441994004612874
17,6.273557312836522,6.374409866289913
18,6.300161239991715,6.245436340302469
19,6.461141600786897,6.238087458923326
20,6.506716735358224,6.297315023835952
21,6.503766816133705,6.380702644998204
22,6.540788747110095,6.423005711453711
23,6.538853054717605,6.463255465422941
24,6.638017812616077,6.456406483124705
25,6.6359067418606585,6.455593811015265
26,6.751808050114444,6.558496210449027
27,6.750390632850896,6.555653119439313
28,6.798991123381322,6.586390305376329
29,6.795426603304579,6.645468105605275
30,6.477932645340147,6.477932645340147
31,6.275183266455148,6.223600867954746
32,6.277598763045304,6.124503715111705
33,6.37044067943786,6.126432570911583
34,6.451455080544969,6.22804477957373
35,6.447769105613445,6.270286038406951
36,6.4454039239282785,6.316891171599328
37,6.479296931875494,6.356367204467341
38,6.513422950125465,6.396547692538435
39,6.491903206511004,6.392812303866773
40,6.246809878751679,6.294347746024714
41,6.200410091507986,5.978282284313611
42,6.097921742852849,5.9514758358243025
43,6.222810650635631,6.036528692625579
44,6.341429322524985,6.097564753573258
45,6.286661969353938,6.139101099205735
46,6.293222309231491,6.199470848312016
47,5.9749443426336715,5.9749443426336715
48,6.08959064733516,5.970300452388205
49,6.09620787791807,6.025080533902487
50,6.077799615488465,5.960901815425774
51,6.2691793717656585,5.9515600169992435
52,6.065927672431015,5.9491645246753775
53,6.00311230054583,5.939870241677762
54,5.93608511352962,5.938402611669982
55,5.737290303909339,5.636013349760888
56,5.7954405532111,5.696111735973429
57,5.85039437311795,5.683569252393964
58,5.864851360215098,5.601992535895786
59,5.869226387091382,5.800758587813922
60,5.852730596523678,5.788688230196583
61,6.023432237141434,5.906430146468122
62,6.014703821464067,5.896394331465438
63,6.020651435457276,5.902868399800893
64,5.84284145138766,5.701762853127754
65,5.847339446508051,5.6229466757934095
66,5.713477319591533,5.634743279049029
67,5.85911523110557,5.6372070103993535
68,5.8667251963633555,5.642355403325902
69,6.040662183171701,5.863266744713802
70,6.047597628917374,5.871785452308936
71,6.054468022470003,5.870525719778315
72,6.251620427969974,6.050212405285479
73,6.170044155741471,6.039841405289059
74,6.235529533008196,6.1388784210552405
75,6.274307334435037,6.133180094494065
76,6.389061966805516,6.266086904446707
77,6.456945258824288,6.378677568257577
78,6.452777907140362,6.261581745912932
79,6.344497805944682,6.262089117465058
80,6.3903324887379735,6.242826351629383
