,Kigali,Ruhengeri
0,6.610654572924529,6.1496858585690015
1,6.527022138629751,6.056300376498575
2,6.442398033096756,6.036932924988593
3,6.452704987440505,6.011591005672084
4,6.4211218419049745,6.208951377524065
5,6.3818572677861045,6.37370726342418
6,6.41215791168947,6.421562369717449
7,6.417968668847862,6.444616316274036
8,6.395864436139286,6.298083052558324
9,6.4089058284778835,6.294294068623483
10,6.4016191643122715,6.162304880034476
11,6.378190424051511,6.236038042291054
12,6.356308915970608,6.233566104976668
13,6.342013303231424,6.291961155137457
14,6.3408838873316,6.383578118429606
15,6.330911713184831,6.360800369586706
16,6.3556792310702805,6.373399263296248
17,6.439363167604508,6.426962654406053
18,6.480043589115258,6.447141375171047
19,6.474282247601098,6.509501834581397
20,6.47109870135023,6.522731611974701
21,6.524600555311195,6.551947251484816
22,6.5255426678105755,6.553847944347396
23,6.475499345730819,6.292634162938155
24,6.4639965817871365,6.374879493180546
25,6.451213162169567,6.45087157378025
26,6.443533324611391,6.443191151810789
27,6.442376201211883,6.442376201211883
28,6.436966041172141,6.443768788494894
29,6.440075778214787,6.515515485816363
30,6.463288771472494,6.518057033817434
31,6.442049560979761,6.521250074688369
32,6.462544947443345,6.526788713120543
33,6.403458646909942,6.528241392978615
34,6.41471937139723,6.527121795876571
35,6.475176050086961,6.270001764617799
36,6.446638099291727,6.309820053884018
37,6.459817760557138,6.3051048091378945
38,6.438948204351826,6.438948204351826
39,6.430693375926778,6.430693375926778
40,6.422478174743804,6.423847100351146
41,6.414993285944068,6.4156784521236645
42,6.445740370001599,6.416990956715614
43,6.451586290392824,6.428153102377929
44,6.469509205980361,6.442110231792247
45,6.474646642455611,6.447115653821153
46,6.478276715555951,6.446658961568394
47,6.478518161893035,6.44550278363884
48,6.478694573112903,6.311640488449736
49,6.457100498300085,6.097670731682509
50,6.395930343785088,6.024075835939438
51,6.335332305585795,6.0187983293283125
52,6.306490925556851,6.007248030703994
53,6.18968824395645,6.11356454848365
54,6.2245899073714615,6.110992729647756
55,6.211731714648499,6.166741428388842
56,6.241209328100147,6.109684664591467
57,6.117567405851823,6.17168423152698
58,6.188758733831661,6.0002506791802075
59,6.066910390681981,5.932379497724375
60,6.053190075962875,5.859899487798347
61,5.988006352915141,6.111270160065494
62,5.990702507062162,6.10991513552814
63,6.048587957805855,6.210093202472783
64,6.111864964969682,6.21703425775667
65,6.117110741575557,6.222280034362545
66,6.117882910983303,6.223243426641129
67,6.114812486133453,6.220750869475664
68,6.117133012052837,6.265752704328562
69,6.10092178002919,6.32505006800594
70,6.153694269392262,6.317147341881834
71,6.190398089631717,6.115596876549018
72,6.058201002373025,6.083595967874424
73,6.124458980700333,6.050499211585045
74,6.17333983979022,6.103828296092471
75,6.17692304328469,6.0929968355847555
76,6.1851219213777435,6.088751108629726
77,6.272019544272039,6.135719345079384
78,6.1696200310578195,6.150760019857685
79,6.196981814994793,6.159208329963582
80,6.199957793106037,6.186976217466884
81,6.157305325363597,6.197768188976779
82,6.156069595177607,6.049909399349216
83,6.198301556359853,6.1288587287986385
84,6.238822015055675,6.202028567173874
85,6.246327730506429,6.19919209345925
86,6.24697062490582,6.201098536878158
87,6.205457075521442,6.205457075521442
88,6.233701501018683,6.195407616420538
89,6.214141559495124,6.180379604385593
90,6.2057513020777195,6.167363575228331
91,6.161263440769722,6.143005672196157
92,6.283678256888192,6.3131874149719565
93,6.402695676499886,6.402695676499886
94,6.515501844392555,6.4962618639119585
95,6.492717592138983,6.5818175869250295
96,6.50794577195153,6.447831521623699
97,6.370257147920791,6.443843261296628
98,6.327826025278375,6.435106453758529
