,Eldoret,Kisumu
0,5.40235996842717,5.663050592336632
1,5.485834693801714,5.658422997047921
2,5.562256875899748,5.603264899627125
3,5.563125502987594,5.658435682791919
4,5.5472578543800175,5.649614801044308
5,5.540989582219774,5.6453157285155475
6,5.537548771526743,5.644411917069104
7,5.591431987433599,5.661726557228723
8,5.594001072389111,5.662286980255242
9,5.5852044312251925,5.656204742720281
10,5.614821837749787,5.802409186260294
11,5.6116514697897,5.798528843119516
12,5.736872287953763,5.795368494635372
13,5.702791461199394,5.792136561535243
14,5.669684032815304,5.791749730263689
15,5.5313670964152335,5.790034499001399
16,5.565890650588389,5.79116715685274
17,5.562781808867302,5.788058315131654
18,5.559682602097261,5.784959108361613
19,5.556127854713065,5.779982896630039
20,5.618013504133962,5.77430474846033
21,5.58030741646639,5.768359647969329
22,5.573927743219124,5.763139938819203
23,5.570668024203145,5.756721464185711
24,5.641291921173533,5.747452117001923
25,5.635911086661275,5.852975591899102
26,5.827643908543224,5.852145456585041
27,5.819348123600469,5.964318411082766
28,5.769808922343714,6.070165435692222
29,5.807437756739882,6.057741573514864
30,5.983108652229409,6.045890772185865
31,5.959753612171627,6.1341510512095425
32,5.998624812023313,6.2214516905106825
33,5.959846070158149,6.219830190693429
34,5.9888055438607015,6.230121695754557
35,5.996869315839742,6.234106630229812
36,5.85614021922058,6.236415078500186
37,5.8020564056480115,6.0489982865163086
38,5.772486606150529,5.938092164952554
39,5.783397572767739,5.832822456095262
40,5.718719359584662,5.838244418011139
41,5.763783859039392,5.838868489147492
42,5.649511699367608,5.789942314452403
43,5.553816903873834,5.838103387324477
44,5.554973270008276,5.7086395710418545
45,5.521318248844151,5.705968095397696
46,5.459230470500578,5.700392527317466
47,5.469216360284354,5.690898990958889
48,5.46268546713954,5.68728780791741
49,5.481115631967288,5.595333601459176
50,5.49897092403976,5.691082366106241
51,5.49549659756693,5.6812723892289725
52,5.52262078757555,5.7570714098044515
53,5.481896746596045,5.67054198068604
54,5.478688512148342,5.748978841888254
55,5.482449361196043,5.670452751457429
56,5.475938750862315,5.741984323720734
57,5.473526941134762,5.575087141284258
58,5.246206386990925,5.54308517019238
59,5.206229886463256,5.516384814767096
60,5.206169450008134,5.51754129358232
61,5.162662151664815,5.521002374922609
62,4.949812336240371,5.339466838321893
63,4.822899046160605,5.330396879833921
64,4.879057495212685,5.507666154635059
65,4.8184961215260165,5.44265043059901
66,4.883897777989041,5.512297429154828
67,4.820050455724354,5.513197636284299
68,4.8108673548902905,5.5107485676315795
69,4.86663165427706,5.527413550334973
70,4.983277002366445,5.4941026261324355
71,5.088590146056171,5.5611286309050945
72,5.040090552975195,5.65008736520297
73,5.184068892220713,5.493305968234323
74,5.191413299921033,5.437422675972245
75,4.98633127202233,5.427966688336249
76,5.037706802375934,5.422118501286266
77,5.077086378178995,5.476715704823058
78,5.210427598645093,5.476130764378098
79,5.431594033681344,5.620836033319873
80,5.438255832750031,5.878614745410771
81,5.649035176795705,5.874398484848228
82,5.754895150102365,5.872401062298474
83,5.743380796726998,5.743380796726998
84,5.589840001006751,5.841434452492073
85,5.5438376013660635,5.930726323901292
86,5.587806427414205,5.864716772249512
87,5.586288818109315,5.717985684444245
88,5.525745210656986,5.718253174917198
89,5.522532862906612,5.714671083395043
90,5.521094538642053,5.740418591141374
91,5.587021119331962,5.904179009916696
92,5.526948610126464,5.896530832160317
