,Kigali,Gitega
0,6.070382203918308,6.354530871251242
1,6.036357173261998,6.297098706623741
2,6.056300376498575,6.3717729861586205
3,6.0050341779078815,6.086751895065932
4,5.9455523460825646,5.825755937221311
5,5.8929182136723295,5.712855304404238
6,5.854389601226159,5.5071291734824195
7,5.8814509173696505,5.650490169791607
8,5.890037364836552,5.7854565610131
9,5.853221623253579,5.832381726287005
10,5.890362199234257,5.772517979054819
11,5.92439075100964,5.705149502657235
12,5.902680216907551,5.746000317357191
13,5.951651236247045,5.836713144096547
14,5.954290596024135,6.0537350198440185
15,5.9042431617549855,6.051910189615066
16,5.913236441169735,6.049541081609407
17,5.921032241515324,6.0549888552480935
18,6.008580251512054,6.076705778687638
19,5.9850506073695025,6.228673161023703
20,5.928936826906347,6.412250773870708
21,5.975777264120205,6.400346633812314
22,5.963533037142585,6.55199213776749
23,6.015791735174351,6.54101188514996
24,5.979062459416928,6.362843729400607
25,5.926263505101222,6.414818536217622
26,6.022949139096596,6.379153823002023
27,6.034641208351415,6.37080326022368
28,6.035377742432729,6.076862041490409
29,6.02979299071882,6.068725692147187
30,6.027803291878598,6.078764511948255
31,6.068591596446832,6.017716506572133
32,6.061243699318592,5.948006410750576
33,6.043174239652624,5.967503697684642
34,6.058110932608352,6.0766923958046215
35,6.053366294244605,6.182923988140843
36,5.998734630366377,6.281396934183395
37,5.981490674658081,6.36285727122482
38,6.034597241576024,6.272235517660425
39,6.034166389744794,6.346232526710241
40,6.02454403925959,6.151694883502552
41,5.992748444636009,6.2384095299604425
42,6.008842541881721,6.395981604758033
43,6.001054548740154,6.466994209353158
44,6.008996363851821,6.468658040802564
45,6.023010932408279,6.039452630156931
46,6.040777869158783,6.1399830036547165
47,6.039446517702006,6.196294511578947
48,6.087828339367025,6.153468737943311
49,6.063056437291688,5.935142005145361
50,6.056438143849156,5.93429631469236
51,6.026183318279003,5.93868912606712
52,5.5909322845309815,5.651762288978788
53,5.56188544772143,5.291575473435621
54,5.527471364087863,5.35887052975265
55,5.481561363473918,5.399047248822575
56,5.533698171898602,5.456825051156964
57,5.542255412020562,5.354728609372341
58,5.299068563155487,5.363454731556295
59,5.4004775693977205,5.653091785267965
60,5.410059494532649,5.572823964055831
61,5.401591898315803,5.481157148506551
62,5.294859172355196,5.581087693098619
63,5.297555326502216,5.7580391240371
64,5.293802470598628,5.838483185746734
65,5.011338800119288,5.805810138980008
66,5.016584576725163,5.772910311696586
67,5.019270622315193,5.764173885217408
68,5.358025545490209,5.760900926597363
69,5.378568351802099,5.836556287841273
70,5.4321067001287755,5.7636072881951055
71,5.447376625642572,5.831975429995446
72,5.404819464612802,5.926601172597637
73,5.5279841892923836,5.961872692839739
74,5.528546908354297,5.966915103113885
75,5.39301627935272,5.958820590011928
76,5.392037115288017,5.471318054751238
77,5.491974740817798,5.35788509881904
78,5.4842071371710155,5.227366633737478
79,5.545228445913004,5.225120956799933
80,5.484686965020713,5.22739499198421
81,5.465558602968684,5.3552366962848295
82,5.4659518672576795,5.471423843348001
83,5.462922414617662,5.72834421700459
84,5.577731186615705,5.755406409921075
85,5.7740598272866634,5.789667519490088
86,5.704422129605038,5.852928771955945
87,5.600975532047153,5.911906400480863
88,5.655936394577584,5.965679168365824
89,5.652093666591089,6.0205141626656085
90,5.628961640182937,6.0128757686412815
91,5.675344356218087,6.110183974917225
92,5.9109087142332,6.151292360364187
93,5.951268432827086,6.23384365901701
94,5.940914398557166,6.271469782974216
95,5.872141104413873,6.259648676664725
96,5.815964772281768,6.253181742210327
97,5.583922367286838,6.158475679264323
98,5.514490722865772,5.956242561171233
