,Bujumbura,Gitega
0,6.408324341733965,6.297098706623741
1,6.353128378275389,6.3717729861586205
2,6.336082441729019,6.086751895065932
3,6.0243224761995995,5.825755937221311
4,6.081754265055646,5.712855304404238
5,6.079421874236625,5.5071291734824195
6,6.012658472146446,5.650490169791607
7,6.0122833577436054,5.7854565610131
8,6.044289204334289,5.832381726287005
9,6.030347088356919,5.772517979054819
10,5.970643660133654,5.705149502657235
11,5.9878582125535535,5.746000317357191
12,5.992230878135337,5.836713144096547
13,6.116105350570477,6.0537350198440185
14,6.170486997256343,6.051910189615066
15,6.172502792744242,6.049541081609407
16,6.176662946397443,6.0549888552480935
17,6.182281440645778,6.076705778687638
18,6.171191488735813,6.228673161023703
19,6.413760208119562,6.412250773870708
20,6.400722503014258,6.400346633812314
21,6.473325892802677,6.55199213776749
22,6.462027826738963,6.54101188514996
23,6.528886297135772,6.362843729400607
24,6.567095540628625,6.414818536217622
25,6.565791312261545,6.379153823002023
26,6.626893541057757,6.37080326022368
27,6.4441581889473545,6.076862041490409
28,6.37104727317358,6.068725692147187
29,6.365750932198069,6.078764511948255
30,6.368858932941139,6.017716506572133
31,6.431644231272116,5.948006410750576
32,6.411198717252972,5.967503697684642
33,6.4420558997442585,6.0766923958046215
34,6.445190089887184,6.182923988140843
35,6.388341042609541,6.281396934183395
36,6.363567750828419,6.36285727122482
37,6.358082072153762,6.272235517660425
38,6.3465897333580825,6.346232526710241
39,6.3330119198705015,6.151694883502552
40,6.325420906950073,6.2384095299604425
41,6.314275279998097,6.395981604758033
42,6.270445531269072,6.466994209353158
43,6.228508072910977,6.468658040802564
44,6.236197132903801,6.039452630156931
45,6.140419399035851,6.1399830036547165
46,6.147795002839551,6.196294511578947
47,6.048689786710134,6.153468737943311
48,5.869877003772425,5.935142005145361
49,5.93648210791234,5.93429631469236
50,5.93868912606712,5.93868912606712
51,5.940901025927034,5.651762288978788
52,5.9378057342078145,5.291575473435621
53,5.994059433549353,5.35887052975265
54,5.865792788148753,5.399047248822575
55,5.5518173164776075,5.456825051156964
56,5.991861148377614,5.354728609372341
57,5.871952065562694,5.363454731556295
58,5.734255192375172,5.653091785267965
59,5.739145179503344,5.572823964055831
60,5.746743757330513,5.481157148506551
61,5.746305679565559,5.581087693098619
62,5.7580391240371,5.7580391240371
63,5.767163274813551,5.838483185746734
64,5.765964230432808,5.805810138980008
65,5.883137017005585,5.772910311696586
66,5.910530293317847,5.764173885217408
67,5.899837737788793,5.760900926597363
68,6.265201241728431,5.836556287841273
69,6.240344949622186,5.7636072881951055
70,6.010941278942428,5.831975429995446
71,6.018907569523006,5.926601172597637
72,6.021847837462467,5.961872692839739
73,6.0268902477366115,5.966915103113885
74,6.019053847920166,5.958820590011928
75,5.809843680184293,5.471318054751238
76,5.687188845961639,5.35788509881904
77,5.449604797936875,5.227366633737478
78,5.447359120999331,5.225120956799933
79,5.502527869073664,5.22739499198421
80,5.554811501226343,5.3552366962848295
81,5.681526905035536,5.471423843348001
82,5.986837857767325,5.772683685483391
83,6.013330416440484,5.789667519490088
84,6.005691526508355,5.852928771955945
85,6.079310870571581,5.911906400480863
86,6.076621493277819,5.965679168365824
87,6.17640548697065,6.0205141626656085
88,6.213731975652058,6.0128757686412815
89,6.252669623213981,6.110183974917225
90,6.283723763877686,6.151292360364187
91,6.357064639876909,6.23384365901701
92,6.3513939580807905,6.271469782974216
93,6.319087004597455,6.259648676664725
94,6.314079924416923,6.253181742210327
95,6.2023750675322935,6.158475679264323
96,6.010636633237032,5.956242561171233
