,Nakuru,Eldoret
0,6.269643121194631,6.57967627648322
1,6.271738240300797,6.606251612436677
2,6.1775682141919575,6.627769216141513
3,6.065022496009283,6.639896049740655
4,6.163987426248881,6.604735697345827
5,6.2555229799993395,6.588176659080447
6,6.164652539769697,6.598493025723695
7,6.266657541376189,6.629327139644766
8,6.269322468996456,6.640637917252501
9,6.260913208783499,6.611207896231595
10,6.255232722228788,6.602477055831913
11,6.338471865456233,6.587438064189276
12,6.33448335957486,6.567683874723921
13,6.408322700959061,6.540699581236758
14,6.411774645994671,6.552923820509729
15,6.346797217954415,6.4846051673461975
16,6.409113110531074,6.538904747154852
17,6.406004268809988,6.556758243459415
18,6.402905062039947,6.478106288921558
19,6.39935031465575,6.4731300771899845
20,6.225965838630675,6.522906191055747
21,6.220344771712386,6.4896777054959705
22,6.45054822271013,6.589371344800405
23,6.4495104143997155,6.582190495280729
24,6.439159412503881,6.639273233002824
25,6.491377814802274,6.620322433055505
26,6.48015945940407,6.547837167779981
27,6.475256959020295,6.646108286145729
28,6.492448857128271,6.605966239482725
29,6.527492390219751,6.645415885178283
30,6.513609846560578,6.610420574923716
31,6.733790312209459,6.6266789277301195
32,6.827280321601237,6.608447741182437
33,6.832367126674707,6.736087842754295
34,6.51886252955458,6.694282014881355
35,6.523060158669789,6.7928738818393954
36,6.523459192397635,6.819561363845803
37,6.51976849303224,6.792978532875486
38,6.449373265838694,6.739613538713513
39,6.588682253264534,6.843500006673973
40,6.647203635419596,6.7542819532767755
41,6.649234530454639,6.75718761928304
42,6.530095537388278,6.807360014223469
43,6.533480223211691,6.794399453812331
44,6.651323114272416,6.756570373233819
45,6.6509140830322275,6.808931369900132
46,6.616683259191621,6.821585645708063
47,6.636010161368536,6.837558570700701
48,6.5428810290214185,6.82870263582028
49,6.6260861632375025,6.829327422039969
50,6.571196457534675,6.846322311211043
51,6.5048931310893465,6.756627815732815
52,6.47051388598808,6.776816079065852
53,6.49820502613868,6.700979728518431
54,6.427546572685042,6.725026946562089
55,6.430702443773156,6.69662633569622
56,6.457837637091864,6.711927769087209
57,6.493245287333208,6.713399299799052
58,6.491488023834004,6.753178141793563
59,6.465465369464242,6.7213571194261155
60,6.43717092672199,6.694393791689062
61,6.436294272020863,6.694910425407786
62,6.432990418353861,6.7015664708547265
63,6.429675613045191,6.66750099676304
64,6.417267898358417,6.649763555242907
65,6.41855687214752,6.607473947792195
66,6.4225499004819016,6.612580561987755
67,6.42881924802643,6.650086877579204
68,6.424351125843935,6.5821482927748045
69,6.411615967657628,6.511731775587845
70,6.4090365056953,6.472810987575024
71,6.431649536576872,6.4608267676858295
72,6.475397051066472,6.458867749115261
73,6.418251928983971,6.579972667671775
74,6.41322660876446,6.573986697979392
75,6.407591212060947,6.566928380953233
76,6.395011114949591,6.571977906605886
77,6.3234286247653015,6.618228164985947
78,6.313983213879818,6.699128319497024
79,6.387003774771569,6.695427331530166
80,6.383004351875905,6.710868213960518
81,6.381673373869312,6.763999181582257
82,6.366455302461724,6.765686741736599
83,6.351002057865671,6.60826638295296
84,6.252205775936364,6.421349240349763
85,6.282418809701479,6.533570543765805
86,6.319020384118148,6.5328114512211375
87,6.2794359986692605,6.47221103584949
88,6.296659512544104,6.472364503845929
89,6.274654045926108,6.468896434800287
90,6.273126652807842,6.468317150099675
91,6.12692720928323,6.474935262366607
92,6.130131227149029,6.478536779605255
93,6.128281615454731,6.477377575746555
94,6.1304956853001045,6.479293273496002
95,6.126025836353637,6.4781056980953995
96,6.127925118388319,6.476916710682427
97,6.1264923411749175,6.474994443357775
98,6.121759889965547,6.471242363322776
