,Kabale,Ruhengeri
0,5.864640134535914,5.809899963020098
1,5.860057895725204,5.565998630249903
2,5.9181962574657865,5.540403243665132
3,6.074722820423918,5.685380660383976
4,6.075674742172574,5.827045976287395
5,5.995293085665356,5.605813449939738
6,5.9984969115443585,5.601585196201171
7,6.00169050569505,5.494674294856354
8,6.054123550810641,5.804549160761584
9,6.056735343862079,5.896911203271378
10,5.91234276513152,5.886068239536137
11,5.7393490504576326,5.969562627875629
12,5.8206912352208375,5.725988766039724
13,5.818164011986835,5.793144301235133
14,5.887970814666663,5.885365371973309
15,5.866712099933052,6.023036726185589
16,5.859760650285631,6.019248857314792
17,5.73312151298501,6.017624374055705
18,5.807270155526661,6.067536700489121
19,5.813227849686463,6.068104917462647
20,5.845959002019068,6.068674618106615
21,5.8831635447086805,5.993772259893822
22,5.883361167610363,5.912801970203955
23,5.876892216654152,5.903901266889405
24,5.875497049611605,5.959418756616188
25,5.938773677414251,5.956394825763953
26,5.931817738769596,5.952275649165432
27,5.989057916220662,6.030813243481567
28,5.983435180334269,6.035900224312573
29,5.929260879084041,6.044198305282314
30,5.935325499727626,6.160727962320427
31,5.837313889777912,6.1591854203209255
32,5.940162341662212,5.76177159343919
33,5.939917966176214,5.912575778920711
34,5.830155414198442,5.909434098622017
35,5.528757383475383,5.905307902819664
36,5.614042787931312,5.89071926244637
37,5.783957050270508,5.885046007533101
38,5.779707830980365,6.059003508184932
39,5.68697864322305,6.061307584499176
40,5.602819426509245,6.071677381470038
41,5.603265420379634,6.085435287853515
42,5.598802722299193,6.159666166554744
43,5.691102139147969,6.158045356678502
44,5.680526165783623,5.7509560227244725
45,5.686539010438083,5.903780169615618
46,5.686509541505024,5.902458565057477
47,5.684125539226995,5.891147034475059
48,5.675704892445366,5.8858695278639335
49,5.539959184248697,5.754875960864952
50,5.529909584470062,5.862250120202743
51,5.575304755982544,5.857796833267144
52,5.566226000180676,5.850939046591927
53,5.4683989824242465,5.857831007394825
54,5.345191557304439,5.993283549476262
55,5.069893442679584,5.937696004520118
56,5.00812164893342,5.633588328070851
57,4.943603988701015,5.528804922411252
58,4.951709413493983,5.709600122925881
59,4.935198399561458,5.991774893223915
60,4.924819948473324,5.878150919984036
61,4.917143610746762,5.861096686347354
62,4.890087546982564,5.866342462953229
63,4.9227842367180275,5.866568482702396
64,4.929799495233464,5.864323480928714
65,5.097291180167716,5.868572647754504
66,5.098210509666667,5.900907683408751
67,5.031607754533023,5.894875115457288
68,5.096200574330849,5.62558865786655
69,5.233089591353161,5.570762311305188
70,5.241004235098581,5.716099514565805
71,5.355034767175152,5.6993354778032455
72,5.344647141107389,5.750670923712082
73,5.286030130137388,5.705888549649205
74,5.328698541804271,5.731178024565783
75,5.483428529405349,5.726996139497009
76,5.830167035057341,5.758209508868859
77,5.691784644209972,5.801774790427058
78,5.6922920157620975,5.800886824560006
79,5.700038377160435,5.828561575156329
80,5.85011203155298,5.763262629627971
81,5.851667611676873,5.80823603718836
82,5.850715738531863,5.799037238218257
83,5.8473346357344775,5.757170050978357
84,5.699239051090859,5.771015811669442
85,5.694800635798286,5.732502770058035
86,5.695617170683403,5.785674872420951
87,5.7020320355020715,5.818029138934011
88,5.842217143333874,5.786700268917317
89,5.8382645609120605,5.75435806875749
90,5.838428369233539,5.763321038796345
91,5.614840536866957,5.675781063510792
92,5.617571013347163,5.614574181422755
