,Nakuru,Kisumu
0,5.481733555968683,5.663050592336632
1,5.483828675074848,5.658422997047921
2,5.489936214320122,5.603264899627125
3,5.476114125997964,5.658435682791919
4,5.466277500130518,5.649614801044308
5,5.466881610066053,5.6453157285155475
6,5.481495452284838,5.644411917069104
7,5.496476984333416,5.661726557228723
8,5.5432655543477125,5.662286980255242
9,5.538008739888918,5.656204742720281
10,5.529055015992362,5.802409186260294
11,5.566109449342783,5.798528843119516
12,5.600755801257136,5.795368494635372
13,5.59777702618181,5.792136561535243
14,5.597390194910255,5.791749730263689
15,5.636358540284409,5.790034499001399
16,5.634646246003519,5.79116715685274
17,5.632367624338421,5.788058315131654
18,5.587754620875948,5.784959108361613
19,5.545394299069956,5.779982896630039
20,5.541852143168398,5.77430474846033
21,5.534443999673209,5.768359647969329
22,5.530653883332676,5.763139938819203
23,5.5611317577429045,5.756721464185711
24,5.661878554781921,5.747452117001923
25,5.681887239771205,5.852975591899102
26,5.743950070141367,5.852145456585041
27,5.7263850566222505,5.964318411082766
28,5.760239471327563,6.070165435692222
29,5.8884789667430075,6.057741573514864
30,5.974431808203719,6.045890772185865
31,6.016483642540626,6.1341510512095425
32,6.024153679527171,6.2214516905106825
33,6.0861772101302805,6.219830190693429
34,6.070589328954531,6.230121695754557
35,6.048216372222951,6.234106630229812
36,5.695959788303839,6.236415078500186
37,5.643533178408144,6.0489982865163086
38,5.604576828017877,5.938092164952554
39,5.580056648749709,5.832822456095262
40,5.586206400697214,5.838244418011139
41,5.586102681801939,5.838868489147492
42,5.564456449870527,5.789942314452403
43,5.5087486184721275,5.838103387324477
44,5.473799979964453,5.7086395710418545
45,5.433670941785395,5.705968095397696
46,5.339125632083037,5.700392527317466
47,5.332551805827794,5.690898990958889
48,5.350815571296197,5.68728780791741
49,5.426257271415242,5.595333601459176
50,5.410063811885231,5.691082366106241
51,5.423781289056337,5.6812723892289725
52,5.4168885937867035,5.7570714098044515
53,5.393311309781967,5.67054198068604
54,5.289446512509814,5.748978841888254
55,5.290854167616759,5.670452751457429
56,5.245922320260343,5.741984323720734
57,5.246063728676035,5.575087141284258
58,5.246206386990925,5.54308517019238
59,5.250681649034091,5.516384814767096
60,5.2551770291148285,5.51754129358232
61,5.253633929870541,5.521002374922609
62,5.1110644082748955,5.339466838321893
63,4.944734399021936,5.330396879833921
64,4.974367675017009,5.507666154635059
65,4.770705457689668,5.44265043059901
66,4.774698486024049,5.512297429154828
67,4.942652777816686,5.513197636284299
68,4.943553796049248,5.5107485676315795
69,4.969441148143281,5.527413550334973
70,4.966182569007144,5.4941026261324355
71,4.964441716532711,5.5611286309050945
72,4.964400760782645,5.65008736520297
73,4.964359803355138,5.493305968234323
74,4.977299155326217,5.437422675972245
75,5.029581255816146,5.427966688336249
76,5.024600454870633,5.422118501286266
77,5.0745894979804085,5.476715704823058
78,5.333029920737425,5.476130764378098
79,5.650562213585073,5.620836033319873
80,5.628563741176636,5.878614745410771
81,5.609369920403274,5.874398484848228
82,5.633051512271211,5.872401062298474
83,5.538790733771096,5.743380796726998
84,5.434711325991516,5.841434452492073
85,5.687858267239304,5.930726323901292
86,5.72207068925438,5.864716772249512
87,5.528957886370207,5.717985684444245
88,5.500547027052287,5.718253174917198
89,5.461518757151466,5.714671083395043
90,5.458524012339249,5.740418591141374
91,5.466027808045331,5.904179009916696
92,5.461402532228593,5.896530832160317
