,Gitega,Ngozi
0,6.898146317840224,6.86381684883164
1,6.917042483160391,6.797188170491792
2,6.831437879996723,6.84643618772067
3,6.778783626542012,6.846212776052781
4,6.8273224367399505,6.833407916560032
5,6.834773732705734,6.836865783677958
6,6.744493095014702,6.836380567541525
7,6.743436720924039,6.782985177566352
8,6.663995610880257,6.702189999306349
9,6.6355225278262555,6.692368099492527
10,6.589962876292342,6.685568171931773
11,6.533687631063145,6.619871606758764
12,6.568359229397142,6.679827536675793
13,6.60811252155624,6.684206412398392
14,6.6349606654105,6.682710315384156
15,6.660491897517042,6.734557135541145
16,6.655126981399024,6.7082937073360505
17,6.6789081743070815,6.6789081743070815
18,6.682205652188828,6.682205652188828
19,6.670113371590146,6.738949183236975
20,6.656913386272335,6.723537991406674
21,6.742976030830255,6.710702043271596
22,6.760664027159924,6.760664027159924
23,6.748591667600305,6.806036926717879
24,6.7376779875536155,6.797299950721675
25,6.703878968639525,6.763044091291506
26,6.841777344950136,6.84046930029012
27,6.930319767940604,6.881489888923772
28,6.87355751165983,6.898158235476392
29,6.714906886409717,6.822056771731066
30,6.874277464137257,6.824953573129102
31,6.8506256295072365,6.820402653013379
32,6.78545048110637,6.819595756887571
33,6.775646455650118,6.827985957630916
34,6.587140589862414,6.715064557494847
35,6.712876453576534,6.824576372000877
36,6.743103773883894,6.7731000240376895
37,6.711540164632215,6.769032858936583
38,6.707895925712549,6.764496397229259
39,6.753720120785308,6.752768872199904
40,6.737998330027926,6.7904640276171575
41,6.70369987475408,6.784953236328513
42,6.7486592082641454,6.776310739594655
43,6.7620837230828,6.824876602470307
44,6.82940882562122,6.825085429349514
45,6.839037332402341,6.832341119888101
46,6.672227530707877,6.7834666575443014
47,6.735291012311634,6.789052189203087
48,6.794679448644459,6.794679448644459
49,6.745345741126324,6.798188222500705
50,6.7464414502659995,6.8007898109193645
51,6.692204024138941,6.803916369368824
52,6.7513459230365305,6.805668604775688
53,6.72068983173844,6.802573313056469
54,6.745164890872541,6.799027696770069
55,6.684719951406741,6.795512756341946
56,6.787861700213757,6.738147321560794
57,6.625122888591686,6.74199526031117
58,6.565681826972208,6.690879228820682
59,6.571130260086281,6.695745420288031
60,6.639175390505719,6.758535809247158
61,6.57976943717466,6.7639346701980045
62,6.4535046135811545,6.708430085249448
63,6.468508523201401,6.655333355220599
64,6.5328811482083315,6.6650053011353725
65,6.533509701046613,6.6027541132215966
66,6.54045578231039,6.611459209890555
67,6.533174408295612,6.601327296532839
68,6.529703468401219,6.723268116769353
69,6.632296338563627,6.663548882067731
70,6.6613486611581285,6.664098181724499
71,6.658968024221904,6.658418422669185
72,6.708937864442698,6.708937864442698
73,6.686527096645392,6.714995018022411
74,6.7059047670059195,6.72055704379279
75,6.713244325392688,6.713244325392688
76,6.7251082447031365,6.6959395101124795
77,6.715779985417232,6.686550347102294
78,6.674019411427988,6.674019411427988
79,6.728695461938755,6.6717737344904435
80,6.64254818156608,6.6114345607170115
81,6.622240862457765,6.622240862457765
82,6.501948647643971,6.571243132766146
83,6.5311721763701645,6.62886885654007
84,6.491000280728277,6.593369313372226
85,6.486899114946158,6.59161724615024
86,6.482814700050033,6.589862103800083
87,6.478295937454148,6.608412414978601
88,6.469893788772947,6.634789292241042
89,6.53402195037023,6.657749342898131
90,6.53377584122948,6.657220032320602
91,6.588686242496685,6.648804509550161
92,6.548319865314938,6.640378009732886
93,6.572175955736031,6.632664717216682
94,6.564437254998124,6.624993870421932
95,6.669200900482644,6.619323188625813
96,6.665630447145529,6.608228931323102
97,6.659163512691131,6.601761996868704
98,6.704573633641416,6.707511931543863
99,6.703783813796977,6.742250094624773
