,Nairobi,Kisumu
0,6.253532300921933,5.663050592336632
1,6.253304538611959,5.665145711442798
2,6.260044436016196,5.632303455607044
3,6.246970290885226,5.658435682791919
4,6.237589453539799,5.650460467056651
5,6.23413676277972,5.6453157285155475
6,6.09877443370307,5.644411917069104
7,6.131316193506427,5.661726557228723
8,6.134762798646367,5.662286980255242
9,6.127446251224562,5.655378637757975
10,6.120152942198136,5.650149312952401
11,6.113878588300459,5.645324684896288
12,6.109681433087875,5.642164336412144
13,6.107217608175139,5.792136561535243
14,6.107350392399816,5.791749730263689
15,6.28882214420791,5.700689398665549
16,6.295723167605135,5.637962998629512
17,6.292614325884049,5.6348541569084265
18,6.289515119114008,5.710523285267847
19,6.266912176759117,5.624883450128195
20,6.26162023913377,5.682552025271533
21,6.273454597026335,5.768359647969329
22,6.2679388547183335,5.763139938819203
23,6.261223410655661,5.756721464185711
24,6.251057492794427,5.7460122319439355
25,6.230233145309451,5.725842173754239
26,6.224367702249815,5.718796031024982
27,6.28477209158718,5.846394202277281
28,6.317891007993051,6.070165435692222
29,6.2991202759365,6.057741573514864
30,6.308411055063845,6.045890772185865
31,6.375445252063623,6.089215612692157
32,6.376084879394346,6.217219775604103
33,6.532308658621877,6.2257699620812135
34,6.591699853506847,6.230121695754557
35,6.582862258287834,6.234106630229812
36,6.549287399780526,6.236415078500186
37,6.568680282110603,6.050020259012001
38,6.541947465824144,5.940367478789689
39,6.575182723224684,5.832822456095262
40,6.60223928890192,5.838244418011139
41,6.452818628046244,5.838868489147492
42,6.457360249046529,5.789942314452403
43,6.4264567850272565,5.791097344948546
44,6.507873747494992,5.7086395710418545
45,6.455627486220984,5.70524108700508
46,6.477722744858338,5.700392527317466
47,6.44157001565702,5.690898990958889
48,6.458906603918851,5.684368097814075
49,6.391696141330559,5.680491409799482
50,6.314520086112383,5.691082366106241
51,6.402750076415144,5.684141831656925
52,6.337001217492534,5.6772491363872915
53,6.019775118693772,5.795637037213054
54,6.020252119239107,5.664432241620108
55,5.99124450939855,5.663199000270156
56,6.1207007816204255,5.670535494594354
57,5.968766018839951,5.672169642394061
58,5.821907780549079,5.5193370956035475
59,5.826505813490167,5.339466838321893
60,5.853941276007686,5.330396879833921
61,5.847703457420768,5.57220467577263
62,5.824017987128114,5.576181823223533
63,5.84972477568628,5.512297429154828
64,5.853008774171027,5.513197636284299
65,5.795069292380656,5.50906930611186
66,5.79683785421319,5.497361205268572
67,5.856860725024573,5.4941026261324355
68,5.857475586242599,5.492361773658002
69,5.839130022670002,5.497380728947945
70,5.8445791434676355,5.493305968234323
71,5.8616236951378795,5.5026258697830075
72,5.890392835370073,5.4982612581313735
73,5.8703894503921665,5.490638447723022
74,5.869841901477508,5.480054606088573
75,5.887136052861878,5.476130764378098
76,5.90094640924076,5.617958333492258
77,5.876399905081218,5.627142276829259
78,5.884326862045562,5.622291851820194
79,5.85675828522802,5.754895150102365
80,5.743380796726998,5.611646995814282
81,6.138752389225789,5.71649165163099
82,6.421349240349763,5.811379566268726
83,6.351704464092,5.812096736701151
84,6.306914227860388,5.813529536407596
85,6.306206124427684,5.813621665459461
86,6.3021720748200005,5.810214935358393
87,6.3020303989901905,5.810849444504627
88,6.092705343597534,5.815279771312942
89,6.089580991601313,5.809329647824573
