,Ruhengeri,Mulindi
0,6.1496858585690015,6.50562523792878
1,6.056300376498575,6.4648259307598455
2,6.036932924988593,6.366738470251616
3,6.011591005672084,6.357318672267458
4,6.208951377524065,6.300594244635564
5,6.37370726342418,6.278478913332269
6,6.421562369717449,6.453798468733787
7,6.444616316274036,6.524424474867103
8,6.298083052558324,6.5129395071643295
9,6.294294068623483,6.4077323489769
10,6.162304880034476,6.31503449951175
11,6.236038042291054,6.3491209569008795
12,6.233566104976668,6.300669826323784
13,6.291961155137457,6.3525354561588125
14,6.383578118429606,6.345718707386183
15,6.360800369586706,6.417653366639447
16,6.373399263296248,6.4276473327449715
17,6.426962654406053,6.43371343506239
18,6.447141375171047,6.440849847951568
19,6.509501834581397,6.4506712277613385
20,6.522731611974701,6.327422859653935
21,6.551947251484816,6.318002160215768
22,6.553847944347396,6.3223598590589045
23,6.292634162938155,6.282798018061442
24,6.374879493180546,6.323144869517995
25,6.45087157378025,6.2995639049086956
26,6.443191151810789,6.292002087088234
27,6.442376201211883,6.304604106173052
28,6.443768788494894,6.3105279105676155
29,6.515515485816363,6.314460248915133
30,6.518057033817434,6.305578577319647
31,6.521250074688369,6.289778099267678
32,6.526788713120543,6.270815856207698
33,6.528241392978615,6.274841269087849
34,6.527121795876571,6.084477684526653
35,6.270001764617799,6.070379167864003
36,6.309820053884018,6.003089786461543
37,6.3051048091378945,5.982706299728344
38,6.438948204351826,5.996583678595751
39,6.430693375926778,6.003796407065341
40,6.423847100351146,6.033991403170058
41,6.4156784521236645,6.047192347256588
42,6.416990956715614,6.055343352107502
43,6.428153102377929,6.066684859866918
44,6.442110231792247,6.07396097887505
45,6.447115653821153,6.081830324287008
46,6.446658961568394,6.065341284082621
47,6.44550278363884,5.854634452199313
48,6.311640488449736,5.906175380341573
49,6.097670731682509,5.862135448073135
50,6.024075835939438,5.863045001954365
51,6.0187983293283125,5.894267897562766
52,6.007248030703994,5.932652055287233
53,6.11356454848365,5.9480501100060765
54,6.110992729647756,6.107226246852279
55,6.166741428388842,6.106559186584045
56,6.109684664591467,5.965857868105844
57,6.17168423152698,6.003899360423918
58,6.0002506791802075,6.095560858984532
59,5.932379497724375,5.86745995162506
60,5.859899487798347,5.8249832226921185
61,6.111270160065494,5.859684103370586
62,6.10991513552814,5.8392306394449305
63,6.210093202472783,5.828479310186799
64,6.21703425775667,5.865998656947561
65,6.222280034362545,6.022947131742054
66,6.223243426641129,6.117882910983303
67,6.220750869475664,6.104158632336177
68,6.265752704328562,6.075747795889982
69,6.32505006800594,6.078000995838175
70,6.317147341881834,6.098951846184994
71,6.115596876549018,6.094006243956651
72,6.083595967874424,6.069454318059752
73,6.050499211585045,6.0951313656058135
74,6.103828296092471,6.137308228419308
75,6.0929968355847555,6.085184295847962
76,6.088751108629726,6.0809385688929325
77,6.135719345079384,6.0951668767721845
78,6.150760019857685,6.107214464870389
79,6.159208329963582,6.119951805963192
80,6.186976217466884,6.197374924687783
81,6.197768188976779,6.199490842288225
82,6.049909399349216,6.2137274845786115
83,6.1288587287986385,6.205382227431731
84,6.201098536878158,6.179920278168415
85,6.205457075521442,6.202140322895448
86,6.195407616420538,6.172727097812049
87,6.180379604385593,6.193690949023833
88,6.167363575228331,6.159841600773642
