,Arusha,Nakuru
0,5.3161332504449055,5.481733555968683
1,5.313708138404248,5.483828675074848
2,5.30891085511358,5.489936214320122
3,5.731657082610951,5.476114125997964
4,5.7245594047698205,5.466277500130518
5,5.721962954176504,5.466881610066053
6,5.617142605034944,5.481495452284838
7,5.400440642658901,5.496476984333416
8,5.399964071637734,5.5432655543477125
9,5.39768511652383,5.538008739888918
10,5.296231023149782,5.529055015992362
11,5.291335463523213,5.566109449342783
12,5.395121450512922,5.600755801257136
13,5.3918837370684916,5.59777702618181
14,5.357856917668446,5.597390194910255
15,5.39836341672408,5.636358540284409
16,5.403761418458451,5.634646246003519
17,5.43679595632625,5.632367624338421
18,5.44444472114339,5.587754620875948
19,5.534579538846854,5.545394299069956
20,5.649944168589701,5.541852143168398
21,5.75282669928617,5.534443999673209
22,5.794338779709701,5.530653883332676
23,5.827777437084094,5.5611317577429045
24,5.869704669993074,5.661878554781921
25,5.930973454855508,5.681887239771205
26,5.986426665467563,5.743950070141367
27,6.031250271040776,5.7263850566222505
28,6.11528598802862,5.8884789667430075
29,6.111559480006191,5.974431808203719
30,6.268523178429757,6.016483642540626
31,6.261541545051247,6.024153679527171
32,6.1877713548258875,6.0861772101302805
33,6.183889545754441,6.070589328954531
34,6.006220888349961,6.048216372222951
35,5.7846371836482176,5.695959788303839
36,5.497595701740491,5.643533178408144
37,5.514044262101511,5.604576828017877
38,5.499299789558962,5.580056648749709
39,5.4992076023025565,5.586206400697214
40,5.412854321800954,5.586102681801939
41,5.408898442850501,5.564456449870527
42,5.380760254795821,5.426257271415242
43,5.54110921613512,5.410063811885231
44,5.53579587677543,5.423781289056337
45,5.4499121698897035,5.4168885937867035
46,5.259386746576515,5.393311309781967
47,5.257175820927511,5.289446512509814
48,5.25021947087972,5.290854167616759
49,5.3430828702914175,5.245922320260343
50,5.34498329758997,5.246063728676035
51,5.391339105961063,5.246206386990925
52,5.253218435175246,5.250681649034091
53,5.031718853651894,5.2551770291148285
54,4.900092483650358,5.253633929870541
55,4.902001142312378,5.1110644082748955
56,4.901519197262282,4.944734399021936
57,4.739282205158855,4.974367675017009
58,4.9023315780284715,4.770705457689668
59,4.969585316326035,4.774698486024049
60,5.029941707869589,4.942652777816686
61,5.028424999593834,4.943553796049248
62,5.025798518342362,4.969441148143281
63,5.136507602734529,4.966182569007144
64,5.188366307921746,4.964441716532711
65,5.218885617578165,4.964400760782645
66,5.184950383554069,4.964359803355138
67,5.114944618859133,4.977299155326217
68,5.1628664932766215,5.029581255816146
69,5.1313885312131235,5.024600454870633
70,5.128853674501414,5.0745894979804085
71,5.141140312830274,5.333029920737425
72,5.2216896097719925,5.650562213585073
73,5.240051789536639,5.628563741176636
74,5.213997725698514,5.609369920403274
75,5.3096563986669185,5.633051512271211
76,5.685438107137704,5.718744201204467
77,5.746956373572211,5.528957886370207
78,5.686171358715641,5.500547027052287
79,5.807795590512352,5.461518757151466
80,5.688434236107429,5.458524012339249
81,5.8231600757326785,5.4654229684845435
82,5.766461912362339,5.4684175691905965
83,5.777758201997086,5.468140731362956
84,5.792303295626933,5.470192179309306
85,5.871977938997037,5.465776359300752
86,5.808464115211822,5.469123096032345
87,6.042551197210232,5.466027808045331
88,5.823283862802259,5.461402532228593
