,Owino,Kampala
0,6.798784380987672,6.797703299801299
1,6.780863139737147,6.767859774885162
2,6.785863734730093,6.777904312992352
3,6.782920392762594,6.768072718295499
4,6.812433444848947,6.79728365343428
5,6.81666122532976,6.801450297836939
6,6.781698478553577,6.7803388590375375
7,6.804630896958932,6.804630896958932
8,6.865181079880216,6.850090250237013
9,6.854761481672814,6.854761481672814
10,6.731512427871016,6.730229919679549
11,6.693065159941576,6.691881727850796
12,6.711959545676619,6.71369716557516
13,6.681962294716007,6.68255771003577
14,6.676617289707049,6.6585445086473545
15,6.676958710145931,6.673387277778334
16,6.669579553199765,6.669579553199765
17,6.73250569688453,6.715641890832526
18,6.72413270251338,6.711029309676086
19,6.767621992926765,6.751729402537795
20,6.747918247451214,6.732031854731596
21,6.616691967556228,6.5989813912322735
22,6.643105439816351,6.6429563529729885
23,6.71367257311054,6.6996863311358
24,6.709005219374411,6.678983140193819
25,6.675305847059376,6.6590830115524895
26,6.677944559785632,6.661833739512934
27,6.688526311269359,6.695677712426985
28,6.789634928124658,6.775205768889622
29,6.836408044213878,6.822795777635917
30,6.820345673666395,6.81420691896807
31,6.830895669900067,6.830170769542119
32,6.848876293235224,6.833619739863409
33,6.854794478039374,6.815215125447011
34,6.798353170916925,6.792577888072415
35,6.7891845540846925,6.7891845540846925
36,6.816866714907912,6.802313314191814
37,6.844035257349273,6.816522870817105
38,6.841756325876922,6.8412752096780824
39,6.836897821439705,6.823338291654072
40,6.829654908914267,6.828931407134244
41,6.853850366589606,6.839175547029991
42,6.849756700969181,6.8238649008539705
43,6.757807827177755,6.757549329050427
44,6.76015492002685,6.746775490723683
45,6.791068923412794,6.776112319585729
46,6.786246224673918,6.7724008178518655
47,6.79121031440766,6.79121031440766
48,6.779138454451733,6.779138454451733
49,6.7576686534123604,6.7579266180726325
50,6.757639184479301,6.757639184479301
51,6.754222657587084,6.754222657587084
52,6.747703532595385,6.747703532595385
53,6.743758663329377,6.744018639932947
54,6.86693289658317,6.829033623992183
55,6.864996435711017,6.839666860321264
56,6.8575456956748635,6.832085953122172
57,6.880288890733101,6.868029940388789
58,6.836374624684397,6.836374624684397
59,6.749535613786933,6.749535613786933
60,6.7365115042288854,6.7365115042288854
61,6.713384551210295,6.68820240082643
62,6.716524247478587,6.6882933447007735
63,6.703920200722496,6.673537436235919
64,6.716058448687252,6.702152937991156
65,6.709428704165631,6.708640164237795
66,6.768858393200249,6.768362238389773
67,6.797002457317225,6.784374800449423
68,6.800158323315804,6.788292340766275
69,6.787015970707526,6.760294935069912
70,6.789886520337739,6.7632182732555775
71,6.795680491078833,6.795680491078833
72,6.788850769199765,6.788850769199765
73,6.790506319036384,6.790991638143216
74,6.56367290033826,6.611187775945774
75,6.594939580727151,6.603141149840569
76,6.6302377046216385,6.624840730862728
77,6.641552832590525,6.641552832590525
78,6.692003384699462,6.678166016494928
79,6.765539538040429,6.751718982421796
80,6.762291843417632,6.748201880990163
81,6.76328975523027,6.748460022259219
82,6.763797126782395,6.736943200844543
83,6.7349348514424365,6.722714740107661
