,Nairobi,Eldoret
0,6.512857864329261,6.486373457674127
1,6.545626990620242,6.483308226220983
2,6.547726508467977,6.487991247996916
3,6.417540831143662,6.506454783744106
4,6.411021363623388,6.526210934233516
5,6.40400642884305,6.497079229055745
6,6.357212667711827,6.519317432780405
7,6.418221566890035,6.521481976770745
8,6.420900469246774,6.482343012679217
9,6.413322570573776,6.490082771047603
10,6.406542857860747,6.421175386938703
11,6.402596393625772,6.418005018978617
12,6.335311516972089,6.399436045141628
13,6.395938641759339,6.333267534796563
14,6.3939929637184925,6.262465356691513
15,6.295718723266971,6.147848395227262
16,6.2784216979693825,6.041218161086874
17,6.275312856248297,6.038109319365788
18,6.323245129490702,6.236685934285851
19,6.266912176759117,6.25105281351901
20,6.26162023913377,6.312825964012967
21,6.256062854314465,6.340145971525007
22,6.250516811271669,6.382069093849428
23,6.243770960704435,6.406311897002312
24,6.235281530200259,6.546643033009302
25,6.214261199743398,6.5088513776618155
26,6.254633739190674,6.520791089103169
27,6.331217588797358,6.551854087717269
28,6.333885107473424,6.5101252584509925
29,6.303083816598955,6.575620123242741
30,6.352286106567893,6.5607649844778555
31,6.5331196167473085,6.5642862089857275
32,6.534979303293161,6.579645750278731
33,6.626146000681906,6.608992921455657
34,6.621934714694394,6.470405643175268
35,6.637590699059838,6.463844169423317
36,6.642446919409011,6.47273672219495
37,6.637693422977616,6.520406858837512
38,6.572605906262642,6.488882924212599
39,6.598762386051933,6.551033605318423
40,6.646639778624279,6.532024309759544
41,6.557079638370654,6.581530734234818
42,6.509476250185543,6.509476250185543
43,6.5688019135365545,6.526776287489501
44,6.604964871670312,6.507873747494992
45,6.603478932620255,6.506508607764889
46,6.599925554093286,6.598442094393853
47,6.59186826813861,6.614182758324015
48,6.58295925258883,6.607651865179201
49,6.534844705140171,6.627218025271186
50,6.492736968082205,6.659296566259501
51,6.509297038804601,6.59410888623504
52,6.480579128042395,6.592966638093844
53,6.356673279932768,6.464868666376441
54,6.348995678488661,6.46805503850465
55,6.357777820301539,6.412748180039164
56,6.363682675154299,6.370800142923163
57,6.365316822954006,6.350886558124977
58,6.365920415052882,6.308551744909726
59,6.125748708343024,6.261319761731323
60,6.205865617187821,6.207530896506882
61,6.200813335195003,6.233603158017995
62,6.20312242554521,6.251992084130201
63,6.207115453879592,6.263113855525336
64,6.199633382256258,6.239242520351303
65,6.12448203728891,6.223829963092342
66,6.08326285547492,6.188812032580339
67,6.187249806692381,6.249667436260814
68,6.267635538654971,6.248722445348484
69,6.2697933143828655,6.375931132839254
70,6.141695248152775,6.3260686890024145
71,6.146401321748871,6.3754610204737086
72,6.112193203137815,6.315792158379054
73,6.097376117095436,6.375308650808331
74,6.084370572941903,6.401664499440328
75,6.135376393262362,6.430359335592645
76,6.12474121424129,6.506786048141356
77,6.163527500113747,6.568437823186877
78,6.21891556334301,6.627778923316409
79,6.257708712981658,6.671684510757731
80,6.148005921585438,6.66017518008498
