,Kisumu,Busia
0,5.663050592336632,5.442819559302515
1,5.665145711442798,5.368390731264161
2,5.632303455607044,5.367908856384362
3,5.658435682791919,5.351975757904964
4,5.650460467056651,5.328980718580166
5,5.6453157285155475,5.402413493497336
6,5.644411917069104,5.499568265555266
7,5.661726557228723,5.533521247132916
8,5.662286980255242,5.554348883772717
9,5.655378637757975,5.624919297368462
10,5.650149312952401,5.654594186213162
11,5.645324684896288,5.655251409158446
12,5.642164336412144,5.74055434548759
13,5.792136561535243,5.7112072009785875
14,5.791749730263689,5.7638030947339844
15,5.700689398665549,5.612515317093071
16,5.637962998629512,5.566786906099898
17,5.6348541569084265,5.697072309837952
18,5.710523285267847,5.700987244766897
19,5.624883450128195,5.688592229992797
20,5.682552025271533,5.697319423884363
21,5.768359647969329,5.636170643723225
22,5.763139938819203,5.6194313433579515
23,5.756721464185711,5.629948896936181
24,5.7460122319439355,5.714692616025398
25,5.725842173754239,5.80807891460058
26,5.718796031024982,5.76549916484374
27,5.846394202277281,5.752193689028138
28,6.070165435692222,5.76315459508666
29,6.057741573514864,5.861196332657981
30,6.045890772185865,5.928837110631458
31,6.089215612692157,6.079054370053745
32,6.217219775604103,6.083893311057493
33,6.2257699620812135,5.980881500846523
34,6.230121695754557,6.01459182757544
35,6.234106630229812,5.688290027834117
36,6.236415078500186,5.474777111293995
37,6.050020259012001,5.462532472239282
38,5.940367478789689,5.416722136441101
39,5.832822456095262,5.477651372541887
40,5.838244418011139,5.480279080286579
41,5.838868489147492,5.433135781583236
42,5.789942314452403,5.450898467104721
43,5.791097344948546,5.44403246461266
44,5.7086395710418545,5.411591328899088
45,5.70524108700508,5.281738231253175
46,5.700392527317466,5.235077220363793
47,5.690898990958889,5.241253311880692
48,5.684368097814075,5.357897063254608
49,5.680491409799482,5.3907923781495715
50,5.691082366106241,5.347322780520523
51,5.684141831656925,5.258887923850967
52,5.6772491363872915,5.254202785427384
53,5.67054198068604,5.186003984847137
54,5.7977690060576865,5.136607962555095
55,5.8004367831431525,5.285397988508652
56,5.795637037213054,5.2114667656400835
57,5.664432241620108,5.197853192215453
58,5.663199000270156,4.985817556396541
59,5.670535494594354,5.09438446268788
60,5.672169642394061,5.025513391645289
61,5.5193370956035475,5.041170232632022
62,5.339466838321893,4.888397134079656
63,5.330396879833921,4.916389067603962
64,5.57220467577263,4.9122411662664645
65,5.576181823223533,4.785862950560118
66,5.512297429154828,4.85034721833305
67,5.513197636284299,4.9101258398461045
68,5.50906930611186,5.09637269505928
69,5.497361205268572,5.065030317949494
70,5.4941026261324355,4.9922619316572865
71,5.492361773658002,5.020243995882708
72,5.497380728947945,5.177463538409615
73,5.493305968234323,5.228470645496867
74,5.5026258697830075,5.28346871561634
75,5.4982612581313735,5.367156127707497
76,5.490638447723022,5.281200919368427
77,5.480054606088573,5.315883093287069
78,5.476130764378098,5.353189561812566
79,5.617958333492258,5.587374617670365
80,5.627142276829259,5.789448942038557
81,5.622291851820194,5.629726330391688
82,5.754895150102365,5.520799860898352
83,5.611646995814282,5.546362418443445
