,Kisumu,Eldoret
0,5.663050592336632,5.40235996842717
1,5.658422997047921,5.485834693801714
2,5.603264899627125,5.562256875899748
3,5.658435682791919,5.563125502987594
4,5.649614801044308,5.5472578543800175
5,5.6453157285155475,5.540989582219774
6,5.644411917069104,5.537548771526743
7,5.661726557228723,5.591431987433599
8,5.662286980255242,5.594001072389111
9,5.656204742720281,5.5852044312251925
10,5.802409186260294,5.614821837749787
11,5.798528843119516,5.6116514697897
12,5.795368494635372,5.736872287953763
13,5.792136561535243,5.702791461199394
14,5.791749730263689,5.669684032815304
15,5.790034499001399,5.5313670964152335
16,5.79116715685274,5.565890650588389
17,5.788058315131654,5.562781808867302
18,5.784959108361613,5.559682602097261
19,5.779982896630039,5.556127854713065
20,5.77430474846033,5.618013504133962
21,5.768359647969329,5.58030741646639
22,5.763139938819203,5.573927743219124
23,5.756721464185711,5.570668024203145
24,5.747452117001923,5.641291921173533
25,5.852975591899102,5.635911086661275
26,5.852145456585041,5.827643908543224
27,5.964318411082766,5.819348123600469
28,6.070165435692222,5.769808922343714
29,6.057741573514864,5.807437756739882
30,6.045890772185865,5.983108652229409
31,6.1341510512095425,5.959753612171627
32,6.2214516905106825,5.998624812023313
33,6.219830190693429,5.959846070158149
34,6.230121695754557,5.9888055438607015
35,6.234106630229812,5.996869315839742
36,6.236415078500186,5.85614021922058
37,6.0489982865163086,5.8020564056480115
38,5.938092164952554,5.772486606150529
39,5.832822456095262,5.783397572767739
40,5.838244418011139,5.718719359584662
41,5.838868489147492,5.763783859039392
42,5.789942314452403,5.649511699367608
43,5.838103387324477,5.553816903873834
44,5.7086395710418545,5.554973270008276
45,5.705968095397696,5.521318248844151
46,5.700392527317466,5.459230470500578
47,5.690898990958889,5.469216360284354
48,5.68728780791741,5.46268546713954
49,5.595333601459176,5.481115631967288
50,5.691082366106241,5.49897092403976
51,5.6812723892289725,5.49549659756693
52,5.7570714098044515,5.52262078757555
53,5.67054198068604,5.481896746596045
54,5.748978841888254,5.478688512148342
55,5.670452751457429,5.482449361196043
56,5.741984323720734,5.475938750862315
57,5.575087141284258,5.473526941134762
58,5.54308517019238,5.246206386990925
59,5.516384814767096,5.206229886463256
60,5.51754129358232,5.206169450008134
61,5.521002374922609,5.162662151664815
62,5.339466838321893,4.949812336240371
63,5.330396879833921,4.822899046160605
64,5.507666154635059,4.879057495212685
65,5.44265043059901,4.8184961215260165
66,5.512297429154828,4.883897777989041
67,5.513197636284299,4.820050455724354
68,5.5107485676315795,4.8108673548902905
69,5.527413550334973,4.86663165427706
70,5.4941026261324355,4.983277002366445
71,5.5611286309050945,5.088590146056171
72,5.65008736520297,5.040090552975195
73,5.493305968234323,5.184068892220713
74,5.437422675972245,5.191413299921033
75,5.427966688336249,4.98633127202233
76,5.422118501286266,5.037706802375934
77,5.476715704823058,5.077086378178995
78,5.476130764378098,5.210427598645093
79,5.620836033319873,5.431594033681344
80,5.878614745410771,5.438255832750031
81,5.874398484848228,5.649035176795705
82,5.872401062298474,5.754895150102365
83,5.743380796726998,5.743380796726998
84,5.841434452492073,5.589840001006751
85,5.930726323901292,5.5438376013660635
86,5.864716772249512,5.587806427414205
87,5.717985684444245,5.586288818109315
88,5.718253174917198,5.525745210656986
89,5.714671083395043,5.522532862906612
90,5.740418591141374,5.521094538642053
91,5.904179009916696,5.587021119331962
92,5.896530832160317,5.526948610126464
