Date,Makueni,Nairobi
2016-01-01,,6.512857864329261
2016-01-15,,6.545626990620242
2016-02-01,,6.547726508467977
2016-02-15,,6.417540831143662
2016-03-01,,6.411021363623388
2016-03-15,,6.40400642884305
2016-04-01,,6.357212667711827
2016-04-15,,6.418221566890035
2016-05-01,,6.420900469246774
2016-05-15,,6.413322570573776
2016-06-01,,6.406542857860747
2016-06-15,,6.402596393625772
2016-07-01,,6.335311516972089
2016-07-15,,6.395938641759339
2016-08-01,,6.3939929637184925
2016-08-15,,6.295718723266971
2016-09-01,,6.2784216979693825
2016-09-15,,6.275312856248297
2016-10-01,,6.323245129490702
2016-10-15,,6.266912176759117
2016-11-01,,6.26162023913377
2016-11-15,,6.256062854314465
2016-12-01,,6.250516811271669
2016-12-15,,6.243770960704435
2017-01-01,,6.235281530200259
2017-01-15,,6.214261199743398
2017-02-01,,6.254633739190674
2017-02-15,,6.331217588797358
2017-03-01,6.656551736270831,6.333885107473424
2017-03-15,6.645415885178283,6.303083816598955
2017-04-01,6.634353341135345,6.352286106567893
2017-04-15,6.735312768732915,6.5331196167473085
2017-05-01,6.731601410229312,6.534979303293161
2017-05-15,6.736595585847204,6.626146000681906
2017-06-01,6.734485810897574,6.621934714694394
2017-06-15,6.742384481917004,6.637590699059838
2017-07-01,6.7472407022661764,6.642446919409011
2017-07-15,6.7431674395719465,6.637693422977616
2017-08-01,6.7370553382904745,6.572605906262642
2017-08-15,6.745553560513844,6.598762386051933
2017-09-01,6.677380799888984,6.646639778624279
2017-09-15,6.604218274501613,6.557079638370654
2017-10-01,6.65915264961788,6.509476250185543
2017-10-15,6.626096818197707,6.5688019135365545
2017-11-01,6.520860943021803,6.604964871670312
2017-11-15,6.529735458374706,6.603478932620255
2017-12-01,6.461852075765458,6.599925554093286
2017-12-15,6.454597282510799,6.59186826813861
2018-01-01,6.4480663893659855,6.58295925258883
2018-01-15,6.448058883581744,6.534844705140171
2018-02-01,6.455416761446466,6.492736968082205
2018-02-15,6.504262415205933,6.509297038804601
2018-03-01,6.501148061962706,6.480579128042395
2018-03-15,6.617864821807924,
2018-04-01,6.597779332159993,
2018-04-15,6.608599214586755,
2018-05-01,6.425240226801937,6.356673279932768
2018-05-15,6.389127779914979,6.348995678488661
2018-06-01,6.169429555640725,6.357777820301539
2018-06-15,6.2880350568149845,6.363682675154299
2018-07-01,6.21402737540778,6.365316822954006
2018-07-15,6.34934345888069,6.365920415052882
2018-08-01,6.212608833725317,6.125748708343024
2018-08-15,6.207530896506882,6.205865617187821
2018-09-01,6.280856042868541,6.200813335195003
2018-09-15,6.282531112115966,6.20312242554521
2018-10-01,,6.207115453879592
2018-10-15,6.285872856467305,6.199633382256258
2018-11-01,6.353241036743845,6.12448203728891
2018-11-15,6.3811788911074805,6.08326285547492
2018-12-01,6.408357388521492,6.187249806692381
2018-12-15,6.410684338266384,6.267635538654971
2019-01-01,6.380426543535858,6.2697933143828655
2019-01-15,6.3492245716654345,6.141695248152775
2019-02-01,6.343018118729653,6.146401321748871
2019-02-15,6.344612596914546,6.112193203137815
2019-03-01,6.406929179597177,6.097376117095436
2019-03-15,6.397677783196507,6.084370572941903
2019-04-01,6.391087273239116,6.135376393262362
2019-04-15,6.384698738678216,6.12474121424129
2019-05-01,6.4394939573929655,6.163527500113747
2019-05-15,6.56421417981717,6.21891556334301
2019-06-01,6.564438980404133,6.257708712981658
2019-06-15,6.554031096916307,6.148005921585438
2019-07-01,6.575448427740122,6.1393837253273755
2019-07-15,6.596416658228198,6.130686539759845
2019-08-01,6.621920866600269,
2019-08-15,6.646790754638274,
2019-09-01,6.633762145286237,
2019-09-15,6.634672185926927,
2019-10-01,6.633117094690096,
2019-10-15,6.631559581377472,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
