Date,Soroti,Tororo
2016-01-01,,5.698550031947693
2016-01-15,,5.742498963288706
2016-02-01,,5.784597426862376
2016-02-15,,5.780015188051667
2016-03-01,,5.830460479927918
2016-03-15,,5.823459135165726
2016-04-01,,
2016-04-15,,
2016-05-01,,
2016-05-15,,5.7949530233687225
2016-06-01,,5.847175087117204
2016-06-15,,5.844781203428712
2016-07-01,,5.831958815207664
2016-07-15,,5.916583787478151
2016-08-01,,6.052661965810316
2016-08-15,,6.048795584257324
2016-09-01,,6.044948372396227
2016-09-15,,6.038243067240719
2016-10-01,,6.03042545473073
2016-10-15,,6.012178564337852
2016-11-01,,6.052049976776908
2016-11-15,,6.267075515405949
2016-12-01,,6.287367104571401
2016-12-15,,6.338979123669129
2017-01-01,,6.422438596006496
2017-01-15,,6.46359099156879
2017-02-01,,6.463255465422941
2017-02-15,6.372391869941915,6.456761407706958
2017-03-01,6.370640577278522,6.453111980278505
2017-03-15,6.5257701407738695,6.449836239932684
2017-04-01,6.55629087456297,6.442643362535587
2017-04-15,6.620651652486489,6.469031300719109
2017-05-01,6.612455971419808,6.507661339637742
2017-05-15,6.62002426828871,6.477932645340147
2017-06-01,6.561597107918934,6.4453199176035705
2017-06-15,6.006536024298302,6.278443357690105
2017-07-01,6.227102299052104,5.800934381322347
2017-07-15,6.066754399627313,5.873083414577452
2017-08-01,6.062777709467196,6.11402732714971
2017-08-15,6.116445190189492,6.116939383429103
2017-09-01,6.083029640271961,6.055178433176196
2017-09-15,6.02178675077425,6.051051941168544
2017-10-01,5.971031784621603,6.018118854425363
2017-10-15,6.033953602043412,6.010220017711317
2017-11-01,6.070356963259788,5.913630953654796
2017-11-15,6.040939431857416,5.916797074292741
2017-12-01,5.976565227858021,5.9109774673226845
2017-12-15,6.039056534663201,6.039056534663201
2018-01-01,6.027762768991995,6.027762768991995
2018-01-15,6.036262135538013,6.036262135538013
2018-02-01,6.03517053161397,6.091974649613189
2018-02-15,6.056934684361107,6.113401296028878
2018-03-01,6.026148339663316,6.123687526544533
2018-03-15,6.02159335596944,6.0788112493633095
2018-04-01,5.9515600169992435,5.983165356414574
2018-04-15,5.882789455730505,6.009249335412577
2018-05-01,5.875485673277005,6.002530556671921
2018-05-15,5.871391901387022,6.002289879121233
2018-06-01,5.864783674282612,5.745752977828073
2018-06-15,5.650923325118823,5.697583406584886
2018-07-01,5.51894727269941,5.683569252393964
2018-07-15,5.407377068196114,5.456911003318391
2018-08-01,5.463761278983219,5.359217423231947
2018-08-15,5.444781015087852,5.342731760733681
2018-09-01,5.433142442021197,5.330285056581489
2018-09-15,5.427338120575742,5.427338120575742
2018-10-01,5.529888746837217,5.432864770555157
2018-10-15,5.554323607888483,5.485091816319161
2018-11-01,5.5847254629732115,5.538205447338319
2018-11-15,5.63319648833073,5.634743279049029
2018-12-01,5.6372070103993535,5.6372070103993535
2018-12-15,5.639283204288931,5.642355403325902
2019-01-01,5.6565719346482695,5.715239782737073
2019-01-15,5.6821378554229085,5.7182428600650255
2019-02-01,5.68966295244802,5.647990256047452
2019-02-15,5.645760982008161,5.800345783830516
2019-03-01,5.634376297180895,5.713946972747484
2019-03-15,5.630509800982303,5.7100804765488915
2019-04-01,5.617413138870241,5.739658169230076
2019-04-15,5.694485193435976,5.770226819210122
2019-05-01,5.691277529953199,5.895328803332569
2019-05-15,5.766301865397439,5.895835917589341
2019-06-01,5.833672182178691,5.83863497152082
2019-06-15,,5.825704158979006
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
