Date,Ngozi,Bujumbura
2016-01-01,6.408598092521518,
2016-01-15,6.17296067908498,6.60004825120631
2016-02-01,6.319639708521345,6.597767214342511
2016-02-15,6.5390410163793495,6.582412948532878
2016-03-01,6.428206556310445,6.564108554549303
2016-03-15,6.525570279259593,6.659235400459884
2016-04-01,6.32987460492005,6.657688778798149
2016-04-15,6.338539633279884,6.666089241493887
2016-05-01,6.3075833984752,6.662768616861289
2016-05-15,6.146254130990976,6.609217731160357
2016-06-01,5.992716020139272,6.575574138840242
2016-06-15,5.997327721868091,6.460579527431087
2016-07-01,6.056654870952463,6.349816409168869
2016-07-15,6.295020733579091,6.34726513261661
2016-08-01,6.288037203515295,6.4809637725885425
2016-08-15,6.286532413014185,6.526575831966613
2016-09-01,6.28546680291197,6.5598168015947
2016-09-15,6.291204488129656,6.56548547753061
2016-10-01,6.342498594337777,6.567866474121912
2016-10-15,6.334582976338297,6.557396984067386
2016-11-01,6.413760208119562,6.562401232135851
2016-11-15,6.486386360958224,6.6612639294265605
2016-12-01,6.553580195906542,6.696744509446637
2016-12-15,6.6150971596926045,6.7801063467968765
2017-01-01,6.566956417117085,6.798272240540615
2017-01-15,6.4155079536871895,6.761338645635116
2017-02-01,6.458610785564427,6.7832338893375255
2017-02-15,6.451861115047146,6.829274348582534
2017-03-01,6.384879124484967,6.667687517929822
2017-03-15,6.278673953042564,6.7040533018183055
2017-04-01,6.404985027843036,6.65343300464985
2017-04-15,6.277424726981507,6.71283219170475
2017-05-01,6.071988659195245,6.70109470733715
2017-05-15,6.081335537032618,6.592626818548583
2017-06-01,5.824231758316204,6.402324417872969
2017-06-15,5.959354995424768,6.364820103532932
2017-07-01,6.081842310265665,6.281010311329168
2017-07-15,6.074938260020598,6.276039711466149
2017-08-01,6.06897448271076,6.2726234905071925
2017-08-15,6.059859588631684,6.260097702004639
2017-09-01,6.149972230191106,6.3330119198705015
2017-09-15,6.1448220034675645,6.325420906950073
2017-10-01,6.230014936380357,6.317157126372986
2017-10-15,6.228869104423331,6.315421780838095
2017-11-01,6.313681937899138,6.314404220342962
2017-11-15,6.23501626285908,6.3242570027810965
2017-12-01,6.141727443695866,6.321867974543461
2017-12-15,6.095905008643141,6.330552384438835
2018-01-01,5.9316332312891165,6.33491731345092
2018-01-15,5.800053222391385,6.3289196171763376
2018-02-01,5.86990366183599,6.255332743183734
2018-02-15,5.8744416833772455,6.2575397613385135
2018-03-01,5.876653583237159,6.259751661198427
2018-03-15,5.9367134348092065,6.255862403578032
2018-04-01,5.869307728576876,6.2519820663493
2018-04-15,5.858775215490107,6.155221585935476
2018-05-01,5.9870418642376055,6.151718957051852
2018-05-15,6.049819425140857,6.49151347154548
2018-06-01,5.936272031350254,6.052718412089843
2018-06-15,6.114310584957968,5.995377991754598
2018-07-01,6.008515448312788,6.008515448312788
2018-07-15,6.124114584542641,5.952034521800883
2018-08-01,6.016312240858618,6.22703327217427
2018-08-15,6.082340825038057,6.159913564014535
2018-09-01,6.14537874047434,6.246032062060443
2018-09-15,6.197289005113433,6.224212038118892
2018-10-01,6.20511498084665,6.3513185989813765
2018-10-15,6.196450250776229,6.382585806619267
2018-11-01,6.192225701277987,6.378062200179386
2018-11-15,6.289454653656934,6.470177489087192
2018-12-01,6.289454653656934,6.367775555469111
2018-12-15,6.282474754276641,6.406554090607581
2019-01-01,6.273903548211585,6.586199804956768
2019-01-15,6.13197866186557,6.5380643098633335
2019-02-01,6.056590331400893,6.489590766797371
2019-02-15,6.131487411580053,6.446543246123182
2019-03-01,6.165364111776201,6.427106163219366
2019-03-15,6.157192475207375,6.455163164474013
2019-04-01,6.239378814185892,6.480129602232846
2019-04-15,6.403427824330405,6.493915047711387
2019-05-01,6.403968822122032,6.474082664085085
2019-05-15,6.2471359750348245,6.453848984952939
2019-06-01,5.876888951456165,6.39529549000291
2019-06-15,5.806235923633672,
2019-07-01,5.931384492792854,
2019-07-15,5.95849633237177,
2019-08-01,5.98489248111995,
2019-08-15,6.0364631851751085,6.0364631851751085
2019-09-01,6.133682274353707,6.133682274353707
2019-09-15,6.129166412533912,6.223312544647138
2019-10-01,6.178143106869191,6.175535543462111
2019-10-15,6.120173182809735,6.213731975652058
2019-11-01,6.1365851441931785,6.252669623213981
2019-11-15,6.101710326020077,6.285263410063279
2019-12-01,6.094202385145508,6.355641152092056
2019-12-15,6.087606205828446,6.348544953304716
2020-01-01,6.0267679500726565,6.17221437727505
2020-01-15,6.020301015618259,6.251630151518908
2020-02-01,6.203185112129038,6.2023750675322935
2020-02-15,6.202714364976352,6.284249610240393
