Date,Masindi,Mbale
2016-01-01,,
2016-01-15,,
2016-02-01,,
2016-02-15,,
2016-03-01,,
2016-03-15,6.123251474202466,
2016-04-01,6.060442530899319,
2016-04-15,6.07692304133352,
2016-05-01,6.077322641474356,
2016-05-15,6.064285957152308,6.125694585280951
2016-06-01,6.070042738305509,6.097763169405871
2016-06-15,6.068293011053473,6.069029117085975
2016-07-01,6.054682991384673,6.149586336358325
2016-07-15,6.056735343862079,5.990600297611413
2016-08-01,6.052104707506678,6.052661965810316
2016-08-15,6.052130773563463,6.090790989056548
2016-09-01,6.1069795792240145,
2016-09-15,6.10306056731719,6.1629465457416766
2016-10-01,6.095489048077792,6.1590428325528235
2016-10-15,6.077143615658899,6.076076948891097
2016-11-01,6.173519819667611,6.075212876056446
2016-11-15,6.142057985848633,6.151910282291645
2016-12-01,6.133074570711704,6.183377283779265
2016-12-15,6.141759257364711,
2017-01-01,6.136612844860007,
2017-01-15,6.135574564806038,
2017-02-01,6.134535205606046,
2017-02-15,6.127784079959406,6.327378349052819
2017-03-01,6.124489577113207,6.325294744437323
2017-03-15,6.121292687066978,6.321873636062836
2017-04-01,6.113643140753075,6.313997973116691
2017-04-15,6.161144161349006,6.313607988105986
2017-05-01,6.202184605937016,6.4301943469023986
2017-05-15,6.354372984576003,6.436508681502148
2017-06-01,6.361349334856827,6.2258225973734085
2017-06-15,6.124503715111705,6.22956876614927
2017-07-01,6.122483898456167,6.2275476341741385
2017-07-15,6.123622512423043,5.941103502770316
2017-08-01,6.118333395413176,5.936110990867579
2017-08-15,6.116939383429103,5.933629195808209
2017-09-01,6.1101261299601,5.928200534367122
2017-09-15,6.108122953880963,5.989968378186867
2017-10-01,6.104634076604516,5.985112557957192
2017-10-15,6.09294639019578,5.974660715674831
2017-11-01,6.096754435110813,5.914833599620557
2017-11-15,6.096423615231827,5.915600186058894
2017-12-01,6.093598919155624,6.198809498536087
2017-12-15,5.913047367970069,6.201628316886867
2018-01-01,5.902456860672624,6.191351789549613
2018-01-15,5.842409381144868,5.912089301782857
2018-02-01,5.839799265618317,5.909653092819234
2018-02-15,5.839995909933781,5.906063544885857
2018-03-01,5.902478211810154,5.900059830945873
2018-03-15,5.828507432588327,5.896287447650069
2018-04-01,5.8876329296930106,5.8876329296930106
2018-04-15,5.8852374373691445,5.882789455730505
2018-05-01,5.91239643131641,5.875485673277005
2018-05-15,,6.155975117934736
2018-06-01,,6.139918530682304
2018-06-15,,6.347915185539579
2018-07-01,,6.340348788783034
2018-07-15,,5.9568974254661855
2018-08-01,,5.869226387091382
2018-08-15,,5.852730596523678
2018-09-01,,5.838607550129361
2018-09-15,,6.015755899414871
2018-10-01,,6.020651435457276
2018-10-15,,6.023490766989252
2018-11-01,,6.029452908409985
2018-11-15,,6.145259736017071
2018-12-01,,6.148032634165344
2018-12-15,,6.154407268815136
2019-01-01,,6.147872838117689
2019-01-15,6.287738756600155,6.152141484668644
2019-02-01,6.253849702009266,6.158207792230096
2019-02-15,6.379122069505014,6.155978518190804
2019-03-01,6.305033192846769,6.144588235748122
2019-03-15,6.343399460271448,6.14072173954953
2019-04-01,6.350019156170734,6.133180094494065
2019-04-15,6.386200734524484,6.346750768733793
2019-05-01,,6.34869360360119
2019-05-15,,6.343990434392556
2019-06-01,,
2019-06-15,,
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
