Date,Kisumu,Kampala
2016-01-01,5.663050592336632,5.3845506511785395
2016-01-15,5.658422997047921,5.1937148154921715
2016-02-01,5.603264899627125,5.307425308138028
2016-02-15,5.658435682791919,5.356531574440825
2016-03-01,5.649614801044308,5.425347422518691
2016-03-15,5.6453157285155475,5.413154735328748
2016-04-01,5.644411917069104,5.448326518888029
2016-04-15,5.661726557228723,5.509585207304187
2016-05-01,5.662286980255242,5.477387842636589
2016-05-15,5.656204742720281,5.514758004367279
2016-06-01,5.802409186260294,5.606639793091126
2016-06-15,5.798528843119516,5.606502980345127
2016-07-01,5.795368494635372,5.518558680276081
2016-07-15,5.792136561535243,5.4923782278421704
2016-08-01,5.791749730263689,5.457606608016572
2016-08-15,5.790034499001399,5.4244927860608865
2016-09-01,5.79116715685274,5.470758335460079
2016-09-15,5.788058315131654,5.627181973628433
2016-10-01,5.784959108361613,5.554465747867358
2016-10-15,5.779982896630039,5.605005513884532
2016-11-01,5.77430474846033,5.694206580903874
2016-11-15,5.768359647969329,5.758867694182038
2016-12-01,5.763139938819203,5.823641598941343
2016-12-15,5.756721464185711,5.769210964269688
2017-01-01,5.747452117001923,5.587818608667763
2017-01-15,5.852975591899102,5.7164555007664255
2017-02-01,5.852145456585041,5.687172586241856
2017-02-15,5.964318411082766,5.682328731918932
2017-03-01,6.070165435692222,5.8162156113416374
2017-03-15,6.057741573514864,5.970263159670798
2017-04-01,6.045890772185865,5.950101940264485
2017-04-15,6.1341510512095425,5.959476692203088
2017-05-01,6.2214516905106825,5.967570824954286
2017-05-15,6.219830190693429,6.011498977321014
2017-06-01,6.230121695754557,6.04907800364661
2017-06-15,6.234106630229812,6.40700251050163
2017-07-01,6.236415078500186,5.343673231661951
2017-07-15,6.0489982865163086,5.372561740665815
2017-08-01,5.938092164952554,5.366831366827636
2017-08-15,5.832822456095262,5.423792202869158
2017-09-01,5.838244418011139,5.621333221193991
2017-09-15,5.838868489147492,5.489861762984013
2017-10-01,5.789942314452403,5.340009551229958
2017-10-15,5.838103387324477,5.281513535114885
2017-11-01,5.7086395710418545,5.20226833320351
2017-11-15,5.705968095397696,5.218853721469302
2017-12-01,5.700392527317466,5.1489231087502825
2017-12-15,5.690898990958889,5.222295398136079
2018-01-01,5.68728780791741,5.209309680112678
2018-01-15,5.595333601459176,5.112512658376181
2018-02-01,5.691082366106241,5.117816535418485
2018-02-15,5.6812723892289725,5.272618116662868
2018-03-01,5.7570714098044515,5.15217261741026
2018-03-15,5.67054198068604,5.059852699520237
2018-04-01,5.748978841888254,5.1672225983747015
2018-04-15,5.670452751457429,5.123795709372973
2018-05-01,5.741984323720734,5.039616508713424
2018-05-15,5.575087141284258,5.111724038485514
2018-06-01,5.54308517019238,5.112569262035685
2018-06-15,5.516384814767096,5.115661861135165
2018-07-01,5.51754129358232,5.108205107490402
2018-07-15,5.521002374922609,4.615789814822916
2018-08-01,5.339466838321893,4.549307094916364
2018-08-15,5.330396879833921,4.653708297357598
2018-09-01,5.507666154635059,4.594578261602748
2018-09-15,5.44265043059901,4.56091921874176
2018-10-01,5.512297429154828,4.615308879366691
2018-10-15,5.513197636284299,4.802639924875964
2018-11-01,5.5107485676315795,4.9483758808064
2018-11-15,5.527413550334973,5.037327715400159
2018-12-01,5.4941026261324355,5.05496052587285
2018-12-15,5.5611286309050945,5.014513321173723
2019-01-01,5.65008736520297,5.096200574330849
2019-01-15,5.493305968234323,5.15898161919944
2019-02-01,5.437422675972245,5.10420593332871
2019-02-15,5.427966688336249,5.326166783174299
2019-03-01,5.422118501286266,5.311310720839797
2019-03-15,5.476715704823058,5.1011077916433765
2019-04-01,5.476130764378098,5.369189903159008
2019-04-15,5.620836033319873,5.615633954984768
2019-05-01,5.878614745410771,5.607646730880788
2019-05-15,5.874398484848228,5.523688078347364
2019-06-01,5.872401062298474,5.54764711093454
2019-06-15,5.743380796726998,5.629212324591822
2019-07-01,5.841434452492073,5.584291539316778
2019-07-15,5.930726323901292,5.476083391530559
2019-08-01,5.864716772249512,5.35472937439742
2019-08-15,,5.320824344947255
2019-09-01,5.717985684444245,5.2944760673529565
2019-09-15,5.718253174917198,5.39421279650503
2019-10-01,5.714671083395043,5.459953203059609
2019-10-15,5.740418591141374,5.52756483500613
2019-11-01,,5.529286197320713
2019-11-15,,5.576072020033621
2019-12-01,,5.656309786163976
2019-12-15,,5.667632569042072
2020-01-01,,5.698624413799216
2020-01-15,,5.357169421755842
2020-02-01,5.904179009916696,5.383303193424278
2020-02-15,5.896530832160317,5.327866695514615
