Date,Kigali,Ngozi
2016-01-01,6.542949571927629,6.408598092521518
2016-01-15,6.5328452091628675,6.460386571184393
2016-02-01,6.491584640558865,6.406835352772732
2016-02-15,6.529926072459026,6.391840125994663
2016-03-01,6.50209315646616,6.296030483522933
2016-03-15,6.508785577192905,6.273848186888247
2016-04-01,6.393959069372675,6.294783285108781
2016-04-15,6.428558123083476,6.392427514520984
2016-05-01,6.434658363440602,6.388299461503785
2016-05-15,6.40616155682553,6.269464588382725
2016-06-01,6.42210990381126,6.372081429814081
2016-06-15,6.451228725898029,6.3003969465061225
2016-07-01,6.409914251384309,6.120506342938995
2016-07-15,6.379463643047206,6.295020733579091
2016-08-01,6.366924193610912,6.519673742875945
2016-08-15,6.370332891679585,6.4416763881801264
2016-09-01,6.36276153907193,6.519407263256823
2016-09-15,6.364963630451284,6.5203903538998285
2016-10-01,6.4301660741235915,6.682205652188828
2016-10-15,6.397130954596387,6.670113371590146
2016-11-01,6.316348069458082,6.65424869187546
2016-11-15,6.327422859653935,6.6416697947296495
2016-12-01,6.330997027072136,6.553897505127037
2016-12-15,6.329449294029392,6.54101188514996
2017-01-01,6.295078156008032,6.449479519531361
2017-01-15,6.221348180484063,6.414818536217622
2017-02-01,6.230457468036351,6.378461541908261
2017-02-15,6.162556965756881,6.37080326022368
2017-03-01,6.180794742291233,6.368019960333542
2017-03-15,6.154956133672827,6.5124627296421265
2017-04-01,6.147860606432022,6.445954217953043
2017-04-15,6.150192084788358,6.516549320956398
2017-05-01,6.25945436893988,6.506867652509703
2017-05-15,6.247702982524601,6.591508875447241
2017-06-01,6.124835039259821,6.446628082758299
2017-06-15,6.089406230727802,6.5192746885441135
2017-07-01,6.049112543595321,6.447677623603061
2017-07-15,6.099758794000911,6.363567750828419
2017-08-01,6.04281928172804,6.433842118035297
2017-08-15,6.1628190976380814,6.4275111757103085
2017-09-01,6.099678178768624,6.4123364946585975
2017-09-15,6.104195661843307,6.475870163674145
2017-10-01,6.108632012490093,6.538860792629208
2017-10-15,6.114383234047157,6.538421125648342
2017-11-01,6.1202778103196716,6.5368254892133475
2017-11-15,6.128160232519856,6.4744889398395555
2017-12-01,6.136611746278036,6.324049000489821
2017-12-15,6.136377057199373,6.243342928811339
2018-01-01,6.1356656687811855,6.24830284061415
2018-01-15,6.116800713298378,6.254981189231674
2018-02-01,6.127755484831489,6.341947216020505
2018-02-15,6.141389938410206,6.2575397613385135
2018-03-01,6.092001733351607,6.209293439928298
2018-03-15,6.080600658762584,6.256656369479209
2018-04-01,6.114505725023713,6.2519820663493
2018-04-15,6.122207800467896,6.248467125921177
2018-05-01,6.089497161307324,6.328791157959663
2018-05-15,6.086782900304782,6.336530152203006
2018-06-01,6.107145710389409,6.257008302039652
2018-06-15,6.1185064163344025,6.166247054816765
2018-07-01,6.007221894000218,6.171137041944937
2018-07-15,5.999235081840465,6.1250332800597125
2018-08-01,5.941793509760009,6.123522895804605
2018-08-15,5.940086642981652,6.1882842611437505
2018-09-01,6.048587957805855,6.2924006772408445
2018-09-15,6.206653541702109,6.295316360728404
2018-10-01,6.261103475445449,6.387876194715173
2018-10-15,6.2621325198278495,6.378183745218629
2018-11-01,6.25983825818371,6.287855932293237
2018-11-15,6.31762819193753,6.376599142127626
2018-12-01,6.343771363614148,6.376599142127626
2018-12-15,6.4081191200875605,6.325567986637661
2019-01-01,6.403764268107632,6.273903548211585
2019-01-15,6.12003525298096,6.2773116492901835
2019-02-01,6.261116503080075,6.2855694964183035
2019-02-15,6.103828296092471,6.277072728548387
2019-03-01,6.100748812389074,6.347985114597247
2019-03-15,6.2198476327515735,6.296328635334328
2019-04-01,6.245046106770489,6.367343755987394
2019-04-15,6.267030882233326,6.363649852873486
2019-05-01,6.404836673793912,6.3643035657296
2019-05-15,6.343115958118999,6.247958681786288
2019-06-01,6.253105021372525,6.304647976523542
2019-06-15,6.25039826009862,6.159546039756805
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
