Date,Mombasa,Machakos
2016-01-01,7.011797880861271,7.203495633283781
2016-01-15,6.869118515768734,7.051440072562689
2016-02-01,6.770870059782187,7.015992517815172
2016-02-15,6.76709830731353,6.9586365192124084
2016-03-01,6.691068675872469,6.949589746913631
2016-03-15,6.79857441915222,6.944983520439066
2016-04-01,6.685070563227127,6.847708817347679
2016-04-15,6.702401008790614,6.865036890513538
2016-05-01,6.867249393766345,6.867249393766345
2016-05-15,6.861002970122384,6.860012380640688
2016-06-01,6.932918021314576,6.85577364531681
2016-06-15,6.903042246516339,6.943402849603698
2016-07-01,6.894927304907512,6.942049186344503
2016-07-15,6.9188405850703685,6.938045564906418
2016-08-01,6.737239616830106,6.936089831272608
2016-08-15,6.734416965742569,6.934130265248393
2016-09-01,6.73436534164682,6.9351365952064965
2016-09-15,6.614026408712523,6.932488370885018
2016-10-01,6.756512518910817,6.929833114845796
2016-10-15,6.778436856827605,7.012008031304075
2016-11-01,6.7714821762861295,7.005973144572913
2016-11-15,6.756838142226955,7.000503329261961
2016-12-01,6.813057433114338,6.906970837420569
2016-12-15,6.807402818294747,6.900615701018805
2017-01-01,6.794897318135682,6.891995627987074
2017-01-15,6.7756642982529165,6.86165474610844
2017-02-01,6.60464256152942,6.866175378769005
2017-02-15,6.599941747504524,6.8576485135248175
2017-03-01,6.598865617933149,6.857018578914012
2017-03-15,6.589083303411035,6.846520602884505
2017-04-01,6.679490336957013,6.834947252322877
2017-04-15,6.733282311182533,6.917465278108666
2017-05-01,6.864149814808358,6.913753919605064
2017-05-15,6.85876829595066,6.918917142641159
2017-06-01,6.874203250480176,6.988866158800316
2017-06-15,6.580765507482219,6.840473727891594
2017-07-01,6.52377822254869,6.842550882070501
2017-07-15,6.519129719455744,6.838570474197825
2017-08-01,6.383011590139608,6.737567502194116
2017-08-15,6.46176946774553,6.88777101187092
2017-09-01,6.4653329352608715,6.851544882626548
2017-09-15,6.487909947857514,
2017-10-01,6.470984437986072,
2017-10-15,6.469429439723351,
2017-11-01,6.628412604751884,
2017-11-15,6.541779977990761,
2017-12-01,6.5280272758735896,
2017-12-15,6.5189016141027984,
2018-01-01,6.57158528980482,
2018-01-15,6.482636796460079,6.448058883581744
2018-02-01,6.445359687071194,6.454081647763497
2018-02-15,6.375855320215022,6.44111094428759
2018-03-01,6.369679727880385,6.438242399317682
2018-03-15,6.289360754835888,6.672984121029003
2018-04-01,6.204069187283272,6.664216387777751
2018-04-15,6.209213152554973,6.668310415578933
2018-05-01,6.283820184229285,6.6603725917598355
2018-05-15,6.426382342104081,6.585838074161033
2018-06-01,6.171155181608194,6.2835597947718185
2018-06-15,6.123429296273629,6.248752708480322
2018-07-01,6.069001603357522,6.210688474142265
2018-07-15,6.1272894301002605,6.139913583328657
2018-08-01,6.292523541398679,6.152607977393292
2018-08-15,6.246687611708076,6.199176629037024
2018-09-01,6.280856042868541,6.280856042868541
2018-09-15,6.28329354413385,6.28329354413385
2018-10-01,6.119952297273673,6.360072958526515
2018-10-15,6.154875481614765,6.359539473654137
2018-11-01,6.248201599913629,6.35612704163298
2018-11-15,6.29959078025407,6.411615967657628
2018-12-01,6.473447727488291,6.339461562014965
2018-12-15,6.4748845071760615,6.342078014909487
2019-01-01,6.507450012206315,6.474780445172006
2019-01-15,6.4102698741493835,6.591918256902433
2019-02-01,6.485114874213098,6.59902086264247
2019-02-15,6.538350743312149,6.649545581237234
2019-03-01,6.47229517285478,6.644014821801107
2019-03-15,6.465871400611338,6.634837166223737
2019-04-01,6.516996230833884,6.573631324193517
2019-04-15,6.6723808111299965,6.718010507218355
2019-05-01,6.855009401354631,6.769814555291399
2019-05-15,6.811751864606289,6.76508709974917
2019-06-01,6.809320131517678,6.809320131517678
2019-06-15,6.754294501872879,6.921842013395526
2019-07-01,6.638341605909239,6.911256544077335
2019-07-15,6.645512679564718,6.900557822703477
2019-08-01,6.440535677798616,6.905179650127709
2019-08-15,6.788965243418817,6.909780214499683
2019-09-01,6.783493904975461,6.8191653686176
2019-09-15,6.78426805329538,6.857713115249154
2019-10-01,6.782391204850188,6.987016774735873
2019-10-15,6.733739991200571,7.101499171687513
2019-11-01,,7.046933534015064
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,6.378314733877888,
2020-02-01,6.343637873840573,
2020-02-15,6.277338121783991,
