Date,Busia,Soroti
2016-01-01,5.764507999739491,
2016-01-15,5.815850960408928,
2016-02-01,5.8160903260941135,
2016-02-15,5.806448445119823,
2016-03-01,5.827639603586277,
2016-03-15,5.839762280010722,
2016-04-01,5.852416110960883,
2016-04-15,5.891519818002157,
2016-05-01,5.8954400662502255,
2016-05-15,5.895209627108374,
2016-06-01,5.890366685699979,
2016-06-15,5.976584584563974,
2016-07-01,6.07626059202922,
2016-07-15,6.249023760571426,
2016-08-01,6.131375313739207,
2016-08-15,5.972457956776333,
2016-09-01,5.994738168728259,
2016-09-15,6.10306056731719,
2016-10-01,6.127008061224102,
2016-10-15,6.155051850803804,
2016-11-01,6.174484605077709,
2016-11-15,6.326028347632771,
2016-12-01,6.329039800971969,
2016-12-15,6.38362410428713,
2017-01-01,6.375653110089442,
2017-01-15,6.4748905468227225,
2017-02-01,6.400107322621503,
2017-02-15,6.373163772720497,6.372391869941915
2017-03-01,6.428312865744372,6.370640577278522
2017-03-15,6.48612773134108,6.5257701407738695
2017-04-01,6.538927094258442,6.55629087456297
2017-04-15,6.637498511692277,6.620651652486489
2017-05-01,6.56646380708577,6.612455971419808
2017-05-15,6.499702212524387,6.62002426828871
2017-06-01,6.5204710274061055,6.561597107918934
2017-06-15,6.45342128594408,6.006536024298302
2017-07-01,6.147875887665223,6.227102299052104
2017-07-15,6.134422813773812,6.066754399627313
2017-08-01,6.132119925935866,6.062777709467196
2017-08-15,6.190270656514652,6.116445190189492
2017-09-01,6.1470593850057815,6.083029640271961
2017-09-15,6.102659816379745,6.02178675077425
2017-10-01,6.017577582422973,5.971031784621603
2017-10-15,6.117761559315504,6.033953602043412
2017-11-01,6.161731236942874,6.070356963259788
2017-11-15,6.141852672078576,6.040939431857416
2017-12-01,6.099578010211682,5.976565227858021
2017-12-15,6.064110037108751,6.039056534663201
2018-01-01,6.0960416097452885,6.027762768991995
2018-01-15,6.127510807003157,6.036262135538013
2018-02-01,6.113822589139058,6.03517053161397
2018-02-15,6.097590690002236,6.056934684361107
2018-03-01,6.058697144701472,6.026148339663316
2018-03-15,6.0552807519531155,6.02159335596944
2018-04-01,6.014879331904102,5.9515600169992435
2018-04-15,6.024254976030447,5.882789455730505
2018-05-01,5.993815904569477,5.875485673277005
2018-05-15,5.922066192350289,5.871391901387022
2018-06-01,5.812308424277783,5.864783674282612
2018-06-15,5.79556381494509,5.650923325118823
2018-07-01,5.766355446013251,5.51894727269941
2018-07-15,5.521681839476173,5.407377068196114
2018-08-01,5.584806960274418,5.463761278983219
2018-08-15,5.547526173379695,5.444781015087852
2018-09-01,5.60538834682641,5.433142442021197
2018-09-15,5.545121156232126,5.427338120575742
2018-10-01,5.576720046521316,5.529888746837217
2018-10-15,5.659015003414285,5.554323607888483
2018-11-01,5.671736839962841,5.5847254629732115
2018-11-15,5.68742664239159,5.63319648833073
2018-12-01,5.682463601987474,5.6372070103993535
2018-12-15,5.672569181922398,5.639283204288931
2019-01-01,5.689264296333812,5.6565719346482695
2019-01-15,5.7503461054494425,5.6821378554229085
2019-02-01,5.7572943533366505,5.68966295244802
2019-02-15,5.731631891282464,5.645760982008161
2019-03-01,5.702550838016614,5.634376297180895
2019-03-15,5.695814899390069,5.630509800982303
2019-04-01,5.731405027473356,5.617413138870241
2019-04-15,5.906407220006222,5.694485193435976
2019-05-01,5.976090159977027,5.691277529953199
2019-05-15,5.916645917103135,5.766301865397439
2019-06-01,5.855813308055905,5.833672182178691
2019-06-15,5.867530673925267,
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
