Date,Machakos,Meru
2016-01-01,5.663050592336632,
2016-01-15,5.665145711442798,
2016-02-01,5.672257771114077,
2016-02-15,5.658435682791919,
2016-03-01,5.651305418522216,
2016-03-15,5.644468629777895,
2016-04-01,5.2372561914830325,
2016-04-15,5.2546044479129295,
2016-05-01,5.2568218721470785,
2016-05-15,5.251565057688284,
2016-06-01,5.467497122992928,
2016-06-15,5.537016488401119,
2016-07-01,5.537539385333272,
2016-07-15,5.533469158949079,
2016-08-01,5.532418680015416,
2016-08-15,5.5313670964152335,
2016-09-01,5.529654802134344,
2016-09-15,5.562680974575331,
2016-10-01,5.594651199935008,
2016-10-15,5.624883450128195,
2016-11-01,5.619678783453023,
2016-11-15,5.614208968142071,
2016-12-01,5.607079950536025,
2016-12-15,5.601256645229004,
2017-01-01,5.592101676982761,
2017-01-15,5.571691493926981,
2017-02-01,5.71808494893371,
2017-02-15,5.84575867635821,
2017-03-01,5.844499814945302,
2017-03-15,5.834345209659806,
2017-04-01,5.823634251278926,
2017-04-15,6.04216558817297,
2017-05-01,6.038454229669367,
2017-05-15,6.139219946114761,5.90073795790374
2017-06-01,6.135997253363657,6.018563318775577
2017-06-15,6.145474694950575,5.945009930296401
2017-07-01,6.054093521706231,5.937330373950593
2017-07-15,5.827897636831899,5.634288120264093
2017-08-01,5.821020721157123,5.533765360894449
2017-08-15,5.830917088735715,5.5816893021735945
2017-09-01,5.8043098052638795,5.586206400697214
2017-09-15,,5.5885506634405795
2017-10-01,,5.552661873377691
2017-10-15,,5.553816903873834
2017-11-01,,5.551577681007138
2017-11-15,,5.517815618292949
2017-12-01,,5.475790186539596
2017-12-15,,5.4320373570426
2018-01-01,,5.498531598912676
2018-01-15,5.526340729972224,5.491735200794748
2018-02-01,5.556322220511225,5.423259102304064
2018-02-15,5.522802048257198,5.385897971154036
2018-03-01,5.488603902297297,5.164511466149675
2018-03-15,5.519252533139814,5.160193797845806
2018-04-01,5.478688512148342,5.155915119885291
2018-04-15,5.511094959273008,5.158209693010464
2018-05-01,5.365619232099011,5.197347650111786
2018-05-15,5.329098957286026,5.201808719671995
2018-06-01,5.246206386990925,5.178765106195391
2018-06-15,5.272187854255054,5.206229886463256
2018-07-01,5.164205250909102,5.210725266543995
2018-07-15,5.162662151664815,5.209182167299708
2018-08-01,5.15634815115492,5.112331265738146
2018-08-15,5.102240786696167,5.001892812861884
2018-09-01,5.284522603320849,4.9968405308690675
2018-09-15,5.201488373782122,5.103675063759679
2018-10-01,5.245575859318381,5.105158680488635
2018-10-15,5.289217614825124,5.201825792710114
2018-11-01,5.362731166021395,5.2582349546524645
2018-11-15,5.427156946595323,5.311644059473479
2018-12-01,5.354255934403439,5.308385480337343
2018-12-15,5.3505638617977445,5.3505638617977445
2019-01-01,5.351549122967573,5.29159019089933
2019-01-15,5.352533414353242,5.2289194583860645
2019-02-01,5.360036012356825,5.098820513093208
2019-02-15,5.3523546480791975,5.040107668803134
2019-03-01,5.348555934109249,5.032484858394782
2019-03-15,5.340792538755065,5.023296203592858
2019-04-01,5.0706656562699335,5.33110499232784
2019-04-15,5.469077126936084,5.399845335366764
2019-05-01,5.329452972901233,5.472042830327415
2019-05-15,5.620864299829009,5.46671362000175
2019-06-01,5.618866877279254,5.468043987544671
2019-06-15,5.617377670523267,5.456538002545213
2019-07-01,5.607528757326522,5.4817455174944145
2019-07-15,5.597581877372754,5.506333205907609
2019-08-01,5.630953741355395,5.6224229125033105
2019-08-15,5.663247795754952,5.726426697376483
2019-09-01,5.72055307994949,5.696791260962384
2019-09-15,5.717611532290115,5.666250672617582
2019-10-01,5.716568792487795,5.664594745414867
2019-10-15,5.71552496424412,5.665645859122193
2019-11-01,5.723996956778254,5.664005046150279
2019-11-15,,5.705149165221846
2019-12-01,,5.635194816026122
2019-12-15,,5.621338118634811
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
