Date,Kisumu,Owino
2016-01-01,6.51536099454738,6.425219904546283
2016-01-15,6.512443571830001,6.55895576741423
2016-02-01,6.507532552479478,6.502364627366297
2016-02-15,,6.494874353063846
2016-03-01,6.49763756178946,6.618277430407989
2016-03-15,6.501129798384963,6.605846195190644
2016-04-01,,6.4525903644475
2016-04-15,6.508077896011896,6.552406136343881
2016-05-01,6.510998268439593,6.583306706487137
2016-05-15,6.503620562411661,6.615933575438553
2016-06-01,6.422703271116757,6.254477586647204
2016-06-15,6.418005018978617,6.477066337580395
2016-07-01,6.414844670494473,6.436759632406356
2016-07-15,6.41139489999603,6.394081671682812
2016-08-01,6.411774645994671,6.457941355652555
2016-08-15,6.408525672100433,6.541643195727906
2016-09-01,6.409113110531074,6.556107830249778
2016-09-15,6.480495016088001,6.589533478879123
2016-10-01,6.402905062039947,6.5743119407576085
2016-10-15,6.319690382106504,6.398114045424532
2016-11-01,6.312825964012967,6.273557312836522
2016-11-15,6.308189135005908,6.300161239991715
2016-12-01,6.303566032361484,6.461141600786897
2016-12-15,6.374768335556976,6.506716735358224
2017-01-01,6.43879911705772,6.503766816133705
2017-01-15,6.487982225801136,6.540788747110095
2017-02-01,6.48015945940407,6.538853054717605
2017-02-15,6.50791564290139,6.638017812616077
2017-03-01,6.655991040994017,6.6359067418606585
2017-03-15,6.645696744609984,6.751808050114444
2017-04-01,6.633226580452754,6.750390632850896
2017-04-15,6.627526505122293,6.798991123381322
2017-05-01,6.626635227449874,6.795426603304579
2017-05-15,6.631517038328846,6.477932645340147
2017-06-01,6.453942983455264,6.275183266455148
2017-06-15,6.455382450293878,6.277598763045304
2017-07-01,6.522820826592362,6.37044067943786
2017-07-15,6.386784296043806,6.451455080544969
2017-08-01,6.378622409720845,6.447769105613445
2017-08-15,6.393163144388633,6.4454039239282785
2017-09-01,6.464994811842604,6.479296931875494
2017-09-15,6.466461404450031,6.513422950125465
2017-10-01,6.498346839073698,6.491903206511004
2017-10-15,6.470107635747989,6.246809878751679
2017-11-01,6.467868412881293,6.200410091507986
2017-11-15,6.396204065750183,6.097921742852849
2017-12-01,6.393539707877411,6.222810650635631
2017-12-15,6.385507092158509,6.341429322524985
2018-01-01,6.378976199013695,6.286661969353938
2018-01-15,6.375095254855892,6.293222309231491
2018-02-01,6.3099011402560885,5.9749443426336715
2018-02-15,6.302188703028191,6.08959064733516
2018-03-01,6.296067910537139,6.09620787791807
2018-03-15,6.2140649930188205,6.077799615488465
2018-04-01,6.357026691930195,6.2691793717656585
2018-04-15,6.358630095732033,6.065927672431015
2018-05-01,6.323337376677442,6.00311230054583
2018-05-15,6.28675336961144,5.93608511352962
2018-06-01,6.200881361873394,5.737290303909339
2018-06-15,6.207863938226344,5.7954405532111
2018-07-01,6.125196161701164,5.85039437311795
2018-07-15,6.128196459640903,5.864851360215098
2018-08-01,6.167351977894375,5.869226387091382
2018-08-15,6.2050319364392434,5.852730596523678
2018-09-01,6.200813335195003,6.023432237141434
2018-09-15,6.203969359116571,6.014703821464067
2018-10-01,6.207115453879592,6.020651435457276
2018-10-15,6.204671176286215,5.84284145138766
2018-11-01,6.20053440048882,5.847339446508051
2018-11-15,6.188812032580339,5.713477319591533
2018-12-01,6.187249806692381,5.85911523110557
2018-12-15,6.187202434724281,5.8667251963633555
2019-01-01,6.340340187736551,6.040662183171701
2019-01-15,6.1898144964969735,6.047597628917374
2019-02-01,6.197432801761317,6.054468022470003
2019-02-15,6.1897514374836895,6.251620427969974
2019-03-01,6.183785628282967,6.170044155741471
2019-03-15,6.172368105899941,6.235529533008196
2019-04-01,6.1692779449380435,6.274307334435037
2019-04-15,6.313983213879818,6.389061966805516
2019-05-01,6.453287279525301,6.456945258824288
2019-05-15,6.385002354538578,6.452777907140362
2019-06-01,6.313441609830385,6.344497805944682
2019-06-15,6.436527977286944,6.3903324887379735
2019-07-01,6.459509063569616,
2019-07-15,6.481973862166198,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
