Date,Rubavu,Ruhengeri
2016-01-01,,
2016-01-15,,5.813213621947789
2016-02-01,,5.809899963020098
2016-02-15,,5.565998630249903
2016-03-01,,5.540403243665132
2016-03-15,,5.612059180749546
2016-04-01,,5.678922080859996
2016-04-15,,5.685380660383976
2016-05-01,,5.827045976287395
2016-05-15,,5.605813449939738
2016-06-01,,5.601585196201171
2016-06-15,,5.494674294856354
2016-07-01,,5.804549160761584
2016-07-15,,5.896911203271378
2016-08-01,,5.886068239536137
2016-08-15,,5.969562627875629
2016-09-01,,5.725988766039724
2016-09-15,,5.793144301235133
2016-10-01,5.858034478256338,5.885365371973309
2016-10-15,5.855304708224462,6.023036726185589
2016-11-01,5.877860055279372,6.019248857314792
2016-11-15,,6.017624374055705
2016-12-01,,6.067536700489121
2016-12-15,,6.068104917462647
2017-01-01,5.9633141024487895,6.068674618106615
2017-01-15,5.926263505101222,5.993772259893822
2017-02-01,5.80672603062696,5.912801970203955
2017-02-15,5.679877046209603,5.903901266889405
2017-03-01,5.644133290424894,5.959418756616188
2017-03-15,5.68332221695433,5.956394825763953
2017-04-01,5.745570824194382,5.952275649165432
2017-04-15,5.744499160299211,6.030813243481567
2017-05-01,5.748902380419817,6.035900224312573
2017-05-15,5.901412347891585,6.044198305282314
2017-06-01,5.909609747127564,6.160727962320427
2017-06-15,5.88138860820022,6.1591854203209255
2017-07-01,5.885449001183037,5.76177159343919
2017-07-15,5.91023385747563,5.912575778920711
2017-08-01,5.877949466551875,5.909434098622017
2017-08-15,5.807430327510093,5.905307902819664
2017-09-01,5.83024134348357,5.89071926244637
2017-09-15,5.8552996144266825,5.885046007533101
2017-10-01,5.8103414162114975,6.059003508184932
2017-10-15,5.739689784605746,6.061307584499176
2017-11-01,5.735005921817984,6.071677381470038
2017-11-15,5.813501572369873,6.085435287853515
2017-12-01,6.041301566473711,6.159666166554744
2017-12-15,6.04049528549609,6.158045356678502
2018-01-01,6.040736731833174,5.7509560227244725
2018-01-15,6.036111802048236,5.903780169615618
2018-02-01,5.816209009947213,5.902458565057477
2018-02-15,5.740604296024,5.891147034475059
2018-03-01,5.795127212715662,5.8858695278639335
2018-03-15,5.814299381335753,5.754875960864952
2018-04-01,5.943595759656696,5.862250120202743
2018-04-15,5.857796833267144,5.857796833267144
2018-05-01,5.879649152474358,5.850939046591927
2018-05-15,5.825769074935162,5.857831007394825
2018-06-01,5.754544091838312,5.993283549476262
2018-06-15,5.808523324099377,5.937696004520118
2018-07-01,5.783547979374717,5.633588328070851
2018-07-15,5.809637653017458,5.528804922411252
2018-08-01,5.994437243245431,5.709600122925881
2018-08-15,5.884387792858654,5.991774893223915
2018-09-01,5.850952166038857,5.878150919984036
2018-09-15,5.861096686347354,5.861096686347354
2018-10-01,5.910794225524063,5.866342462953229
2018-10-15,5.8441516037878545,5.866568482702396
2018-11-01,5.967701835382549,5.864323480928714
2018-11-15,5.8648528666519715,5.868572647754504
2018-12-01,5.875312136219787,5.900907683408751
2018-12-15,5.869122619354873,5.894875115457288
2019-01-01,5.793008395529098,5.62558865786655
2019-01-15,5.8659538057791005,5.570762311305188
2019-02-01,5.710285544700385,5.716099514565805
2019-02-15,5.70659767384503,5.6993354778032455
2019-03-01,5.750670923712082,5.750670923712082
2019-03-15,5.770783640589093,5.705888549649205
2019-04-01,5.851113251675497,5.731178024565783
2019-04-15,5.971516224160776,5.726996139497009
2019-05-01,5.788494904457711,5.758209508868859
2019-05-15,5.803054381132683,5.801774790427058
2019-06-01,5.882112264482592,5.800886824560006
2019-06-15,5.802729270206766,5.828561575156329
2019-07-01,,
2019-07-15,,
2019-08-01,,5.907267333268679
2019-08-15,,5.763262629627971
2019-09-01,,5.80823603718836
2019-09-15,,5.799037238218257
2019-10-01,,5.757170050978357
2019-10-15,,5.771015811669442
2019-11-01,,5.732502770058035
2019-11-15,,5.785674872420951
2019-12-01,,5.818029138934011
2019-12-15,,5.786700268917317
2020-01-01,,5.75435806875749
2020-01-15,,5.763321038796345
2020-02-01,,5.675781063510792
2020-02-15,,5.614574181422755
