Date,Mbale,Busia
2016-01-01,6.345177196872746,6.484273434130676
2016-01-15,6.368214610247294,6.5097193815338565
2016-02-01,6.3907332304326925,6.487370746174096
2016-02-15,6.408623847474042,6.480575301000738
2016-03-01,6.523607660487864,6.54795668949815
2016-03-15,6.517100976959076,6.549507351979705
2016-04-01,,6.504827322206012
2016-04-15,,6.544519930548691
2016-05-01,,6.333078952381815
2016-05-15,6.490642424291848,6.351968029604088
2016-06-01,6.454689250657641,6.348159339610958
2016-06-15,6.4774332427395285,6.326456781179954
2016-07-01,6.482272895773473,6.30475379309067
2016-07-15,6.39527238426644,6.336876534329248
2016-08-01,6.388736192476026,6.333496132248131
2016-08-15,6.474834526055797,6.44080757466837
2016-09-01,6.512793301594033,6.459829224395914
2016-09-15,6.509919403873958,6.5521888183429535
2016-10-01,6.541251078496721,6.557256755296448
2016-10-15,6.441994004612874,6.472967513574678
2016-11-01,6.327946247462975,6.362495507720012
2016-11-15,6.306900945368628,6.358446097206194
2016-12-01,6.419141635669155,6.477459806090242
2016-12-15,6.468766141124965,6.52600340998999
2017-01-01,6.503766816133705,6.527799111664322
2017-01-15,6.503275976301969,6.521873300117559
2017-02-01,6.541146258015762,6.5682621866316495
2017-02-15,6.76255386524853,6.755208606620563
2017-03-01,6.816896839030441,6.8144264820429035
2017-03-15,6.867779438137442,6.836408044213878
2017-04-01,6.861353697393771,6.763172859837966
2017-04-15,6.856648166002482,6.755151279648352
2017-05-01,6.845083920830362,6.757273450876662
2017-05-15,6.745994329735111,6.5686053536510105
2017-06-01,6.627582076102239,6.45524907719179
2017-06-15,6.529804686986427,6.335859699897743
2017-07-01,6.527619245638013,6.39597073814894
2017-07-15,6.528099966129934,6.452166065288748
2017-08-01,6.523633227923906,6.478555173605915
2017-08-15,6.55863096255904,6.474503260213176
2017-09-01,6.620159360657688,6.490188802656174
2017-09-15,6.437993100713827,6.587247809928879
2017-10-01,6.259280911242251,6.499956941318101
2017-10-15,6.199612585745824,6.395096163241861
2017-11-01,6.42589957911418,6.283574874774027
2017-11-15,6.425946653131482,6.212372552833423
2017-12-01,6.4220430143143945,6.209992795585473
2017-12-15,6.424951546577268,6.35076064995387
2018-01-01,6.413767803545446,6.306302535228485
2018-01-15,6.420989997139264,6.359145339474154
2018-02-01,6.420960528206205,6.384164618504159
2018-02-15,6.416406543159853,6.585852906913254
2018-03-01,6.411853508998498,6.583474574587587
2018-03-15,6.406870323508568,6.551717638267006
2018-04-01,6.397480079799721,6.564760051068772
2018-04-15,6.395084587475855,6.562364558744906
2018-05-01,6.3868037865875475,6.631283818798618
2018-05-15,6.386170099468836,6.258538428971502
2018-06-01,6.363062081996514,6.057030870876536
2018-06-15,6.122466600550152,6.0213704836787825
2018-07-01,6.126039556495682,5.955502967877606
2018-07-15,6.151915194625549,5.960273905882792
2018-08-01,6.156908459543163,5.956033494853461
2018-08-15,6.13979212908586,6.056329551764917
2018-09-01,6.124408154481436,6.0521816504274195
2018-09-15,6.123322182470887,6.133655764325433
2018-10-01,6.020651435457276,6.126954902622972
2018-10-15,6.129583232279798,6.132401458663641
2018-11-01,6.135021518959832,5.996663085586993
2018-11-15,6.145259736017071,5.94231889202038
2018-12-01,6.148032634165344,6.041642782338404
2018-12-15,6.154407268815136,6.064048048055822
2019-01-01,6.148796625712253,6.19304763747439
2019-01-15,6.152141484668644,6.266651194980059
2019-02-01,6.158207792230096,6.4511225008960125
2019-02-15,6.155978518190804,6.477744607422322
2019-03-01,6.144588235748122,6.470879912437218
2019-03-15,6.14072173954953,6.490652074375765
2019-04-01,6.135026817087231,6.551501210703764
2019-04-15,6.529444834379141,6.604173346422462
2019-05-01,6.676752137039459,6.590809707238734
2019-05-15,6.527554999426108,6.5736796800094
2019-06-01,,6.473166649246316
2019-06-15,,6.4579911372117875
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
