Date,Nairobi,Eldoret
2016-01-01,6.646389256953784,6.5975990927843515
2016-01-15,6.639041435259668,6.529172917320767
2016-02-01,6.687488450843135,6.542853543726102
2016-02-15,6.664819458193112,6.575399588706978
2016-03-01,6.633927826383913,6.566243885146357
2016-03-15,6.635206259414846,6.562791194386278
2016-04-01,6.640537434794652,6.572123666604727
2016-04-15,6.642141817272417,6.64089880903282
2016-05-01,6.668774329881169,6.633790707182643
2016-05-15,6.661404307088801,6.6083439324601665
2016-06-01,6.654662809002483,6.565447817194299
2016-06-15,6.650281053856099,6.573465456687939
2016-07-01,6.623821061543903,6.489935121849543
2016-07-15,6.6209496072483445,6.455646589205965
2016-08-01,6.630053253646403,6.394382903282802
2016-08-15,6.616980130539704,6.2974354618860255
2016-09-01,6.617135250433609,6.242893982776978
2016-09-15,6.614026408712523,6.292614325884049
2016-10-01,6.6109272019424825,6.323245129490702
2016-10-15,6.607061460931148,6.351516813718182
2016-11-01,6.6247541389301885,6.3927406716863295
2016-11-15,6.595038221153797,6.387398856375553
2016-12-01,6.608596743147879,6.427257504704034
2016-12-15,6.582504220773498,6.48159495742286
2017-01-01,6.597418561544886,6.618715381050426
2017-01-15,6.577088911765866,6.596195810441369
2017-02-01,6.5698298857950155,6.58279703260344
2017-02-15,6.564017031985086,6.634620509036087
2017-03-01,6.564431530349914,6.642439167868435
2017-03-15,6.5300176440869455,6.688841229613597
2017-04-01,6.53994365666427,6.690197077351437
2017-04-15,6.526892946567049,6.735312768732915
2017-05-01,6.534979303293161,6.732615095060158
2017-05-15,6.736087842754295,6.831905765651529
2017-06-01,6.73550882888961,6.690545688143479
2017-06-15,6.7449322539958025,6.693505028047079
2017-07-01,6.7472407022661764,6.642163593156939
2017-07-15,6.7431674395719465,6.637693422977616
2017-08-01,6.740124394407893,6.632377649562559
2017-08-15,6.749620673390103,6.63866360280412
2017-09-01,6.753015007712652,6.61629104235757
2017-09-15,6.755159221021647,6.649234530454639
2017-10-01,6.7583281582099595,6.630725493818413
2017-10-15,6.755414007099377,6.6387771033736165
2017-11-01,6.756570373233819,6.604964871670312
2017-11-15,6.753898897589661,6.627477743147643
2017-12-01,6.750979665241188,6.723849723317328
2017-12-15,6.742619896426794,6.742109040732414
2018-01-01,6.733019947164562,6.733019947164562
2018-01-15,6.721602231451038,6.785883385452971
2018-02-01,6.741763720215278,6.744265597927602
2018-02-15,6.732315032958749,6.730807116111072
2018-03-01,6.721296273593566,6.701018483002359
2018-03-15,,6.6886338926961315
2018-04-01,,6.695339231698333
2018-04-15,,6.589572339532062
2018-05-01,6.67596542327674,6.585901899199114
2018-05-15,6.662211052945607,6.582430915839419
2018-06-01,6.611632335676067,6.540337784534935
2018-06-15,6.559014468684269,6.473177489950581
2018-07-01,6.423072002342488,6.421041544792106
2018-07-15,6.368775520489862,6.367348986724408
2018-08-01,6.212608833725317,6.309279455127117
2018-08-15,6.287445604180244,6.284368678675764
2018-09-01,6.325240913570056,6.2793163966829475
2018-09-15,6.356079930192133,6.300100662450232
2018-10-01,6.360072958526515,6.3317383350390655
2018-10-15,6.317042236430258,6.315544108809236
2018-11-01,6.337217387275688,6.271993364470966
2018-11-15,6.2671555045009155,6.252926015396951
2018-12-01,6.291762505427867,6.282559986496706
2018-12-15,6.343526241085852,6.305925055153349
2019-01-01,6.2697933143828655,6.43036633939427
2019-01-15,6.267272555535977,6.407574454727711
2019-02-01,6.427517382429762,6.433428729692819
2019-02-15,6.452880812929591,6.399875275589595
2019-03-01,6.390234301025007,6.44589514813056
2019-03-15,6.395011114949591,6.460883859100299
2019-04-01,6.4290748139002885,6.539691414987289
2019-04-15,6.492465994366607,6.599507788191578
2019-05-01,6.569547085641163,6.694449336342189
2019-05-15,6.541147052972701,6.709907137480967
2019-06-01,6.475104252705267,6.767628949632836
2019-06-15,6.497597010635765,6.76523353529331
2019-07-01,6.312201996789736,
2019-07-15,6.08443047547822,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
