Date,Busia,Kisumu
2016-01-01,6.318462984402514,6.51536099454738
2016-01-15,6.337440950762077,6.512443571830001
2016-02-01,6.316188099802063,6.507532552479478
2016-02-15,6.312043019468261,
2016-03-01,6.3872553915217,6.49763756178946
2016-03-15,6.358921285335857,6.501129798384963
2016-04-01,6.336599528487916,
2016-04-15,6.403138777787544,6.508077896011896
2016-05-01,6.135943578426915,6.510998268439593
2016-05-15,6.318066477928407,6.503620562411661
2016-06-01,6.292744691025658,6.422703271116757
2016-06-15,6.364133904030523,6.418005018978617
2016-07-01,6.233923744733619,6.414844670494473
2016-07-15,6.283766709015299,6.41139489999603
2016-08-01,6.2642628327982495,6.411774645994671
2016-08-15,6.279482992071245,6.408525672100433
2016-09-01,6.318338482369976,6.409113110531074
2016-09-15,6.419610623769823,6.480495016088001
2016-10-01,6.4160879355427145,6.402905062039947
2016-10-15,6.319295131018286,6.319690382106504
2016-11-01,6.168196797178696,6.312825964012967
2016-11-15,6.188487988431572,6.308189135005908
2016-12-01,6.261066817385763,6.303566032361484
2016-12-15,6.318982538170334,6.374768335556976
2017-01-01,6.34400489913866,6.43879911705772
2017-01-15,6.426697114685671,6.487982225801136
2017-02-01,6.4436084680391446,6.48015945940407
2017-02-15,6.5005031950970995,6.50791564290139
2017-03-01,6.536507788619762,6.655991040994017
2017-03-15,6.542105035181455,6.645696744609984
2017-04-01,6.573984859087074,6.633226580452754
2017-04-15,6.566451950177369,6.627526505122292
2017-05-01,6.626442213394548,6.626635227449874
2017-05-15,6.320739745217466,6.631517038328846
2017-06-01,6.2572799749626205,6.453942983455264
2017-06-15,6.1697472348898375,6.455382450293878
2017-07-01,6.304228302247334,6.522820826592362
2017-07-15,6.324607257103773,6.386784296043806
2017-08-01,6.366576585153397,6.378622409720845
2017-08-15,6.384156553993323,6.393163144388633
2017-09-01,6.391725383085202,6.464994811842604
2017-09-15,6.376299531708487,6.466461404450031
2017-10-01,6.340108240376205,6.498346839073698
2017-10-15,6.173066404506129,6.470107635747989
2017-11-01,6.055848936770209,6.467868412881293
2017-11-15,6.0010634591662155,6.396204065750183
2017-12-01,5.998788364642731,6.393539707877411
2017-12-15,6.138586130010234,6.385507092158509
2018-01-01,6.13140875358258,6.378976199013695
2018-01-15,6.139071629404233,6.375095254855892
2018-02-01,5.902397921938062,6.3099011402560885
2018-02-15,5.972560340355643,6.302188703028191
2018-03-01,5.971310039734474,6.296067910537139
2018-03-15,5.929703444569913,6.2140649930188205
2018-04-01,5.982053627561884,6.357026691930195
2018-04-15,5.944566815426748,6.358630095732033
2018-05-01,6.015461771344169,6.323337376677442
2018-05-15,5.970295975445936,6.28675336961144
2018-06-01,5.730182953450687,6.200881361873394
2018-06-15,5.732268964572776,6.207863938226344
2018-07-01,5.701268829493364,6.125196161701164
2018-07-15,5.735724872959848,6.128196459640903
2018-08-01,5.732889943539251,6.167351977894375
2018-08-15,5.756427367978361,6.2050319364392434
2018-09-01,5.752279466640863,6.200813335195003
2018-09-15,5.835325298116617,6.203969359116571
2018-10-01,5.843348709775264,6.207115453879592
2018-10-15,5.717511210095894,6.204671176286215
2018-11-01,5.6865081572831535,6.20053440048882
2018-11-15,5.760906013162644,6.188812032580339
2018-12-01,5.856639982317028,6.187249806692381
2018-12-15,5.844419438849057,6.187202434724281
2019-01-01,5.912407847648022,6.340340187736551
2019-01-15,5.9005644168589795,6.1898144964969735
2019-02-01,5.95560904299699,6.197432801761317
2019-02-15,6.019313963734245,6.1897514374836895
2019-03-01,6.039841405289059,6.183785628282967
2019-03-15,6.08777932027933,6.172368105899941
2019-04-01,6.103159078239208,6.1692779449380435
2019-04-15,6.345259344147123,6.313983213879818
2019-05-01,6.316250169677425,6.453287279525301
2019-05-15,6.258334989814062,6.385002354538578
2019-06-01,6.12786287825786,6.313441609830385
2019-06-15,6.065788822982034,6.436527977286944
2019-07-01,,6.459509063569616
2019-07-15,,6.481973862166198
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
