Date,Masindi,Lira
2016-01-01,6.465225239159982,6.436148975078473
2016-01-15,6.455271570344619,6.478206631457466
2016-02-01,6.458589092132568,6.518566601942577
2016-02-15,6.492322866350689,6.513984363131868
2016-03-01,6.679165800083002,6.564992876650718
2016-03-15,6.679861549024396,6.566218004111513
2016-04-01,6.676941645377108,
2016-04-15,6.702156046269875,
2016-05-01,6.7014573486616476,
2016-05-15,6.696148575961132,6.571103559520759
2016-06-01,6.689633670863659,6.4973427750168735
2016-06-15,6.497408484717015,6.497048837167734
2016-07-01,6.482272895773473,6.394664563239303
2016-07-15,6.506644149537146,6.417630640577653
2016-08-01,6.523361731526907,6.435400957333145
2016-08-15,6.523105074728996,6.48135865213274
2016-09-01,6.593452490785948,6.426573778057876
2016-09-15,6.588568383098891,6.527179066016488
2016-10-01,6.501129119006803,6.413799605024702
2016-10-15,6.47904873424721,6.346535775359762
2016-11-01,6.279218116108922,6.278349306323603
2016-11-15,6.300161239991715,6.251666890053104
2016-12-01,6.420259995524769,6.286941482092109
2016-12-15,6.429318290751434,6.385939813542728
2017-01-01,6.422438596006496,6.4632159964443785
2017-01-15,6.502437728059688,6.503275976301969
2017-02-01,6.576508348170308,6.535238790885068
2017-02-15,6.569405482771316,6.569405482771316
2017-03-01,6.5664279873774465,6.700593093584647
2017-03-15,6.597569785439308,6.564534684224114
2017-04-01,6.590755438475138,6.55597204784259
2017-04-15,6.586698709388025,6.6167693122360465
2017-05-01,6.578006596294953,6.661574292137124
2017-05-15,6.5860404154731125,6.516054988073409
2017-06-01,6.591907192610265,6.321415188976355
2017-06-15,6.451292870809253,6.278021149535216
2017-07-01,6.41053682201548,6.323424317453331
2017-07-15,6.527440987522891,6.367155657177179
2017-08-01,6.525614734516767,6.363348068111329
2017-08-15,6.592977142183737,6.361975912353549
2017-09-01,6.586298810232551,6.3579139951856405
2017-09-15,6.5810939443545005,6.395805026332744
2017-10-01,6.259280911242251,6.392812303866773
2017-10-15,6.247240634735078,6.293525715563299
2017-11-01,6.100754440444159,6.295145251786876
2017-11-15,6.096423615231827,6.203880881695268
2017-12-01,6.0930990441139725,6.223249728579018
2017-12-15,6.201628316886867,6.296693428683594
2018-01-01,6.191351789549613,6.286661969353938
2018-01-15,6.534912024138188,6.338173697093758
2018-02-01,6.534237601941882,6.338144228160699
2018-02-15,6.530562443900234,6.455460139358731
2018-03-01,6.487981003885049,6.487981003885049
2018-03-15,6.519704661279193,6.483939259878529
2018-04-01,6.511175804934666,6.644707197559189
2018-04-15,6.510090070492864,6.60739326454471
2018-05-01,6.536089306104479,6.5686328538369505
2018-05-15,5.804871219045459,6.30130810535935
2018-06-01,5.787024309583478,6.038338737864384
2018-06-15,6.012823423100325,6.017106084892325
2018-07-01,6.010643726556405,6.010643726556405
2018-07-15,5.866086690823091,5.996681677659459
2018-08-01,6.050321702162092,6.051343674657786
2018-08-15,6.0338106882295675,6.038973322308375
2018-09-01,6.022390027562991,6.128167557405342
2018-09-15,6.014703821464067,6.121431822739718
2018-10-01,6.020651435457276,6.175700184496219
2018-10-15,6.023490766989252,6.0276661383997325
2018-11-01,6.27462060814678,5.972722878040985
2018-11-15,6.094844876120637,5.9813210498236495
2018-12-01,6.042672118507518,6.148032634165344
2018-12-15,6.049863413063866,6.154407268815136
2019-01-01,6.194812862998959,6.242174275402044
2019-01-15,6.373813365371398,6.290943887549103
2019-02-01,6.382810133007966,6.297652324667658
2019-02-15,6.456353417441004,6.337387249727399
2019-03-01,6.368100043372883,6.366626203754583
2019-03-15,6.364233547174291,6.403227657108837
2019-04-01,6.469124069085033,6.470444201289956
2019-04-15,6.530685529327375,6.463373999770067
2019-05-01,6.558233536804122,6.5282893502574
2019-05-15,6.790396932878082,6.493439246185936
2019-06-01,6.5634534959184165,6.403189041096826
2019-06-15,6.511285099155636,6.468615407132018
2019-07-01,6.5223567013969665,6.473899710465941
2019-07-15,,6.479156236656692
2019-08-01,6.544138814535459,6.363039004991827
2019-08-15,6.473830705681163,6.398515368454724
2019-09-01,6.624670775981141,6.51024344817173
2019-09-15,6.639834839297474,6.5450757755170175
2019-10-01,6.6941109837239425,6.471228222605499
2019-10-15,6.536425601873741,6.466997095441979
2019-11-01,6.532366059267259,6.532366059267259
2019-11-15,6.531583465061057,6.531583465061057
2019-12-01,6.626113569163994,6.564379684893274
2019-12-15,6.690208244650055,6.467584308832078
2020-01-01,6.685214353074378,6.495450023834003
2020-01-15,6.686768439199186,6.532791355414375
2020-02-01,6.714465483849453,6.685716070563467
2020-02-15,6.715172690509349,6.68645276785693
