Date,Mombasa,Nairobi
2016-01-01,5.663050592336632,5.727903134516193
2016-01-15,5.665145711442798,5.702948076089333
2016-02-01,5.672257771114077,5.705047593937068
2016-02-15,5.651678900329039,5.691551291576417
2016-03-01,5.616937775018008,5.681257740805567
2016-03-15,5.559612094317776,5.677805050045487
2016-04-01,5.508948156693528,5.676002241356694
2016-04-15,5.6263395456444005,5.694302727663336
2016-05-01,5.628726783762941,5.691557362555356
2016-05-15,5.623469969304146,5.689500550827232
2016-06-01,5.648495052856374,5.684271226021658
2016-06-15,5.645324684896288,5.7094492130658265
2016-07-01,5.642164336412144,5.7062888645816825
2016-07-15,5.701232614430102,5.702791461199394
2016-08-01,5.7330818821748855,5.702404629927838
2016-08-15,5.75819389314574,5.636358540284409
2016-09-01,5.732670950171132,5.636305997421883
2016-09-15,5.6348541569084265,5.634025999511198
2016-10-01,5.726462901680004,5.631754950138386
2016-10-15,5.720646562679751,5.691548031855556
2016-11-01,5.715593832472825,5.684113305838485
2016-11-15,5.709519147946396,5.678747489279642
2016-12-01,5.7042127310879,5.673393650962927
2016-12-15,5.698466882606674,5.666840644768128
2017-01-01,5.828932639445087,5.6555892258743565
2017-01-15,5.8083487644079135,5.637504712496552
2017-02-01,5.798502773635724,5.756644175719524
2017-02-15,5.894760727380856,5.918685313466101
2017-03-01,5.893770863952085,5.965644198304391
2017-03-15,5.931263106852228,5.952268704618338
2017-04-01,6.044876058755317,5.9389513681883095
2017-04-15,6.040135130622588,5.935226184175415
2017-05-01,6.08743755590237,6.037439516238821
2017-05-15,6.156595783368672,6.043448405287259
2017-06-01,6.106228931967803,6.0484778753471
2017-06-15,6.10914137552613,6.147326547331649
2017-07-01,6.0124208253056635,6.09409885631993
2017-07-15,6.0093684917455406,6.0093684917455406
2017-08-01,5.798358695976124,6.045955241352255
2017-08-15,5.8025463916065,5.951169348546963
2017-09-01,5.731476442585433,5.957432935276257
2017-09-15,5.615090218675191,5.838868489147492
2017-10-01,5.585998293645282,5.789942314452403
2017-10-15,5.647585063326344,5.78841996717783
2017-11-01,5.648741429460785,5.839259753458919
2017-11-15,5.643752455676265,5.837862975246761
2017-12-01,5.546241847490208,5.833923919941989
2017-12-15,5.569821059405653,5.874681468392518
2018-01-01,5.594161829927926,5.818264920736835
2018-01-15,5.625046498777687,5.830468460863813
2018-02-01,5.6259706148010675,5.722114475353969
2018-02-15,5.562411186352244,5.735793228107389
2018-03-01,5.488603902297297,5.618234964950236
2018-03-15,5.481896746596045,5.6110414513169395
2018-04-01,5.478688512148342,
2018-04-15,5.442339363857878,
2018-05-01,5.404987014890031,5.5891451194912865
2018-05-15,5.476969285325734,5.60878098707073
2018-06-01,5.51190955272393,5.576448073861501
2018-06-15,5.516384814767096,5.593345855903224
2018-07-01,5.451887323360883,5.569670359017267
2018-07-15,5.452128345910097,5.4888778881188385
2018-08-01,5.298810832680764,5.459460796833347
2018-08-15,5.247015270894869,5.436557075662312
2018-09-01,5.197511226331219,5.438673283148107
2018-09-15,5.288499750771752,5.284324379361271
2018-10-01,5.110171222312179,5.214531237636422
2018-10-15,5.106058887618105,5.210916764411365
2018-11-01,5.198150143915265,5.207282627478537
2018-11-15,5.274217653954362,5.303447292269301
2018-12-01,5.348390814951041,5.191622332581704
2018-12-15,5.3505638617977445,5.3583460022397995
2019-01-01,5.352724675040466,5.371993093906342
2019-01-15,5.352533414353242,5.416344927098195
2019-02-01,5.360036012356825,5.4267273868554975
2019-02-15,5.313287179888288,5.37882122126736
2019-03-01,5.344731837670846,5.301672348210398
2019-03-15,5.336953762447899,5.400289637619711
2019-04-01,5.476130764378098,5.407137892891147
2019-04-15,5.755085558829836,5.570751928922461
2019-05-01,5.807565399260921,5.57607355855524
2019-05-15,5.729077884469241,5.5830140756979105
2019-06-01,5.7270804619194875,5.7321955625862575
2019-06-15,5.743380796726998,5.730706355830271
2019-07-01,5.771672679766035,5.8170807193050305
2019-07-15,5.7694321342994135,5.845985095446202
2019-08-01,5.747388497238671,5.752997736003181
2019-08-15,5.746629404694002,5.746629404694002
2019-09-01,5.743367757715662,5.813529536407596
2019-09-15,5.743795460590952,5.813816010033001
2019-10-01,5.74005315666646,5.74005315666646
2019-10-15,5.7270849619597355,5.759364169368541
2019-11-01,,5.7214621011750655
2019-11-15,,5.722984032857879
2019-12-01,,5.713122016246839
2019-12-15,,5.626878299010426
2020-01-01,,5.645938088041276
2020-01-15,5.645532246460546,5.631963517254477
2020-02-01,5.592702952799393,5.642436958473532
2020-02-15,5.6137081930822825,5.6137081930822825
