Date,Nakuru,Owino
2016-01-01,,6.798784380987672
2016-01-15,,6.780863139737147
2016-02-01,6.398194774497013,6.785863734730093
2016-02-15,6.384698472136362,6.782920392762594
2016-03-01,6.438302868526916,6.812433444848947
2016-03-15,6.432925990142166,6.81666122532976
2016-04-01,6.3716014051639265,6.781698478553577
2016-04-15,6.386648304973945,6.804630896958932
2016-05-01,6.451718963030507,6.865181079880216
2016-05-15,6.4487076584972955,6.854761481672814
2016-06-01,6.436726620121427,6.731512427871016
2016-06-15,6.4436668044931,6.693065159941576
2016-07-01,6.446450009909804,6.711959545676619
2016-07-15,6.485283742095189,6.681962294716007
2016-08-01,6.554696674159666,6.676617289707049
2016-08-15,6.547987259052753,6.676958710145931
2016-09-01,6.483603857809086,6.669579553199765
2016-09-15,6.536468174366648,6.73250569688453
2016-10-01,6.533368967596608,6.72413270251338
2016-10-15,6.528469230097079,6.767621992926765
2016-11-01,6.50932824993794,6.747918247451214
2016-11-15,6.517076679684085,6.616691967556228
2016-12-01,6.506506876358174,6.643105439816351
2016-12-15,6.506947462931485,6.71367257311054
2017-01-01,6.494855823139383,6.709005219374411
2017-01-15,6.475317329493039,6.675305847059376
2017-02-01,6.412670748903304,6.677944559785632
2017-02-15,6.422393469463228,6.688526311269359
2017-03-01,6.433268040607714,6.789634928124658
2017-03-15,6.422974334594903,6.836408044213878
2017-04-01,6.450679519091376,6.820345673666395
2017-04-15,6.432644039765539,6.830895669900067
2017-05-01,6.8491590429770435,6.848876293235224
2017-05-15,6.482521733841636,6.854794478039374
2017-06-01,6.414559655454889,6.798353170916925
2017-06-15,6.4437583877859055,6.7891845540846925
2017-07-01,6.444824767251019,6.816866714907912
2017-07-15,6.441427189427153,6.844035257349273
2017-08-01,6.43631017186397,6.841756325876922
2017-08-15,6.450885006547106,6.836897821439705
2017-09-01,6.453087884300771,6.829654908914267
2017-09-15,6.454191311858216,6.853850366589606
2017-10-01,6.451858171892545,6.849756700969181
2017-10-15,6.453013202388689,6.757807827177755
2017-11-01,6.416217016430829,6.76015492002685
2017-11-15,6.532283230453505,6.791068923412794
2017-12-01,6.520031071425579,6.786246224673918
2017-12-15,6.503776627459613,6.79121031440766
2018-01-01,6.434348753137186,6.779138454451733
2018-01-15,6.380900786401212,6.7576686534123604
2018-02-01,6.536741553451624,6.757639184479301
2018-02-15,6.529801019002309,6.754222657587084
2018-03-01,6.5278163090448675,6.747703532595385
2018-03-15,6.521109153343616,6.743758663329377
2018-04-01,7.183436604386768,6.86693289658317
2018-04-15,7.1907652847224615,6.864996435711017
2018-05-01,7.183174406572542,6.8575456956748635
2018-05-15,7.187014165146625,6.880288890733101
2018-06-01,7.120013242144894,6.836374624684397
2018-06-15,7.123612710625074,6.749535613786933
2018-07-01,,6.7365115042288854
2018-07-15,7.130773010700321,6.713384551210295
2018-08-01,7.126805802875904,6.716524247478587
2018-08-15,7.1228227936051365,6.703920200722496
2018-09-01,7.116770678167922,6.716058448687252
2018-09-15,7.161237632979397,6.709428704165631
2018-10-01,,6.768858393200249
2018-10-15,7.2446459797014136,6.797002457317225
2018-11-01,7.243769219687977,6.800158323315804
2018-11-15,7.035867321711047,6.787015970707526
2018-12-01,7.072326129377245,6.789886520337739
2018-12-15,,6.795680491078833
2019-01-01,,6.788850769199765
2019-01-15,,6.790506319036384
2019-02-01,7.206165137455979,6.56367290033826
2019-02-15,7.171202387748887,6.594939580727151
2019-03-01,7.166682279178047,6.6302377046216385
2019-03-15,7.153405844266326,6.641552832590525
2019-04-01,7.148856416048117,6.692003384699462
2019-04-15,7.141065800267546,6.765539538040429
2019-05-01,7.144564718188093,6.762291843417632
2019-05-15,7.1406900535734215,6.76328975523027
2019-06-01,7.13931743579251,6.763797126782395
2019-06-15,7.131948006281767,6.7349348514424365
2019-07-01,,
2019-07-15,7.117044192988508,
2019-08-01,7.1096462805303196,
2019-08-15,7.116222574090482,
2019-09-01,7.111005451218045,
2019-09-15,7.105188767222894,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
