Date,Ruhengeri,Kasese
2016-01-01,,6.465979102746381
2016-01-15,6.059614035426265,6.3640641162465394
2016-02-01,5.992221519814052,6.455550730509163
2016-02-15,5.972084278247667,6.491592672816966
2016-03-01,5.946184257635977,6.512276094478314
2016-03-15,6.16865479115421,6.562793188691354
2016-04-01,6.3505274176451865,6.56363709979081
2016-04-15,6.356295554316818,6.630871307801319
2016-05-01,6.380077795136465,6.664316212353267
2016-05-15,6.249512355085702,6.494985536439013
2016-06-01,6.245788826595525,6.4973427750168735
2016-06-15,6.107132564166157,6.4774332427395285
2016-07-01,6.157332360888703,6.483002024496989
2016-07-15,6.133770997056055,6.505223694752854
2016-08-01,6.173268809691479,6.5629303312726694
2016-08-15,6.210808321208268,6.561512514144189
2016-09-01,6.257052652046707,6.555773996162218
2016-09-15,6.268420499885853,6.549849635989781
2016-10-01,6.331652474601729,6.542930340016441
2016-10-15,6.3194663693278175,6.5236865490992715
2016-11-01,6.435318518671753,6.533567448084982
2016-11-15,6.439817401969142,6.507800604769959
2016-12-01,6.472322691423477,6.462571193596491
2016-12-15,6.472550137670066,6.462358144829634
2017-01-01,6.187817273279038,6.462145141442885
2017-01-15,6.208711954105321,6.470067619684719
2017-02-01,6.2291789679687435,
2017-02-15,6.260458833047617,
2017-03-01,6.259850333455934,6.493465281379583
2017-03-15,6.258051642699801,6.517169360001271
2017-04-01,6.253402841152678,6.441928821597718
2017-04-15,6.384660785459621,6.43695806696297
2017-05-01,6.390108061736788,6.431272514122744
2017-05-15,6.395330794306281,6.515723917055652
2017-06-01,6.3969721376803355,6.52673237592274
2017-06-15,6.395356988088534,6.48892797440099
2017-07-01,6.047576051615705,6.491349319745419
2017-07-15,6.164539768770413,6.493243890620956
2017-08-01,6.160488584088879,6.488305752721292
2017-08-15,6.256489932812973,6.483447248284074
2017-09-01,6.248098183886897,6.478612234827176
2017-09-15,6.2412519083112645,6.475733428696675
2017-10-01,6.23363083040881,6.510595339523157
2017-10-15,6.2355023862255505,6.458426674196753
2017-11-01,6.244994375170911,6.404032818634217
2017-11-15,6.259788674998292,6.343174366847618
2017-12-01,6.158269843311817,6.337221001813375
2017-12-15,6.158045356678502,6.249862128999495
2018-01-01,6.040736731833174,6.373673346343568
2018-01-15,6.040304680308272,6.3796861909980285
2018-02-01,6.011286117483688,6.199441379378957
2018-02-15,5.891147034475059,6.201716136854186
2018-03-01,5.8858695278639335,
2018-03-15,5.829566853466542,
2018-04-01,5.997897915733644,
2018-04-15,6.040925167031038,
2018-05-01,6.034473459811091,6.213012947801603
2018-05-15,6.039343175233221,6.2602176904912215
2018-06-01,6.103328911862708,6.244142036553056
2018-06-15,5.8673270045932275,6.216026998630689
2018-07-01,5.753936125328072,5.909090926113141
2018-07-15,5.7065654678776445,5.866086690823091
2018-08-01,5.916706675330274,5.933305243775905
2018-08-15,5.992846130605414,5.78338317796689
2018-09-01,6.035329222014908,5.963328313071728
2018-09-15,6.021894233396215,5.986953908511165
2018-10-01,5.99956668309799,5.965710317425975
2018-10-15,6.000099875326919,6.023490766989252
2018-11-01,5.997390656910471,5.7762040996434525
2018-11-15,6.050275201124174,5.980227556002278
2018-12-01,6.123328952279136,5.98551370466757
2018-12-15,6.123331405662144,5.8667251963633555
2019-01-01,6.000480185945827,5.858340626377746
2019-01-15,5.868444467091552,5.988757128894441
2019-02-01,5.952488292630035,5.934151415658526
2019-02-15,5.98628842153151,5.934202644317961
2019-03-01,5.975456961023795,5.713946972747484
2019-03-15,5.962419968657595,5.8524256050581895
2019-04-01,6.015043960556395,5.846113975249317
2019-04-15,6.064654850451594,6.020066538478743
2019-05-01,6.0535493513875585,5.956503026701722
2019-05-15,6.053942461080548,5.898169640935562
2019-06-01,6.0750159306070834,6.220726728443676
2019-06-15,5.933375583093265,6.241169350421754
2019-07-01,6.043318161974349,
2019-07-15,6.142361748868113,
2019-08-01,6.005459359447893,
2019-08-15,5.901329177417885,
2019-09-01,5.886382290661799,
2019-09-15,5.97516682476429,
2019-10-01,5.883160292742626,
2019-10-15,5.851819844084738,
2019-11-01,5.8423984408812535,
2019-11-15,6.146068853697659,
2019-12-01,6.173184236902974,
2019-12-15,6.404687478052265,
2020-01-01,6.361402550264024,
2020-01-15,6.374581059884107,
2020-02-01,6.1339126362517336,
2020-02-15,6.078959818364267,
