Date,Lira,Owino
2016-01-01,6.436148975078473,6.549089386259068
2016-01-15,6.478206631457466,6.577317384946351
2016-02-01,6.518566601942577,6.518566601942577
2016-02-15,6.513984363131868,6.535536160018683
2016-03-01,6.564992876650718,6.677355844837763
2016-03-15,6.566218004111513,6.605846195190644
2016-04-01,,6.540388189406946
2016-04-15,,6.552406136343881
2016-05-01,,6.591873480460989
2016-05-15,6.571103559520759,6.615933575438553
2016-06-01,6.4973427750168735,6.449038453929686
2016-06-15,6.497048837167734,6.477066337580395
2016-07-01,6.394664563239303,6.437522699974859
2016-07-15,6.417630640577653,6.44215294216079
2016-08-01,6.435400957333145,6.436160547191164
2016-08-15,6.48135865213274,6.5423232365565624
2016-09-01,6.426573778057876,6.556107830249778
2016-09-15,6.527179066016488,6.589533478879123
2016-10-01,6.413799605024702,6.5743119407576085
2016-10-15,6.346535775359762,6.398114045424532
2016-11-01,6.278349306323603,6.381882860752917
2016-11-15,6.251666890053104,6.43848880487973
2016-12-01,6.286941482092109,6.500073397992073
2016-12-15,6.385939813542728,6.509105407369265
2017-01-01,6.4632159964443785,6.6114883655834955
2017-01-15,6.503275976301969,6.61245173027075
2017-02-01,6.535238790885069,6.607299149439882
2017-02-15,6.569405482771316,6.749134376931457
2017-03-01,6.700593093584647,6.788620214694112
2017-03-15,6.564534684224114,6.867545437902375
2017-04-01,6.55597204784259,6.861353697393771
2017-04-15,6.6167693122360465,6.856648166002482
2017-05-01,6.661574292137125,6.848876293235224
2017-05-15,6.516054988073409,6.515723917055652
2017-06-01,6.321415188976355,6.443179353104459
2017-06-15,6.278021149535216,6.369176518407709
2017-07-01,6.323424317453331,6.451225325979993
2017-07-15,6.367155657177179,6.491195409194483
2017-08-01,6.363348068111329,6.4869349505875125
2017-08-15,6.361975912353549,6.484474118132993
2017-09-01,6.35791399518564,6.516910499473327
2017-09-15,6.395805026332744,6.618651356660965
2017-10-01,6.392812303866773,6.615360439861219
2017-10-15,6.293525715563299,6.39917401875369
2017-11-01,6.295145251786876,6.382430488835728
2017-11-15,6.203880881695268,6.299680577704196
2017-12-01,6.223249728579018,6.35930208488863
2017-12-15,6.296693428683594,6.424592157534765
2018-01-01,6.286661969353938,6.413767803545446
2018-01-15,6.338173697093758,6.459265399242641
2018-02-01,6.338144228160699,6.460625784598636
2018-02-15,6.455460139358731,6.566099178177021
2018-03-01,6.487981003885049,6.602245940175688
2018-03-15,6.483939259878529,6.620500447784904
2018-04-01,6.644707197559188,6.734581445098495
2018-04-15,6.60739326454471,6.745720776779637
2018-05-01,6.5686328538369505,6.722959450631854
2018-05-15,6.30130810535935,6.386170099468836
2018-06-01,6.038338737864384,6.1455842682179815
2018-06-15,6.017106084892325,6.172172096591272
2018-07-01,6.010643726556405,6.157100877128949
2018-07-15,5.996681677659458,6.153768763274872
2018-08-01,6.051343674657786,6.156908459543163
2018-08-15,6.038973322308375,6.140722794578813
2018-09-01,6.128167557405342,6.223818801333028
2018-09-15,6.121431822739718,6.216999989388145
2018-10-01,6.175700184496219,6.309119362566396
2018-10-15,6.0276661383997325,6.223781017326023
2018-11-01,5.972722878040985,6.137826569887441
2018-11-15,5.9813210498236495,6.1471133046663935
2018-12-01,6.148032634165344,6.148032634165344
2018-12-15,6.154407268815136,6.154407268815136
2019-01-01,6.242174275402044,6.2906039276406345
2019-01-15,6.290943887549104,6.373813365371398
2019-02-01,6.297652324667658,6.418604935085321
2019-02-15,6.337387249727399,6.455001152190991
2019-03-01,6.366626203754582,6.445987944428703
2019-03-15,6.403227657108837,6.546800532856458
2019-04-01,6.470444201289956,6.602490322579463
2019-04-15,6.463373999770067,6.626953374754281
2019-05-01,6.5282893502574,6.680488463777335
2019-05-15,6.493439246185936,6.671897308154846
2019-06-01,6.403189041096826,6.492660443927318
2019-06-15,6.468615407132018,6.558265308079828
2019-07-01,6.473899710465941,
2019-07-15,6.479156236656692,
2019-08-01,6.363039004991827,
2019-08-15,6.398515368454724,
2019-09-01,6.51024344817173,
2019-09-15,6.545075775517018,
2019-10-01,6.471228222605499,
2019-10-15,6.466997095441979,
2019-11-01,6.532366059267258,
2019-11-15,6.531583465061057,
2019-12-01,6.564379684893274,
2019-12-15,6.467584308832078,
2020-01-01,6.495450023834003,
2020-01-15,6.532791355414375,
2020-02-01,6.685716070563467,
2020-02-15,6.68645276785693,
