Date,Kamembe,Kigali
2016-01-01,,6.60766588664732
2016-01-15,,6.610654572924529
2016-02-01,,6.527022138629751
2016-02-15,,6.442398033096756
2016-03-01,,6.452704987440505
2016-03-15,,6.4211218419049745
2016-04-01,,6.3818572677861045
2016-04-15,,6.41215791168947
2016-05-01,,6.417968668847862
2016-05-15,,6.395864436139286
2016-06-01,,6.4089058284778835
2016-06-15,,6.4016191643122715
2016-07-01,,6.378190424051511
2016-07-15,,6.356308915970608
2016-08-01,,6.342013303231424
2016-08-15,,6.3408838873316
2016-09-01,,6.330911713184831
2016-09-15,,6.3556792310702805
2016-10-01,,6.439363167604508
2016-10-15,,6.480043589115258
2016-11-01,,6.474282247601098
2016-11-15,,6.47109870135023
2016-12-01,,6.524600555311195
2016-12-15,,6.5255426678105755
2017-01-01,,6.475499345730819
2017-01-15,,6.4639965817871365
2017-02-01,,6.451213162169567
2017-02-15,,6.443533324611391
2017-03-01,,6.442376201211883
2017-03-15,,6.436966041172141
2017-04-01,6.346257022997133,6.440075778214787
2017-04-15,6.255188069320304,6.463288771472494
2017-05-01,6.154823380945268,6.442049560979761
2017-05-15,6.159742208330838,6.462544947443345
2017-06-01,6.042773208624642,6.403458646909942
2017-06-15,6.043120302970567,6.41471937139723
2017-07-01,6.0444959670451395,6.475176050086961
2017-07-15,6.043398828931567,6.446638099291727
2017-08-01,6.100006126870855,6.459817760557138
2017-08-15,6.256489932812973,6.438948204351826
2017-09-01,6.248098183886897,6.430693375926778
2017-09-15,6.338202777573049,6.422478174743804
2017-10-01,6.411904215356539,6.414993285944068
2017-10-15,6.421148966864277,6.445740370001599
2017-11-01,6.140935821940094,6.451586290392824
2017-11-15,6.153501804480335,6.469509205980361
2017-12-01,6.159666166554744,6.474646642455611
2017-12-15,6.039446517702006,6.478276715555951
2018-01-01,6.040736731833174,6.478518161893035
2018-01-15,5.903780169615618,6.478694573112903
2018-02-01,5.895246995341916,6.457100498300085
2018-02-15,5.891147034475059,6.395930343785088
2018-03-01,5.8858695278639335,6.335332305585795
2018-03-15,5.874018616037375,6.306490925556851
2018-04-01,5.862250120202743,6.18968824395645
2018-04-15,5.911991483655146,6.2245899073714615
2018-05-01,5.850939046591927,6.211731714648499
2018-05-15,5.857831007394825,6.241209328100147
2018-06-01,5.85133137678565,6.117567405851823
2018-06-15,5.715401469812731,6.188758733831661
2018-07-01,5.714933967524803,6.066910390681981
2018-07-15,5.724966553248536,6.053190075962875
2018-08-01,5.7180867368032,5.988006352915141
2018-08-15,5.798460661882215,5.990702507062162
2018-09-01,5.699267578706793,6.048587957805855
2018-09-15,5.828634410202692,6.111864964969682
2018-10-01,5.863882437112367,6.117110741575557
2018-10-15,5.8653361966561315,6.117882910983303
2018-11-01,6.114812486133453,6.114812486133453
2018-11-15,6.116167294932878,6.117133012052837
2018-12-01,6.126214957168272,6.10092178002919
2018-12-15,6.1175342879778185,6.153694269392262
2019-01-01,5.874081712383829,6.190398089631717
2019-01-15,5.806886574092119,6.058201002373025
2019-02-01,5.783351741574972,6.124458980700333
2019-02-15,5.853069577745288,6.17333983979022
2019-03-01,5.842238117237573,6.17692304328469
2019-03-15,5.830464123861751,6.1851219213777435
2019-04-01,5.95376740573558,6.272019544272039
2019-04-15,6.1696200310578195,6.1696200310578195
2019-05-01,6.254762640460417,6.196981814994793
2019-05-15,6.077542376421421,6.199957793106037
2019-06-01,5.959423476330518,6.157305325363597
2019-06-15,5.93112586335925,6.156069595177607
2019-07-01,,6.198301556359853
2019-07-15,,6.238822015055675
2019-08-01,,6.246327730506429
2019-08-15,,6.24697062490582
2019-09-01,,6.205457075521442
2019-09-15,,6.233701501018683
2019-10-01,,6.214141559495124
2019-10-15,,6.2057513020777195
2019-11-01,,6.161263440769722
2019-11-15,,6.283678256888192
2019-12-01,,6.402695676499886
2019-12-15,,6.515501844392555
2020-01-01,,6.492717592138983
2020-01-15,,6.50794577195153
2020-02-01,,6.370257147920791
2020-02-15,,6.327826025278375
