Date,Lira,Gulu
2016-01-01,5.410867959495913,
2016-01-15,5.2638587113706174,
2016-02-01,5.091450246302431,
2016-02-15,5.1276900020119776,
2016-03-01,5.215838062480285,
2016-03-15,5.2776013385717055,
2016-04-01,,
2016-04-15,,
2016-05-01,,
2016-05-15,5.492372641406479,
2016-06-01,5.547932192264347,
2016-06-15,5.558939057898939,
2016-07-01,5.654238814326608,
2016-07-15,5.6504351626364935,
2016-08-01,5.5446179850062025,
2016-08-15,5.540194655513445,
2016-09-01,5.533937237081611,
2016-09-15,5.412003251676704,
2016-10-01,5.460957370352296,
2016-10-15,5.445999762404194,
2016-11-01,5.526585482262797,
2016-11-15,5.4469286440846965,
2016-12-01,5.437939317926372,
2016-12-15,5.447627340142226,
2017-01-01,5.497376696581344,
2017-01-15,5.643384932889939,
2017-02-01,5.596310607651941,
2017-02-15,5.635845373847415,5.539405523947968
2017-03-01,5.6341624748955565,5.43331284054056
2017-03-15,5.751701517861699,5.790922231014981
2017-04-01,5.788716895128923,5.788716895128923
2017-04-15,5.894476170595299,5.788636317783089
2017-05-01,6.043431360169944,5.850786719099127
2017-05-15,5.783409002071478,5.857713727791993
2017-06-01,5.797460866115625,5.628671315540247
2017-06-15,5.71903860700354,5.631086812130403
2017-07-01,5.631893952120291,5.535290529329386
2017-07-15,5.720622281086634,5.536230636314049
2017-08-01,5.623736305825427,5.66514349493958
2017-08-15,5.423792202869158,5.528757383475383
2017-09-01,5.41895718941226,5.415988359918458
2017-09-15,5.417449185415537,5.41348878419944
2017-10-01,5.411983050855047,5.69892079874697
2017-10-15,5.342936347741292,5.688485802513621
2017-11-01,5.283441623247333,5.689283308275782
2017-11-15,5.283993023640264,5.508936755458621
2017-12-01,5.28116832756406,4.9964847581085365
2017-12-15,5.2848882477775625,4.997954958588023
2018-01-01,5.068819317163852,5.138928883350879
2018-01-15,4.993391829878138,5.281826631006785
2018-02-01,5.074331423478746,5.249684310956607
2018-02-15,5.146848729373835,5.27715327182826
2018-03-01,5.209331031250209,5.2702397843372015
2018-03-15,5.132759470328324,5.2688916446529035
2018-04-01,5.021412250463662,5.258412836439298
2018-04-15,5.123795709372973,5.256017344115432
2018-05-01,5.116156585835759,5.249029867215732
2018-05-15,5.084912781034857,4.957573358658255
2018-06-01,4.939726449196274,4.942866169200942
2018-06-15,4.5130286881160515,4.5130286881160515
2018-07-01,4.510848991572132,4.520418442588283
2018-07-15,4.544330850840772,4.544330850840772
2018-08-01,4.661980257420478,4.543658732205537
2018-08-15,4.751633834527906,
2018-09-01,4.522474967701403,
2018-09-15,4.514828111541494,
2018-10-01,4.516574038681002,
2018-10-15,4.526708868959703,
2018-11-01,4.642117422781683,
2018-11-15,4.852756438872189,
2018-12-01,4.853675768371139,
2018-12-15,4.730655345160345,4.537589249083414
2019-01-01,4.942049894503591,4.535361820593323
2019-01-15,5.100216309973188,
2019-02-01,5.109427877309861,
2019-02-15,5.241055463758015,
2019-03-01,5.227376269354647,
2019-03-15,5.161732413459811,
2019-04-01,5.212721725191387,4.521892042771804
2019-04-15,5.271703635316351,4.520112858886331
2019-05-01,5.696991831216638,4.911379422984599
2019-05-15,5.691784644209972,4.918117086992008
2019-06-01,5.764146119530081,5.203196108581522
2019-06-15,5.54303462835077,5.12806298987892
2019-07-01,5.497004148961136,
2019-07-15,5.448752198015116,
2019-08-01,5.283829017302559,
2019-08-15,5.086228299901257,4.753935797682752
2019-09-01,5.088139634355128,4.936589736227927
2019-09-15,5.087187761210118,4.935637863082918
2019-10-01,5.086236793266025,5.086236793266025
2019-10-15,5.211616324404532,5.1501312407538515
2019-11-01,5.326761933209239,5.2099987854536005
2019-11-15,5.32883091714035,5.212571111024489
2019-12-01,5.459853718435117,5.334927795266354
2019-12-15,5.330582130612325,5.437964891650919
2020-01-01,5.430360427204537,5.526336385994839
2020-01-15,5.329223491365282,5.530262172112174
2020-02-01,5.212410332453946,5.383303193424278
2020-02-15,5.212105905238999,5.212105905238999
