Date,Kasese,Ruhengeri
2016-01-01,6.59185124559715,
2016-01-15,6.6156565153423,6.50562523792878
2016-02-01,6.538369229238757,6.503047143580043
2016-02-15,6.3094171973905935,6.483406056824133
2016-03-01,6.343958585768376,6.4580201100520975
2016-03-15,6.346395025516676,6.457456440841647
2016-04-01,6.339563748316634,6.456892453729019
2016-04-15,6.368854314887885,6.462072303071183
2016-05-01,6.364867492656624,6.48201783347946
2016-05-15,6.302427584043952,6.4709955425833625
2016-06-01,6.308085776465766,6.488166369510057
2016-06-15,6.304022708317681,6.463807508104889
2016-07-01,6.294245815492255,6.458447379181679
2016-07-15,6.267673380011114,6.447350931226407
2016-08-01,6.290076460134158,6.438136821836177
2016-08-15,6.286970364640864,6.423036955170153
2016-09-01,6.28124928085889,6.3690115594171015
2016-09-15,6.275131015811402,6.356456231886373
2016-10-01,6.269905425364633,6.331652474601729
2016-10-15,6.2491060871399045,6.559723141484033
2016-11-01,6.227078885024721,6.555754696735026
2016-11-15,6.294226504471901,6.553229528387629
2016-12-01,6.288217806451714,6.551947251484816
2016-12-15,6.288004757684856,6.553847944347396
2017-01-01,6.287791754298108,6.517081920501789
2017-01-15,6.285826489962831,6.52435274132019
2017-02-01,,6.5315710786715595
2017-02-15,,6.522127577269562
2017-03-01,6.279907416560918,6.522183161762407
2017-03-15,6.276007303184382,6.5201018861253015
2017-04-01,6.218606555244162,6.515515485816363
2017-04-15,6.262058753777611,6.518057033817434
2017-05-01,6.257534701020181,6.521250074688369
2017-05-15,6.310628435613145,6.526788713120543
2017-06-01,6.347297581401177,6.528241392978615
2017-06-15,6.3668608091521115,6.527121795876571
2017-07-01,6.369282154496541,6.270001764617799
2017-07-15,6.369988885086579,6.269718449715492
2017-08-01,6.407006548223583,6.2661675203830525
2017-08-15,6.403286631758883,6.4379223878830025
2017-09-01,,6.430693375926778
2017-09-15,6.395805026332744,6.423847100351146
2017-10-01,6.432204705577433,6.4156784521236645
2017-10-15,6.418592104610791,6.418378881990462
2017-11-01,6.362657981567863,6.428153102377929
2017-11-15,6.252072422680107,6.442110231792247
2017-12-01,6.247963754674888,6.447115653821153
2017-12-15,6.15000395148156,6.446658961568394
2018-01-01,6.310346212392294,6.44550278363884
2018-01-15,6.336602604861716,6.66639972299033
2018-02-01,6.147625904162566,6.665556242267333
2018-02-15,6.090058919852007,6.653528021350251
2018-03-01,,6.647125655227941
2018-03-15,,6.567165796597321
2018-04-01,,6.556607222265402
2018-04-15,,6.552153935329803
2018-05-01,,6.545299083577082
2018-05-15,5.6507205392182005,6.577327017651522
2018-06-01,6.328376524008624,6.581307349783808
2018-06-15,6.299968870908157,6.588628186049293
2018-07-01,6.3294875493514295,6.443662159889547
2018-07-15,6.3329991274991535,6.30853676777172
2018-08-01,6.263107440216855,6.215869930156011
2018-08-15,6.187961368056826,6.216417855764743
2018-09-01,6.22296592281651,6.221521898296405
2018-09-15,6.301859439573603,6.223895348136615
2018-10-01,6.369328020611899,6.558875204169727
2018-10-15,6.228904854325893,6.558483377216077
2018-11-01,6.057161197187559,6.3133790251117405
2018-11-15,6.405194907341884,6.31920672423058
2018-12-01,6.371176185479554,6.32505006800594
2018-12-15,6.294808393059292,6.357588311440344
2019-01-01,6.328344255623482,6.354537327342481
2019-01-15,6.287738756600155,6.402870006198416
2019-02-01,6.204561901601647,6.228662758230336
2019-02-15,6.205810891938681,6.305736287337746
2019-03-01,6.143667001228802,6.293313736597789
2019-03-15,6.235529533008196,6.311894659943936
2019-04-01,6.357432088559859,6.359232513843745
2019-04-15,6.308781135544713,6.354311257207092
2019-05-01,6.341989667879001,6.34346772741762
2019-05-15,6.382780515227405,6.365224448873203
2019-06-01,6.344497805944682,6.372879909203983
2019-06-15,6.368670991956794,6.338091346842648
2019-07-01,,6.26279948004413
2019-07-15,,6.181373788143128
2019-08-01,,6.1915422473988455
2019-08-15,,6.181631142572043
2019-09-01,,6.1700700639371195
2019-09-15,,6.16846996068873
2019-10-01,,6.168585027892757
2019-10-15,,6.149723470608057
2019-11-01,,6.114116662344021
2019-11-15,,6.208614611052379
2019-12-01,,6.1950563117216415
2019-12-15,,6.171024132620832
2020-01-01,,6.146400156533514
2020-01-15,,6.138014488237756
2020-02-01,,6.21544223691667
2020-02-15,,6.216882961569769
