Date,Lira,Masindi
2016-01-01,,
2016-01-15,,
2016-02-01,5.938748106689635,
2016-02-15,5.969257187690196,
2016-03-01,5.997485220275807,
2016-03-15,,6.123251474202466
2016-04-01,,6.060442530899319
2016-04-15,,6.07692304133352
2016-05-01,,6.077322641474356
2016-05-15,6.127782268711434,6.064285957152308
2016-06-01,6.134167266475048,6.070042738305509
2016-06-15,6.113288904229075,6.068293011053473
2016-07-01,5.916346207485212,6.054682991384673
2016-07-15,5.913377628912518,6.056735343862079
2016-08-01,6.018087822228424,6.052104707506678
2016-08-15,6.048795584257324,6.052130773563463
2016-09-01,6.077253398958814,6.1069795792240145
2016-09-15,6.10306056731719,6.10306056731719
2016-10-01,6.107490235687481,6.095489048077792
2016-10-15,6.091433353388879,6.077143615658899
2016-11-01,6.065581982995484,6.173519819667611
2016-11-15,5.957754267850688,6.142057985848633
2016-12-01,5.982228586555577,6.133074570711704
2016-12-15,5.9929257809521905,6.141759257364711
2017-01-01,6.018087694141735,6.136612844860007
2017-01-15,6.048850040998103,6.135574564806038
2017-02-01,5.985938280661479,6.134535205606046
2017-02-15,6.039157628594478,6.127784079959406
2017-03-01,6.067679170932938,6.124489577113207
2017-03-15,6.186263000457503,6.121292687066978
2017-04-01,6.193265832765308,6.113643140753075
2017-04-15,6.052053768235239,6.161144161349006
2017-05-01,6.045018242280258,6.202184605937016
2017-05-15,6.052320971841269,6.354372984576003
2017-06-01,5.938288464858283,6.361349334856827
2017-06-15,5.871499740494358,6.124503715111705
2017-07-01,5.676134973936596,6.122483898456167
2017-07-15,5.717663699046889,6.123622512423043
2017-08-01,5.788285692873584,6.118333395413176
2017-08-15,5.791668993331471,6.116939383429103
2017-09-01,5.784779888087635,6.1101261299601
2017-09-15,5.781213564324757,6.108122953880963
2017-10-01,5.779707830980365,6.104634076604516
2017-10-15,5.768065010758233,6.09294639019578
2017-11-01,5.50906796558977,6.096754435110813
2017-11-15,5.558069444036266,6.096423615231827
2017-12-01,5.686633435672225,6.093598919155624
2017-12-15,5.692598025739551,5.913047367970069
2018-01-01,5.724977928354456,5.902456860672624
2018-01-15,5.76750807297175,5.842409381144868
2018-02-01,5.802952992232351,5.839799265618317
2018-02-15,5.834827939775338,5.839995909933781
2018-03-01,5.859288279059743,5.902478211810154
2018-03-15,5.864225515190406,5.828507432588327
2018-04-01,5.9515600169992435,5.8876329296930106
2018-04-15,5.980769864090709,5.8852374373691445
2018-05-01,6.002530556671921,5.91239643131641
2018-05-15,6.058241146508461,
2018-06-01,6.038338737864384,
2018-06-15,5.83478452809837,
2018-07-01,5.790713889845292,
2018-07-15,5.804998998843253,
2018-08-01,5.647919383584474,
2018-08-15,5.628345580121404,
2018-09-01,5.61796712903327,
2018-09-15,5.896394331465438,
2018-10-01,5.9646022840716135,
2018-10-15,6.023490766989252,
2018-11-01,6.028411783901574,
2018-11-15,6.039693056045557,
2018-12-01,6.042672118507518,
2018-12-15,6.103500896467623,
2019-01-01,6.146022698829527,
2019-01-15,6.1748594085283015,6.287738756600155
2019-02-01,6.2063025460794305,6.253849702009266
2019-02-15,6.251620427969974,6.379122069505014
2019-03-01,6.241069669764819,6.305033192846769
2019-03-15,6.235529533008196,6.343399460271448
2019-04-01,6.316733178537267,6.350019156170734
2019-04-15,6.426908109295631,6.386200734524484
2019-05-01,6.489068637104119,
2019-05-15,6.5238213298740595,
2019-06-01,6.309250996115041,
2019-06-15,6.0356962814890895,
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
