Date,Nairobi,Arusha
2016-01-01,5.727903134516193,5.3161332504449055
2016-01-15,5.702948076089333,5.313708138404248
2016-02-01,5.705047593937068,5.30891085511358
2016-02-15,5.691551291576417,5.731657082610951
2016-03-01,5.681257740805567,5.7245594047698205
2016-03-15,5.677805050045487,5.721962954176504
2016-04-01,5.676002241356694,5.617142605034944
2016-04-15,5.694302727663336,5.400440642658901
2016-05-01,5.691557362555356,5.399964071637734
2016-05-15,5.689500550827232,5.39768511652383
2016-06-01,5.684271226021658,5.296231023149782
2016-06-15,5.7094492130658265,5.291335463523213
2016-07-01,5.7062888645816825,5.395121450512922
2016-07-15,5.702791461199394,5.3918837370684916
2016-08-01,5.702404629927838,5.357856917668446
2016-08-15,5.636358540284409,5.39836341672408
2016-09-01,5.636305997421883,5.403761418458451
2016-09-15,5.634025999511198,5.43679595632625
2016-10-01,5.631754950138386,5.44444472114339
2016-10-15,5.691548031855556,5.534579538846854
2016-11-01,5.684113305838485,5.649944168589701
2016-11-15,5.678747489279642,5.75282669928617
2016-12-01,5.673393650962927,5.794338779709701
2016-12-15,5.666840644768128,5.827777437084094
2017-01-01,5.6555892258743565,5.869704669993074
2017-01-15,5.637504712496552,5.930973454855508
2017-02-01,5.756644175719524,5.986426665467563
2017-02-15,5.918685313466101,6.031250271040776
2017-03-01,5.965644198304391,
2017-03-15,5.952268704618338,6.11528598802862
2017-04-01,5.9389513681883095,6.111559480006191
2017-04-15,5.935226184175415,6.268523178429757
2017-05-01,6.037439516238821,6.261541545051247
2017-05-15,6.043448405287259,6.1877713548258875
2017-06-01,6.0484778753471,6.183889545754441
2017-06-15,6.147326547331649,6.006220888349961
2017-07-01,6.09409885631993,5.7846371836482176
2017-07-15,6.0093684917455406,5.497595701740491
2017-08-01,6.045955241352255,5.514044262101511
2017-08-15,5.951169348546963,5.499299789558962
2017-09-01,5.957432935276257,5.4992076023025565
2017-09-15,5.838868489147492,5.412854321800954
2017-10-01,5.789942314452403,5.408898442850501
2017-10-15,5.78841996717783,
2017-11-01,5.839259753458919,
2017-11-15,5.837862975246761,
2017-12-01,5.833923919941989,
2017-12-15,5.874681468392518,
2018-01-01,5.818264920736835,
2018-01-15,5.830468460863813,5.380760254795821
2018-02-01,5.722114475353969,5.54110921613512
2018-02-15,5.735793228107389,5.53579587677543
2018-03-01,5.618234964950236,5.4499121698897035
2018-03-15,5.6110414513169395,5.259386746576515
2018-04-01,,5.257175820927511
2018-04-15,,5.25021947087972
2018-05-01,5.5891451194912865,5.3430828702914175
2018-05-15,5.60878098707073,5.34498329758997
2018-06-01,5.576448073861501,5.391339105961063
2018-06-15,5.593345855903224,5.253218435175246
2018-07-01,5.569670359017267,5.031718853651894
2018-07-15,5.4888778881188385,4.900092483650358
2018-08-01,5.459460796833347,4.902001142312378
2018-08-15,5.436557075662312,4.901519197262282
2018-09-01,5.438673283148107,4.739282205158855
2018-09-15,5.284324379361271,4.9023315780284715
2018-10-01,5.214531237636422,4.969585316326035
2018-10-15,5.210916764411365,5.029941707869589
2018-11-01,5.207282627478537,5.028424999593834
2018-11-15,5.303447292269301,5.025798518342362
2018-12-01,5.191622332581704,5.136507602734529
2018-12-15,5.3583460022397995,5.188366307921746
2019-01-01,5.371993093906342,5.218885617578165
2019-01-15,5.416344927098195,5.184950383554069
2019-02-01,5.4267273868554975,5.114944618859133
2019-02-15,5.37882122126736,5.1628664932766215
2019-03-01,5.301672348210398,5.1313885312131235
2019-03-15,5.400289637619711,5.128853674501414
2019-04-01,5.407137892891147,5.141140312830274
2019-04-15,5.570751928922461,5.2216896097719925
2019-05-01,5.57607355855524,5.240051789536639
2019-05-15,5.5830140756979105,5.213997725698514
2019-06-01,5.7321955625862575,5.3096563986669185
2019-06-15,5.730706355830271,
2019-07-01,5.8170807193050305,
2019-07-15,5.845985095446202,
2019-08-01,5.752997736003181,
2019-08-15,5.746629404694002,5.685438107137704
2019-09-01,5.813529536407596,5.746956373572211
2019-09-15,5.813816010033001,5.686171358715641
2019-10-01,5.74005315666646,5.807795590512352
2019-10-15,5.759364169368541,5.688434236107429
2019-11-01,5.7214621011750655,5.8231600757326785
2019-11-15,5.722984032857879,5.766461912362339
2019-12-01,5.713122016246839,5.777758201997086
2019-12-15,5.626878299010426,5.792303295626933
2020-01-01,5.645938088041276,5.871977938997037
2020-01-15,5.631963517254477,5.808464115211822
2020-02-01,5.642436958473532,6.042551197210232
2020-02-15,5.6137081930822825,5.823283862802259
