Date,Masindi,Kampala
2016-01-01,,5.470728347419592
2016-01-15,,5.458969852156508
2016-02-01,,5.460547710239721
2016-02-15,,5.456993749154578
2016-03-01,,5.428510313927199
2016-03-15,5.749321675046353,5.430104293642521
2016-04-01,5.744222189877199,5.461639567537767
2016-04-15,5.768514838364622,5.566097417567529
2016-05-01,5.767067917751043,5.567228546636379
2016-05-15,5.7556450336796825,5.595170821967687
2016-06-01,5.76003831041583,5.611889148977269
2016-06-15,5.75827196051943,5.612619207362562
2016-07-01,5.745138005155248,5.911840245564505
2016-07-15,5.746732172140972,5.6792556011719855
2016-08-01,5.742253776773199,5.54276441635688
2016-08-15,5.742379355806811,5.534623610463989
2016-09-01,6.0443917344748135,5.533937237081611
2016-09-15,6.0388009473109765,5.58418308839212
2016-10-01,6.03042545473073,5.633328596293082
2016-10-15,6.012178564337852,5.653388594799817
2016-11-01,5.9908120879316105,5.7656386678618405
2016-11-15,5.957754267850688,5.733866391976621
2016-12-01,5.9505543844603475,5.728602018516291
2016-12-15,5.959831323878339,5.735801902138559
2017-01-01,5.953697640081862,5.731147736751843
2017-01-15,6.048198643118658,5.7298585308937655
2017-02-01,6.134535205606046,5.730052415847992
2017-02-15,6.127784079959406,5.726010375083201
2017-03-01,6.124489577113207,5.720502665874353
2017-03-15,6.121292687066978,5.811989948718504
2017-04-01,6.1151308672858455,5.790089578940895
2017-04-15,6.354883688438217,5.958899158256917
2017-05-01,6.3454359953062385,6.102029828334253
2017-05-15,6.354372984576003,6.109099196459389
2017-06-01,6.226266351540886,6.033060576314948
2017-06-15,6.124503715111705,5.798513035977917
2017-07-01,6.122483898456167,5.676134973936596
2017-07-15,6.322586646191995,5.719883455785202
2017-08-01,6.3185081821123745,5.623736305825427
2017-08-15,6.317699905974179,5.528757383475383
2017-09-01,6.310436724590128,5.6189089775824845
2017-09-15,6.3089287205934035,5.7011708566512205
2017-10-01,6.159197452685268,5.5896642280924995
2017-10-15,6.09294639019578,5.600378535003355
2017-11-01,6.096754435110813,5.4036072545508675
2017-11-15,6.096423615231827,5.508936755458621
2017-12-01,6.0930990441139725,5.400951363887112
2017-12-15,5.694091677996334,5.405414085303052
2018-01-01,5.680526165783623,5.341019025467256
2018-01-15,5.842409381144868,5.398856937986302
2018-02-01,5.839799265618317,5.398827469053243
2018-02-15,5.839995909933781,5.501201391272897
2018-03-01,5.900059830945873,5.331933353342541
2018-03-15,5.896287447650069,5.3284461754094945
2018-04-01,5.57770024830641,5.320655145316519
2018-04-15,5.575304755982544,5.37278049187107
2018-05-01,5.566226000180676,5.307211822598467
2018-05-15,5.563709162228571,5.245255431110037
2018-06-01,5.5458622527665895,5.225047245462376
2018-06-15,5.524629599794531,4.918493796224216
2018-07-01,5.6625158431961315,4.922703897779067
2018-07-15,5.5559317625192515,5.235160533260355
2018-08-01,5.558402786077907,5.110232640733851
2018-08-15,5.5407693909168145,5.090235997406944
2018-09-01,5.533225900578179,4.840078720018234
2018-09-15,5.832803228683907,4.734190940015797
2018-10-01,5.839586949853373,4.743484072790689
2018-10-15,5.84284145138766,4.837486656206132
2018-11-01,5.848587107306206,4.929799495233464
2018-11-15,5.8569590430692235,5.097291180167716
2018-12-01,5.349524937947573,5.098210509666667
2018-12-15,5.356716232503921,4.949208222765956
2019-01-01,5.347515002611756,5.167659538312995
2019-01-15,5.3544504483574284,5.267067944995011
2019-02-01,5.361320841910057,5.302970958847781
2019-02-15,5.560130248617659,5.359091567870766
2019-03-01,5.547922489204874,5.344647141107389
2019-03-15,5.544055993006281,5.340780644908796
2019-04-01,5.533492954450284,5.3849382601271465
2019-04-15,5.528341086086172,5.40823271379379
2019-05-01,5.519785375089453,5.864484127981471
2019-05-15,5.688915201782019,5.834407818866163
2019-06-01,5.6922920157620975,5.867905353820933
2019-06-15,5.705720210627866,5.700038377160435
2019-07-01,5.658828887316167,5.615845094691474
2019-07-15,,
2019-08-01,,5.422650721538611
2019-08-15,,5.223026601671128
2019-09-01,5.445595523276932,5.253389207250436
2019-09-15,5.446463486848908,5.285013504540038
2019-10-01,5.441869527626314,5.336103414720988
2019-10-15,5.436593056800403,5.3565503491268665
2019-11-01,5.434975517849471,5.481495533484364
2019-11-15,5.436627487596057,5.510474737547807
2019-12-01,5.480981264860992,5.528609313850247
2019-12-15,5.48762048209678,5.578517035568579
2020-01-01,5.613902240403721,5.615425469944242
2020-01-15,5.615892905502677,5.432963261125375
2020-02-01,5.435553883768156,5.383303193424278
2020-02-15,5.435249456553208,5.269516812452338
