Date,Kamembe,Ruhengeri
2016-01-01,,
2016-01-15,,6.8135210551647605
2016-02-01,,6.810748082922316
2016-02-15,,6.790431092119046
2016-03-01,,6.765571627177055
2016-03-15,,6.779237455066693
2016-04-01,,6.792719043066423
2016-04-15,,6.798544539692396
2016-05-01,,6.821736316210255
2016-05-15,,6.7911934211890586
2016-06-01,,6.805207369387469
2016-06-15,,6.792370396876302
2016-07-01,,6.861092994156332
2016-07-15,,6.813201935145533
2016-08-01,,6.802872318444153
2016-08-15,,6.78904322653777
2016-09-01,,6.768226647180095
2016-09-15,,6.762050781454818
2016-10-01,,6.736856110620549
2016-10-15,,6.792533393429326
2016-11-01,,6.8110443112941885
2016-11-15,,6.810413684426482
2016-12-01,,6.809377056711561
2016-12-15,,6.810479038787743
2017-01-01,,6.811583308225624
2017-01-15,,6.805929147388593
2017-02-01,,6.800242835141403
2017-02-15,,6.848428079655556
2017-03-01,,6.847954797375551
2017-03-15,6.668131934783771,6.845384689993779
2017-04-01,6.659685276645941,6.841007786991967
2017-04-15,6.661473185674499,6.843339265348304
2017-05-01,6.664371981824951,6.846374027923991
2017-05-15,6.609791223047029,6.852737401657419
2017-06-01,6.636040277721459,6.853417162565521
2017-06-15,6.6686345813781935,6.854164942208932
2017-07-01,6.638263000048744,6.858107532387714
2017-07-15,6.613296546511881,6.8576869493303585
2017-08-01,6.635936872882846,6.853863218306122
2017-08-15,6.6019454883193776,6.848732973604506
2017-09-01,6.617904918014925,6.836158484034943
2017-09-15,6.579364834389938,6.828856108109329
2017-10-01,6.571979460215723,6.820229900963154
2017-10-15,6.698403416153799,6.8233815623447205
2017-11-01,6.588560319819493,6.833153202340072
2017-11-15,6.5968559726308165,6.847343831622957
2017-12-01,6.66844318172644,6.852580761929317
2017-12-15,6.667565375484248,6.851658411926584
2018-01-01,6.634503616026713,6.805668132517342
2018-01-15,6.667517666091672,6.805091157745374
2018-02-01,6.6649977390414215,6.804516756600616
2018-02-15,6.654089976970547,6.8359432593471405
2018-03-01,6.64768824314714,6.829728545544641
2018-03-15,6.637124385204231,6.817473276852353
2018-04-01,6.625519477846792,6.807652905583659
2018-04-15,6.619936885314041,6.710613852196878
2018-05-01,6.613240897846361,6.703079531454919
2018-05-15,6.620132858649259,6.730464012647935
2018-06-01,6.621963355424937,6.7737533357147415
2018-06-15,6.6291429863140285,6.815897885274675
2018-07-01,6.6329277937646305,6.820153170268654
2018-07-15,6.624569017755475,6.814656500500298
2018-08-01,6.552219850099193,6.809158933198022
2018-08-15,6.615010084585146,6.806864602037824
2018-09-01,6.61440822419771,6.796921553933091
2018-09-15,6.623072924813738,6.827230029427219
2018-10-01,6.6271712543631365,6.813598416771321
2018-10-15,6.627558448366056,6.810071778101436
2018-11-01,6.625638109899444,6.807959666693398
2018-11-15,6.628151667380087,6.812208833519188
2018-12-01,6.635309977675683,6.817439060212475
2018-12-15,6.6318422135796835,6.8355631349145005
2019-01-01,6.630685246548976,6.830828488019258
2019-01-15,6.627761300456787,6.809306459696213
2019-02-01,6.627159197022407,6.787285990253007
2019-02-15,6.6167917109748355,6.776335923355868
2019-03-01,6.603043946271333,6.763516390622766
2019-03-15,6.590587029485908,6.8760581790826185
2019-04-01,6.5828194258391255,6.870501498290906
2019-04-15,6.577454808521302,6.862767211617765
2019-05-01,6.563777781943802,6.852355510523528
2019-05-15,6.565364921629401,6.851404835019904
2019-06-01,6.563368698521016,6.851349769330533
2019-06-15,6.560334943093867,6.849216775737552
2019-07-01,,6.782376834188294
2019-07-15,,
2019-08-01,,6.633588287510623
2019-08-15,,6.593910587099939
2019-09-01,,6.579529471221743
2019-09-15,,6.5716571634839
2019-10-01,,6.563257642718898
2019-10-15,,6.544967024644683
2019-11-01,,6.52531244516117
2019-11-15,,6.520605123980702
2019-12-01,,6.5365525369873305
2019-12-15,,6.528800562976612
2020-01-01,,6.520988026077239
2020-01-15,,6.50794577195153
2020-02-01,,6.5031243093684505
2020-02-15,,6.50014577425938
