Date,Arusha,Dodoma
2016-01-01,5.3161332504449055,
2016-01-15,5.313708138404248,
2016-02-01,5.30891085511358,
2016-02-15,5.731657082610951,
2016-03-01,5.7245594047698205,
2016-03-15,5.721962954176504,
2016-04-01,5.617142605034944,
2016-04-15,5.400440642658901,
2016-05-01,5.399964071637734,
2016-05-15,5.39768511652383,
2016-06-01,5.296231023149782,
2016-06-15,5.291335463523213,
2016-07-01,5.395121450512922,
2016-07-15,5.3918837370684916,
2016-08-01,5.357856917668446,
2016-08-15,5.39836341672408,
2016-09-01,5.403761418458451,
2016-09-15,5.43679595632625,
2016-10-01,5.44444472114339,
2016-10-15,5.534579538846854,
2016-11-01,5.649944168589701,
2016-11-15,5.75282669928617,
2016-12-01,5.794338779709701,
2016-12-15,5.827777437084094,
2017-01-01,5.869704669993074,
2017-01-15,5.930973454855508,
2017-02-01,5.986426665467563,
2017-02-15,6.031250271040776,
2017-03-01,,6.006682862703383
2017-03-15,6.11528598802862,6.0367332235162365
2017-04-01,6.111559480006191,6.084326329547832
2017-04-15,6.268523178429757,6.016723136445002
2017-05-01,6.261541545051247,5.707040857782595
2017-05-15,6.1877713548258875,5.647985276476183
2017-06-01,6.183889545754441,5.598505173424054
2017-06-15,6.006220888349961,5.42493956641831
2017-07-01,5.7846371836482176,5.353269332280783
2017-07-15,5.497595701740491,5.286829113376017
2017-08-01,5.514044262101511,5.258565330144365
2017-08-15,5.499299789558962,5.263156983701112
2017-09-01,5.4992076023025565,5.257206548876339
2017-09-15,5.412854321800954,5.220421455402679
2017-10-01,5.408898442850501,5.225610444060843
2017-10-15,,5.186081933355328
2017-11-01,,5.155547526214866
2017-11-15,,5.141271085497985
2017-12-01,,5.1961713577917275
2017-12-15,,5.184496119533756
2018-01-01,,5.16010778196187
2018-01-15,5.380760254795821,5.086949460402667
2018-02-01,5.54110921613512,5.032009218336599
2018-02-15,5.53579587677543,4.995813668717984
2018-03-01,5.4499121698897035,5.065675362401393
2018-03-15,5.259386746576515,5.049666215594446
2018-04-01,5.257175820927511,5.00779003355301
2018-04-15,5.25021947087972,4.9930570727163905
2018-05-01,5.3430828702914175,4.972138956551486
2018-05-15,5.34498329758997,4.949795772240045
2018-06-01,5.391339105961063,4.9268538194537745
2018-06-15,5.253218435175246,4.928495091043115
2018-07-01,5.031718853651894,4.930139060833974
2018-07-15,4.900092483650358,4.783120807064854
2018-08-01,4.902001142312378,4.8278931701586565
2018-08-15,4.901519197262282,4.809774083622453
2018-09-01,4.739282205158855,4.746886804544074
2018-09-15,4.9023315780284715,4.701660882566321
2018-10-01,4.969585316326035,4.678859101493026
2018-10-15,5.029941707869589,4.709342820404666
2018-11-01,5.028424999593834,4.776293911406372
2018-11-15,5.025798518342362,5.048398350259603
2018-12-01,5.136507602734529,5.03454267607784
2018-12-15,5.188366307921746,5.037431064948462
2019-01-01,5.218885617578165,5.006201197054092
2019-01-15,5.184950383554069,5.029195854144836
2019-02-01,5.114944618859133,5.029330866136141
2019-02-15,5.1628664932766215,5.044476477328462
2019-03-01,5.1313885312131235,5.064525585983997
2019-03-15,5.128853674501414,5.118853591166832
2019-04-01,5.141140312830274,5.36819776346562
2019-04-15,5.2216896097719925,5.430738815471762
2019-05-01,5.240051789536639,5.423986610055315
2019-05-15,5.213997725698514,
2019-06-01,5.3096563986669185,5.410343863659013
2019-06-15,,5.414007299496914
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,5.685438107137704,
2019-09-01,5.746956373572211,
2019-09-15,5.686171358715641,
2019-10-01,5.807795590512352,
2019-10-15,5.688434236107429,
2019-11-01,5.8231600757326785,
2019-11-15,5.766461912362339,
2019-12-01,5.777758201997086,
2019-12-15,5.792303295626933,
2020-01-01,5.871977938997037,
2020-01-15,5.808464115211822,
2020-02-01,6.042551197210232,
2020-02-15,5.823283862802259,
