Date,Kasese,Owino
2016-01-01,6.85651289461052,6.798784380987672
2016-01-15,6.846294610070295,6.780863139737147
2016-02-01,6.8749915146261005,6.785863734730093
2016-02-15,6.843288110274468,6.782920392762594
2016-03-01,6.747877338047209,6.812433444848947
2016-03-15,6.711271538568826,6.81666122532976
2016-04-01,6.712511488848022,6.781698478553577
2016-04-15,6.822777351509631,6.804630896958932
2016-05-01,6.8345108264562,6.865181079880216
2016-05-15,6.8240528250536485,6.854761481672814
2016-06-01,6.800296410172921,6.731512427871016
2016-06-15,6.7963537494475075,6.693065159941576
2016-07-01,6.843750293823358,6.711959545676619
2016-07-15,6.847365684337016,6.681962294716007
2016-08-01,6.8998802368783645,6.676617289707049
2016-08-15,6.898080016079373,6.676958710145931
2016-09-01,6.892007711613546,6.669579553199765
2016-09-15,6.886417456629419,6.73250569688453
2016-10-01,6.880360890079465,6.72413270251338
2016-10-15,6.859476424725056,6.767621992926765
2016-11-01,6.838523701479584,6.747918247451214
2016-11-15,6.805052128237891,6.616691967556228
2016-12-01,6.799043430217704,6.643105439816351
2016-12-15,6.798830381450847,6.71367257311054
2017-01-01,6.798617378064098,6.709005219374411
2017-01-15,6.78243099362471,6.675305847059376
2017-02-01,,6.677944559785632
2017-02-15,,6.688526311269359
2017-03-01,6.73223785079909,6.789634928124658
2017-03-15,6.757571754831194,6.836408044213878
2017-04-01,6.7791155991568,6.820345673666395
2017-04-15,6.758792375998723,6.830895669900067
2017-05-01,6.739221946974403,6.848876293235224
2017-05-15,6.775537810337138,6.854794478039374
2017-06-01,6.788287660671727,6.798353170916925
2017-06-15,6.7871561558233,6.7891845540846925
2017-07-01,6.788561757047894,6.816866714907912
2017-07-15,6.78975454333694,6.844035257349273
2017-08-01,6.784852526933321,6.841756325876922
2017-08-15,6.779994022496103,6.836897821439705
2017-09-01,6.775159009039205,6.829654908914267
2017-09-15,6.771612268352634,6.853850366589606
2017-10-01,6.79678820842347,6.849756700969181
2017-10-15,6.7860935707557255,6.757807827177755
2017-11-01,6.775265977188408,6.76015492002685
2017-11-15,6.761185717260585,6.791068923412794
2017-12-01,6.697961309806346,6.786246224673918
2017-12-15,6.671182608897453,6.79121031440766
2018-01-01,6.806045907371657,6.779138454451733
2018-01-15,6.811898807473221,6.7576686534123604
2018-02-01,6.786626721352554,6.757639184479301
2018-02-15,6.78962837432224,6.754222657587084
2018-03-01,,6.747703532595385
2018-03-15,,6.743758663329377
2018-04-01,,6.86693289658317
2018-04-15,,6.864996435711017
2018-05-01,6.8045029596903825,6.8575456956748635
2018-05-15,6.80437423335443,6.880288890733101
2018-06-01,6.788032684728935,6.836374624684397
2018-06-15,6.713453268182942,6.749535613786933
2018-07-01,6.701104899592258,6.7365115042288854
2018-07-15,6.750262269352953,6.713384551210295
2018-08-01,6.7716965633469055,6.716524247478587
2018-08-15,6.7413466062416125,6.703920200722496
2018-09-01,6.743302487842133,6.716058448687252
2018-09-15,6.7750176455678535,6.709428704165631
2018-10-01,6.794324999637309,6.768858393200249
2018-10-15,6.720813318959678,6.797002457317225
2018-11-01,6.680628457109515,6.800158323315804
2018-11-15,6.812089608259643,6.787015970707526
2018-12-01,6.789399072119459,6.789886520337739
2018-12-15,6.795680491078833,6.795680491078833
2019-01-01,6.790310268364219,6.788850769199765
2019-01-15,6.81638222368294,6.790506319036384
2019-02-01,6.797946496381307,6.56367290033826
2019-02-15,6.7986004535561015,6.594939580727151
2019-03-01,6.7055186025503914,6.6302377046216385
2019-03-15,6.755359719867269,6.641552832590525
2019-04-01,6.750511603609519,6.692003384699462
2019-04-15,6.793574240158408,6.765539538040429
2019-05-01,6.787020376193356,6.762291843417632
2019-05-15,6.814926464638243,6.76328975523027
2019-06-01,6.8873426138287295,6.763797126782395
2019-06-15,6.894996310390155,6.7349348514424365
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
