Date,Owino,Nairobi
2016-01-01,6.549089386259068,6.646389256953784
2016-01-15,6.577317384946351,6.639041435259668
2016-02-01,6.518566601942577,6.687488450843135
2016-02-15,6.535536160018683,6.664819458193112
2016-03-01,6.677355844837763,6.633927826383913
2016-03-15,6.605846195190644,6.635206259414846
2016-04-01,6.540388189406946,6.640537434794652
2016-04-15,6.552406136343881,6.642141817272417
2016-05-01,6.591873480460989,6.668774329881169
2016-05-15,6.615933575438553,6.661404307088801
2016-06-01,6.449038453929686,6.654662809002483
2016-06-15,6.477066337580395,6.6502810538561
2016-07-01,6.437522699974859,6.623821061543903
2016-07-15,6.44215294216079,6.6209496072483445
2016-08-01,6.436160547191164,6.630053253646404
2016-08-15,6.5423232365565624,6.616980130539704
2016-09-01,6.556107830249778,6.617135250433609
2016-09-15,6.589533478879123,6.614026408712523
2016-10-01,6.5743119407576085,6.6109272019424825
2016-10-15,6.398114045424532,6.607061460931148
2016-11-01,6.381882860752917,6.6247541389301885
2016-11-15,6.43848880487973,6.595038221153797
2016-12-01,6.500073397992073,6.608596743147879
2016-12-15,6.509105407369265,6.582504220773498
2017-01-01,6.6114883655834955,6.597418561544886
2017-01-15,6.61245173027075,6.577088911765866
2017-02-01,6.607299149439882,6.5698298857950155
2017-02-15,6.749134376931457,6.564017031985086
2017-03-01,6.788620214694112,6.564431530349914
2017-03-15,6.867545437902375,6.5300176440869455
2017-04-01,6.861353697393771,6.53994365666427
2017-04-15,6.856648166002482,6.526892946567049
2017-05-01,6.848876293235224,6.534979303293161
2017-05-15,6.515723917055652,6.736087842754295
2017-06-01,6.443179353104459,6.73550882888961
2017-06-15,6.369176518407709,6.7449322539958025
2017-07-01,6.451225325979993,6.7472407022661764
2017-07-15,6.491195409194483,6.7431674395719465
2017-08-01,6.4869349505875125,6.740124394407893
2017-08-15,6.484474118132993,6.749620673390103
2017-09-01,6.516910499473327,6.753015007712652
2017-09-15,6.618651356660965,6.755159221021647
2017-10-01,6.615360439861219,6.7583281582099595
2017-10-15,6.39917401875369,6.755414007099377
2017-11-01,6.382430488835728,6.756570373233819
2017-11-15,6.299680577704196,6.753898897589661
2017-12-01,6.35930208488863,6.7509796652411875
2017-12-15,6.424592157534765,6.742619896426794
2018-01-01,6.413767803545446,6.733019947164562
2018-01-15,6.459265399242641,6.721602231451038
2018-02-01,6.460625784598636,6.741763720215278
2018-02-15,6.566099178177021,6.732315032958749
2018-03-01,6.602245940175688,6.721296273593566
2018-03-15,6.620500447784904,
2018-04-01,6.734581445098495,
2018-04-15,6.745720776779637,
2018-05-01,6.722959450631854,6.67596542327674
2018-05-15,6.386170099468836,6.662211052945607
2018-06-01,6.1455842682179815,6.611632335676067
2018-06-15,6.172172096591272,6.559014468684269
2018-07-01,6.157100877128949,6.423072002342487
2018-07-15,6.153768763274872,6.368775520489862
2018-08-01,6.156908459543163,6.212608833725317
2018-08-15,6.140722794578813,6.287445604180244
2018-09-01,6.223818801333028,6.325240913570056
2018-09-15,6.216999989388145,6.356079930192133
2018-10-01,6.309119362566396,6.360072958526515
2018-10-15,6.223781017326023,6.317042236430258
2018-11-01,6.137826569887441,6.337217387275688
2018-11-15,6.1471133046663935,6.2671555045009155
2018-12-01,6.148032634165344,6.291762505427867
2018-12-15,6.154407268815136,6.343526241085852
2019-01-01,6.2906039276406345,6.2697933143828655
2019-01-15,6.373813365371398,6.267272555535977
2019-02-01,6.418604935085321,6.427517382429762
2019-02-15,6.455001152190991,6.452880812929591
2019-03-01,6.445987944428703,6.390234301025007
2019-03-15,6.546800532856458,6.395011114949591
2019-04-01,6.602490322579463,6.4290748139002885
2019-04-15,6.626953374754281,6.492465994366607
2019-05-01,6.680488463777335,6.5695470856411635
2019-05-15,6.671897308154846,6.541147052972701
2019-06-01,6.492660443927318,6.475104252705267
2019-06-15,6.558265308079828,6.497597010635765
2019-07-01,,6.312201996789736
2019-07-15,,6.08443047547822
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
