Date,Kisumu,Tororo
2016-01-01,5.663050592336632,5.380096300829159
2016-01-15,5.665145711442798,5.440210694952086
2016-02-01,5.632303455607044,5.496915354410596
2016-02-15,5.658435682791919,5.4923331155998865
2016-03-01,5.650460467056651,5.745240071819211
2016-03-15,5.6453157285155475,5.709080380694847
2016-04-01,5.644411917069104,
2016-04-15,5.661726557228723,
2016-05-01,5.662286980255242,
2016-05-15,5.655378637757975,5.549749753989781
2016-06-01,5.650149312952401,5.558112752196465
2016-06-15,5.645324684896288,5.558939057898939
2016-07-01,5.642164336412144,5.831958815207664
2016-07-15,5.792136561535243,5.832478206686689
2016-08-01,5.791749730263689,5.423705056340891
2016-08-15,5.700689398665549,5.422411619857062
2016-09-01,5.637962998629512,5.4159222635835285
2016-09-15,5.6348541569084265,5.494131465841262
2016-10-01,5.710523285267847,5.519599830964739
2016-10-15,5.624883450128195,5.552361780399109
2016-11-01,5.682552025271533,5.580410132276577
2016-11-15,5.768359647969329,5.5540732815360245
2016-12-01,5.763139938819203,5.544493151148241
2016-12-15,5.756721464185711,5.554071012816001
2017-01-01,5.7460122319439355,5.72891973731553
2017-01-15,5.725842173754239,5.726895565763109
2017-02-01,5.718796031024982,5.72931576756422
2017-02-15,5.846394202277281,5.722318971851242
2017-03-01,6.070165435692222,5.719024469005042
2017-03-15,6.057741573514864,5.790922231014981
2017-04-01,6.045890772185865,5.863462419105324
2017-04-15,6.089215612692157,5.910368925640306
2017-05-01,6.217219775604103,5.952030943892073
2017-05-15,6.2257699620812135,5.9926827055215375
2017-06-01,6.230121695754557,5.939471197107332
2017-06-15,6.234106630229812,5.801237833304102
2017-07-01,6.236415078500186,5.251160858481973
2017-07-15,6.050020259012001,5.429487677461824
2017-08-01,5.940367478789689,5.425681877812573
2017-08-15,5.832822456095262,5.423792202869158
2017-09-01,5.838244418011139,5.414996788196163
2017-09-15,5.838868489147492,5.442816399293959
2017-10-01,5.789942314452403,5.411983050855047
2017-10-15,5.791097344948546,5.398793679133816
2017-11-01,5.7086395710418545,5.283441623247333
2017-11-15,5.70524108700508,5.286242743374279
2017-12-01,5.700392527317466,5.28116832756406
2017-12-15,5.690898990958889,5.287132917631387
2018-01-01,5.684368097814075,5.277331206209998
2018-01-15,5.680491409799482,5.378572266814796
2018-02-01,5.691082366106241,5.402835490450782
2018-02-15,5.684141831656925,5.396443466775215
2018-03-01,5.6772491363872915,5.390040984149822
2018-03-15,5.67054198068604,5.2688916446529035
2018-04-01,5.7977690060576865,5.050067506224038
2018-04-15,5.8004367831431525,5.123795709372973
2018-05-01,5.795637037213054,5.116156585835759
2018-05-15,5.664432241620108,5.114366047948352
2018-06-01,5.663199000270156,5.093877129023532
2018-06-15,5.670535494594354,4.736172239430261
2018-07-01,5.672169642394061,4.726270496792432
2018-07-15,5.5193370956035475,4.767474402154981
2018-08-01,5.339466838321893,4.770614098423273
2018-08-15,5.330396879833921,4.751633834527906
2018-09-01,5.57220467577263,4.743747611079802
2018-09-15,5.576181823223533,4.514828111541494
2018-10-01,5.512297429154828,4.530625792136653
2018-10-15,5.513197636284299,4.74422916271955
2018-11-01,5.50906930611186,4.8450582667783735
2018-11-15,5.497361205268572,4.943140500340458
2018-12-01,5.4941026261324355,4.944059829839408
2018-12-15,5.492361773658002,4.7681129076952455
2019-01-01,5.497380728947945,5.019239533194721
2019-01-15,5.493305968234323,5.131306897043219
2019-02-01,5.5026258697830075,5.145237330006572
2019-02-15,5.4982612581313735,5.300741684808489
2019-03-01,5.490638447723022,5.289896626335981
2019-03-15,5.480054606088573,5.223509773156054
2019-04-01,5.476130764378098,5.273482819201824
2019-04-15,5.617958333492258,5.271703635316351
2019-05-01,5.627142276829259,5.760461405165304
2019-05-15,5.622291851820194,5.691784644209972
2019-06-01,5.754895150102365,5.866702707855173
2019-06-15,5.611646995814282,5.45602325136114
2019-07-01,5.71649165163099,
2019-07-15,5.811379566268726,
2019-08-01,5.812096736701151,
2019-08-15,,
2019-09-01,5.813529536407596,
2019-09-15,5.813621665459461,
2019-10-01,5.810214935358393,
2019-10-15,5.810849444504627,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,5.815279771312942,
2020-02-15,5.809329647824573,
