Date,Lira,Kampala
2016-01-01,6.73464196363447,6.797703299801299
2016-01-15,6.70138633216929,6.767859774885163
2016-02-01,6.66698660706085,6.777904312992352
2016-02-15,6.662404368250141,6.768072718295499
2016-03-01,6.712946789940466,6.79728365343428
2016-03-15,6.722118903507407,6.801450297836939
2016-04-01,,6.7803388590375375
2016-04-15,,6.804630896958932
2016-05-01,,6.850090250237013
2016-05-15,6.757988539003953,6.854761481672814
2016-06-01,6.731512427871016,6.730229919679549
2016-06-15,6.728217653680537,6.691881727850796
2016-07-01,6.745590529351113,6.71369716557516
2016-07-15,6.715923403879571,6.68255771003577
2016-08-01,6.680787685980776,6.6585445086473545
2016-08-15,6.67576964936374,6.673387277778334
2016-09-01,6.668386947214642,6.669579553199765
2016-09-15,6.697623385329847,6.715641890832525
2016-10-01,6.697464455431219,6.711029309676086
2016-10-15,6.704187440847737,6.751729402537795
2016-11-01,6.684248913678229,6.732031854731596
2016-11-15,6.581908576923682,6.5989813912322735
2016-12-01,6.595790037382715,6.6429563529729885
2016-12-15,6.61599849037687,6.6996863311358
2017-01-01,6.61271799992226,6.678983140193819
2017-01-15,6.61245173027075,6.6590830115524895
2017-02-01,6.6115778845739985,6.661833739512934
2017-02-15,6.606746473179412,6.695677712426985
2017-03-01,6.634427232787701,6.775205768889622
2017-03-15,6.753383267032442,6.822795777635917
2017-04-01,6.779370668664623,6.81420691896807
2017-04-15,6.859938415739269,6.830170769542119
2017-05-01,6.968891150327122,6.833619739863409
2017-05-15,6.9091968761185525,6.815215125447011
2017-06-01,6.865173763163834,6.792577888072415
2017-06-15,6.921829028690987,6.7891845540846925
2017-07-01,6.8704788795157805,6.802313314191814
2017-07-15,6.870577099759349,6.816522870817105
2017-08-01,6.865286823287116,6.8412752096780824
2017-08-15,6.809592370749438,6.823338291654072
2017-09-01,6.80253046041779,6.828931407134244
2017-09-15,6.800774717041625,6.839175547029991
2017-10-01,6.797284856062186,6.8238649008539705
2017-10-15,6.78584228290417,6.757549329050427
2017-11-01,6.671429464873556,6.746775490723683
2017-11-15,6.67253710449417,6.776112319585729
2017-12-01,6.683936605849349,6.7724008178518655
2017-12-15,6.732732116820645,6.79121031440766
2018-01-01,6.806045907371657,6.779138454451733
2018-01-15,6.729409316097957,6.7579266180726325
2018-02-01,6.728317712173915,6.757639184479301
2018-02-15,6.72380604951877,6.754222657587084
2018-03-01,6.718761759868983,6.747703532595385
2018-03-15,6.716345244014687,6.744018639932947
2018-04-01,6.789641222281523,6.829033623992183
2018-04-15,6.8136789870258125,6.839666860321264
2018-05-01,6.805475249509322,6.832085953122172
2018-05-15,6.80437423335443,6.868029940388789
2018-06-01,6.785056492055889,6.836374624684397
2018-06-15,6.710787310858822,6.749535613786933
2018-07-01,6.710208041436984,6.7365115042288854
2018-07-15,6.630692835365181,6.688202400826429
2018-08-01,6.627026971895464,6.6882933447007735
2018-08-15,6.61767894313943,6.673537436235919
2018-09-01,6.6880513340868415,6.702152937991156
2018-09-15,6.707851002024013,6.708640164237795
2018-10-01,6.714846285049665,6.768362238389773
2018-10-15,6.71768342595075,6.784374800449423
2018-11-01,6.722600088969929,6.788292340766275
2018-11-15,6.6462036722139635,6.760294935069912
2018-12-01,6.649929627187033,6.7632182732555775
2018-12-15,6.741989664489704,6.795680491078833
2019-01-01,6.7343236347638085,6.788850769199765
2019-01-15,6.736654824225794,6.790991638143216
2019-02-01,6.626156391639695,6.611187775945774
2019-02-15,6.561443626298969,6.603141149840569
2019-03-01,6.55066702905505,6.624840730862728
2019-03-15,6.546800532856457,6.641552832590525
2019-04-01,6.6047997924281265,6.678166016494928
2019-04-15,6.685986906338474,6.751718982421796
2019-05-01,6.710404103204066,6.748201880990163
2019-05-15,6.709876556220062,6.748460022259219
2019-06-01,6.709348194898656,6.736943200844543
2019-06-15,6.7040999316654295,6.722714740107661
2019-07-01,6.703069655055854,6.6917576709008335
2019-07-15,6.702038315881557,
2019-08-01,6.546580818191011,6.626811125527418
2019-08-15,6.542038955707696,6.607035247510162
2019-09-01,6.508357248304117,6.608860169954498
2019-09-15,6.541432784238517,6.609045953359949
2019-10-01,6.470576119550112,6.635017531270527
2019-10-15,6.466997095441979,6.630626519223781
2019-11-01,6.462761753948969,6.686167394112799
2019-11-15,6.463375215034524,6.684163052656274
2019-12-01,6.497322270736219,6.71414069027346
2019-12-15,6.6022514199205276,6.718898737112983
2020-01-01,6.624948674662949,6.713530273191666
2020-01-15,6.627770098437231,6.714505194170786
2020-02-01,6.626717729801511,6.766719854716554
2020-02-15,6.533861745221318,6.68541164334852
