Date,Busia,Soroti
2016-01-01,5.979717423378281,
2016-01-15,6.008222853056385,
2016-02-01,6.030108008323483,
2016-02-15,6.02202722367026,
2016-03-01,6.076439888493851,
2016-03-15,6.091773815325784,
2016-04-01,6.091806862453398,
2016-04-15,6.173231723467434,
2016-05-01,6.200579144544911,
2016-05-15,6.128824478289879,
2016-06-01,6.145411064028589,
2016-06-15,6.16172701769957,
2016-07-01,6.029193081171234,
2016-07-15,6.038767426445918,
2016-08-01,6.047635426324382,
2016-08-15,6.064265506029456,
2016-09-01,6.143944773457486,
2016-09-15,6.202546118531996,
2016-10-01,6.180486149306463,
2016-10-15,6.1277195972409695,
2016-11-01,6.072012873325774,
2016-11-15,6.053064447655013,
2016-12-01,6.040541068613632,
2016-12-15,6.04250429926937,
2017-01-01,6.039025098096,
2017-01-15,6.06590802390268,
2017-02-01,6.063785790544317,
2017-02-15,6.100676423779259,6.04131048195558
2017-03-01,6.1362544186927925,6.067679170932938
2017-03-15,6.164756795236539,6.221705147107435
2017-04-01,6.2114316365718665,6.218606555244162
2017-04-15,6.197920491212758,6.438389706434408
2017-05-01,,6.4301943469023986
2017-05-15,6.170337898271727,6.216049695558607
2017-06-01,6.01459182757544,6.119623341749793
2017-06-15,5.852293004104387,5.71903860700354
2017-07-01,5.850179194283425,5.719241836835949
2017-07-15,5.909813344777106,5.800096710061011
2017-08-01,5.9126371474713375,5.933728619282173
2017-08-15,5.93184719355464,5.90105695564276
2017-09-01,5.877032247792721,5.823103905767166
2017-09-15,5.797562702326286,5.617400973585761
2017-10-01,5.822725216064055,5.656328809819859
2017-10-15,5.758281564449163,5.766673222085411
2017-11-01,5.730587114417018,5.607733441311675
2017-11-15,5.67509115495089,5.604900743720365
2017-12-01,5.719617573288181,5.602076047644162
2017-12-15,,5.603546248123648
2018-01-01,,5.680526165783623
2018-01-15,5.842409381144868,5.686539010438083
2018-02-01,5.844953916206982,5.767478604038691
2018-02-15,5.891374481824263,5.904856544135821
2018-03-01,5.935735433566636,5.758540898024515
2018-03-15,5.9540524735802,5.752999880080181
2018-04-01,6.074426947692899,5.7432146867839835
2018-04-15,6.072031455369033,5.7408191944601175
2018-05-01,6.065576641469793,5.732763689273369
2018-05-15,6.110252868596641,5.732186734676591
2018-06-01,6.04469993356747,5.720147026922902
2018-06-15,5.97454647047353,5.775922780561859
2018-07-01,5.925581288012556,5.828751262238462
2018-07-15,5.922490361754386,5.931781950088486
2018-08-01,5.914221256944892,5.869226387091382
2018-08-15,5.9058832035014115,5.852730596523678
2018-09-01,5.969943552190448,5.841110680347479
2018-09-15,6.0168068716608465,5.896394331465438
2018-10-01,6.020651435457276,6.126011951115102
2018-10-15,6.084361482076278,6.0276661383997325
2018-11-01,6.094901525170407,6.028411783901574
2018-11-15,6.113211752990712,6.037629071824705
2018-12-01,6.102570260088587,6.042672118507518
2018-12-15,6.118856284550818,6.0478205114340655
2019-01-01,6.17522185352179,6.069061657693399
2019-01-15,6.250121893028848,6.099299003294265
2019-02-01,6.289684155018482,6.2063025460794305
2019-02-15,6.309607685620324,6.205810891938681
2019-03-01,6.3144009428503685,6.244408571030333
2019-03-15,6.289332239001173,6.301166696648176
2019-04-01,6.450456860365343,6.310560319430186
2019-04-15,6.446663549166113,6.425531646586908
2019-05-01,6.442855793948987,6.420997000136489
2019-05-15,,6.5275549994261075
2019-06-01,,6.526819362738636
2019-06-15,,6.537520207809981
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
