Date,Ngozi,Bujumbura
2016-01-01,,
2016-01-15,,6.408324341733965
2016-02-01,,6.353128378275389
2016-02-15,,6.336082441729019
2016-03-01,,6.0243224761995995
2016-03-15,,6.081754265055646
2016-04-01,,6.079421874236625
2016-04-15,,6.012658472146446
2016-05-01,,6.0122833577436054
2016-05-15,,6.044289204334289
2016-06-01,,6.030347088356919
2016-06-15,,5.970643660133654
2016-07-01,,5.9878582125535535
2016-07-15,,5.992230878135337
2016-08-01,,6.116105350570477
2016-08-15,,6.170486997256343
2016-09-01,,6.172502792744242
2016-09-15,,6.176662946397443
2016-10-01,,6.182281440645778
2016-10-15,,6.171191488735813
2016-11-01,,6.413760208119562
2016-11-15,,6.400722503014258
2016-12-01,,6.473325892802677
2016-12-15,,6.462027826738963
2017-01-01,,6.528886297135772
2017-01-15,,6.567095540628625
2017-02-01,,6.565791312261545
2017-02-15,,6.626893541057757
2017-03-01,,6.4441581889473545
2017-03-15,,6.37104727317358
2017-04-01,,6.365750932198069
2017-04-15,,6.368858932941139
2017-05-01,6.274015287068532,6.431644231272116
2017-05-15,6.369134044251951,6.411198717252972
2017-06-01,6.276161683759354,6.4420558997442585
2017-06-15,6.364820103532932,6.445190089887184
2017-07-01,6.367989462999362,6.388341042609541
2017-07-15,6.363567750828419,6.363567750828419
2017-08-01,6.358082072153762,6.358082072153762
2017-08-15,6.261654122552297,6.3465897333580825
2017-09-01,6.245282409995431,6.3330119198705015
2017-09-15,6.2384095299604425,6.325420906950073
2017-10-01,6.230014936380357,6.314275279998097
2017-10-15,6.228869104423331,6.270445531269072
2017-11-01,6.313681937899138,6.228508072910977
2017-11-15,6.233045042035486,6.236197132903801
2017-12-01,6.141727443695866,6.140419399035851
2017-12-15,6.146922782984865,6.147795002839551
2018-01-01,6.0467499218923075,6.048689786710134
2018-01-15,6.052198560566379,5.869877003772425
2018-02-01,6.013160074860922,5.93648210791234
2018-02-15,6.000084065035526,5.93868912606712
2018-03-01,5.9354275585128615,5.940901025927034
2018-03-15,5.804897977400199,5.9378057342078145
2018-04-01,5.801812236955429,5.994059433549353
2018-04-15,5.798297296527306,5.865792788148753
2018-05-01,5.547036430877266,5.5518173164776075
2018-05-15,5.461644335296973,5.991861148377614
2018-06-01,5.56306778546031,5.871952065562694
2018-06-15,5.471353148921878,5.734255192375172
2018-07-01,5.572823964055831,5.739145179503344
2018-07-15,5.5777379765123305,5.746743757330513
2018-08-01,5.486095427777976,5.746305679565559
2018-08-15,5.6607107800765375,5.7580391240371
2018-09-01,5.767163274813551,5.767163274813551
2018-09-15,5.768670592030551,5.765964230432808
2018-10-01,5.917726034587793,5.883137017005585
2018-10-15,6.19468502525166,5.910530293317847
2018-11-01,6.18781457811301,5.899837737788793
2018-11-15,5.7636072881951055,6.265201241728431
2018-12-01,5.800746835144563,6.240344949622186
2018-12-15,6.053106908196236,6.010941278942428
2019-01-01,6.130679026381403,6.018907569523006
2019-01-15,6.133839127518489,6.021847837462467
2019-02-01,5.718906462967478,6.0268902477366115
2019-02-15,5.88163779480016,6.019053847920166
2019-03-01,5.473115000427939,5.809843680184293
2019-03-15,5.35788509881904,5.687188845961639
2019-04-01,5.3466568286844325,5.449604797936875
2019-04-15,5.344411151746888,5.447359120999331
2019-05-01,5.545029386719342,5.502527869073664
2019-05-15,5.3552366962848295,5.554811501226343
2019-06-01,5.471423843348001,5.681526905035536
2019-06-15,5.652946199520379,
2019-07-01,5.797853100168331,
2019-07-15,5.793751934386212,5.986837857767325
2019-08-01,5.98489248111995,6.013330416440484
2019-08-15,6.0364631851751085,6.005691526508355
2019-09-01,6.027916161448381,6.079310870571581
2019-09-15,6.023196326604239,6.076621493277819
2019-10-01,6.221461981588034,6.17640548697065
2019-10-15,6.296980019745178,6.213731975652058
2019-11-01,6.290350690181669,6.252669623213981
2019-11-15,6.283723763877686,6.283723763877686
2019-12-01,6.277910584176898,6.357064639876909
2019-12-15,6.34282247703065,6.3513939580807905
2020-01-01,6.259648676664725,6.319087004597455
2020-01-15,6.166593108832996,6.314079924416923
2020-02-01,6.203994501084597,6.2023750675322935
2020-02-15,5.662329938968816,6.010636633237032
